hh,rule,era,basis,n_cases_flagged,n_error_cases,n_variances,mode_element,mode_element_share,mode_nature,mode_nature_share,agency_agency,agency_client,agency_third_party,agency_other,agency_UNDOCUMENTED,agency_unknown,timeper_before_action,timeper_at_action,timeper_after_action,timeper_undetermined,findg_overissuance,findg_underissuance,findg_ineligible,n_desk_closable,n_catchable_at_action,share_agency,share_desk_closable,share_catchable_at_action,amterr_total,amount_total,n_pre_auth,share_pre_auth,review_mode
1,total_deductions_by_hh_size > 336.000 & unc_rawben_rel_max >   0.891 & unc_rawben_rel_max <=   0.991 & utilities <=  29.500,train_2022_23,national,74,49,84,363.0,0.42857142857142855,53.0,0.6190476190476191,40,42,2,0,0,0,17,43,24,0,64,4,0,13,60,0.47619047619047616,0.15476190476190477,0.7142857142857143,14168.0,8041.0,4,0.047619047619047616,post_authorization
1,total_deductions_by_hh_size > 336.000 & unc_rawben_rel_max >   0.891 & unc_rawben_rel_max <=   0.991 & utilities <=  29.500,test_2024,national,47,29,53,363.0,0.4716981132075472,53.0,0.49056603773584906,23,28,0,2,0,0,2,28,23,0,46,2,0,9,30,0.4339622641509434,0.16981132075471697,0.5660377358490566,9808.0,7049.0,2,0.03773584905660377,post_authorization
1,total_deductions_by_hh_size > 336.000 & unc_rawben_rel_max >   0.891 & unc_rawben_rel_max <=   0.991 & utilities <=  29.500,test_2024,deployed,40,24,44,363.0,0.45454545454545453,53.0,0.45454545454545453,20,22,0,2,0,0,2,22,20,0,37,2,0,8,24,0.45454545454545453,0.18181818181818182,0.5454545454545454,8329.0,6199.0,2,0.045454545454545456,post_authorization
1,rawben_rel_max >   0.751 & rawben_rel_max <=   0.992 & shelter_expenses_by_hh_size > 832.000 & utilities <=  29.500,train_2022_23,national,63,41,75,363.0,0.5066666666666667,53.0,0.7066666666666667,31,42,2,0,0,0,12,46,17,0,63,0,0,7,58,0.41333333333333333,0.09333333333333334,0.7733333333333333,12936.0,7713.0,2,0.02666666666666667,post_authorization
1,rawben_rel_max >   0.751 & rawben_rel_max <=   0.992 & shelter_expenses_by_hh_size > 832.000 & utilities <=  29.500,test_2024,national,68,35,66,363.0,0.5151515151515151,53.0,0.5,25,39,0,2,0,0,2,42,22,0,58,1,0,10,44,0.3787878787878788,0.15151515151515152,0.6666666666666666,12607.0,9229.0,3,0.045454545454545456,post_authorization
1,rawben_rel_max >   0.751 & rawben_rel_max <=   0.992 & shelter_expenses_by_hh_size > 832.000 & utilities <=  29.500,test_2024,deployed,39,18,33,363.0,0.48484848484848486,53.0,0.5151515151515151,13,20,0,0,0,0,0,23,10,0,25,1,0,2,23,0.3939393939393939,0.06060606060606061,0.696969696969697,6090.0,3137.0,0,0.0,post_authorization
2-3,cat_elig > 0.500 & children_i > 0.500 & rawben_rel_max > 0.996 & unc_rawben_rel_max > 1.690,train_2022_23,national,41,27,35,311.0,0.3142857142857143,38.0,0.2571428571428571,19,15,0,1,0,0,4,14,17,0,27,1,0,9,18,0.5428571428571428,0.2571428571428571,0.5142857142857142,8587.0,8350.0,7,0.2,post_authorization
2-3,cat_elig > 0.500 & children_i > 0.500 & rawben_rel_max > 0.996 & unc_rawben_rel_max > 1.690,test_2024,national,21,5,9,323.0,0.2222222222222222,35.0,0.1111111111111111,3,5,0,0,1,0,2,7,0,0,4,1,0,2,9,0.3333333333333333,0.2222222222222222,1.0,2826.0,843.0,2,0.2222222222222222,post_authorization
2-3,cat_elig > 0.500 & children_i > 0.500 & rawben_rel_max > 0.996 & unc_rawben_rel_max > 1.690,test_2024,deployed,14,3,6,311.0,0.3333333333333333,57.0,0.16666666666666666,2,3,0,0,1,0,0,6,0,0,1,1,0,2,6,0.3333333333333333,0.3333333333333333,1.0,1714.0,197.0,2,0.3333333333333333,mixed
1,rawben_rel_max <    1.000 & shelter_expenses_by_hh_size >= 1180.000 & unc_rawben_rel_max >=    0.986 & utilities <  645.000,train_2022_23,national,69,38,55,363.0,0.6545454545454545,53.0,0.7090909090909091,32,23,0,0,0,0,9,40,6,0,36,0,0,10,49,0.5818181818181818,0.18181818181818182,0.8909090909090909,10519.0,5401.0,7,0.12727272727272726,post_authorization
1,rawben_rel_max <    1.000 & shelter_expenses_by_hh_size >= 1180.000 & unc_rawben_rel_max >=    0.986 & utilities <  645.000,test_2024,national,47,23,36,363.0,0.6111111111111112,56.0,0.4166666666666667,18,18,0,0,0,0,1,21,14,0,34,0,0,7,22,0.5,0.19444444444444445,0.6111111111111112,6677.0,5103.0,2,0.05555555555555555,post_authorization
1,rawben_rel_max <    1.000 & shelter_expenses_by_hh_size >= 1180.000 & unc_rawben_rel_max >=    0.986 & utilities <  645.000,test_2024,deployed,25,9,12,363.0,0.75,56.0,0.5833333333333334,6,6,0,0,0,0,0,10,2,0,11,0,0,2,10,0.5,0.16666666666666666,0.8333333333333334,2181.0,1554.0,2,0.16666666666666666,post_authorization
