state,budget,n_rules,n_rules_exp,n_cases,n_cases_exp,n_errors,n_errors_exp,precision,precision_exp,n_available,n_available_exp
Alabama,5,21,21,51,51,21,21,0.4117647058823529,0.411765,145,145
Alabama,10,47,47,103,103,33,33,0.32038834951456313,0.320388,279,279
Arizona,5,13,13,43,43,12,12,0.27906976744186046,0.27907,61,61
Arizona,10,27,27,86,86,28,28,0.32558139534883723,0.325581,157,157
Arkansas,5,19,19,42,42,9,9,0.21428571428571427,0.214286,113,113
Arkansas,10,34,34,85,85,17,17,0.2,0.2,210,210
California,5,19,19,40,40,11,11,0.275,0.275,67,67
California,10,25,25,81,81,21,21,0.25925925925925924,0.259259,165,165
Colorado,5,26,26,40,40,21,21,0.525,0.525,137,137
Colorado,10,44,44,80,80,29,29,0.3625,0.3625,226,226
Connecticut,5,15,15,44,44,17,17,0.38636363636363635,0.386364,99,99
Connecticut,10,29,29,89,89,33,33,0.3707865168539326,0.370787,192,192
Delaware,5,19,19,37,37,18,18,0.4864864864864865,0.486486,52,52
Delaware,10,28,28,74,74,30,30,0.40540540540540543,0.405405,85,85
District of Columbia,5,6,6,47,47,30,30,0.6382978723404256,0.638298,35,35
District of Columbia,10,19,19,97,97,46,46,0.4742268041237113,0.474227,70,70
Florida,5,17,17,45,45,18,18,0.4,0.4,95,95
Florida,10,20,20,90,90,32,32,0.35555555555555557,0.355556,180,180
Georgia,5,6,6,45,45,14,14,0.3111111111111111,0.311111,37,37
Georgia,10,12,12,91,91,27,27,0.2967032967032967,0.296703,121,121
Idaho,5,22,22,46,46,13,13,0.2826086956521739,0.282609,104,104
Idaho,10,39,39,93,93,16,16,0.17204301075268819,0.172043,217,217
Illinois,5,15,15,40,40,16,16,0.4,0.4,57,57
Illinois,10,21,21,81,81,23,23,0.2839506172839506,0.283951,113,113
Indiana,5,14,14,43,43,15,15,0.3488372093023256,0.348837,56,56
Indiana,10,24,24,87,87,25,25,0.28735632183908044,0.287356,144,144
Iowa,5,31,31,46,46,11,11,0.2391304347826087,0.23913,136,136
Iowa,10,53,53,93,93,21,21,0.22580645161290322,0.225806,259,259
Kansas,5,24,24,43,43,12,12,0.27906976744186046,0.27907,131,131
Kansas,10,49,49,87,87,22,22,0.25287356321839083,0.252874,257,257
Kentucky,5,25,25,43,43,12,12,0.27906976744186046,0.27907,128,128
Kentucky,10,47,47,87,87,21,21,0.2413793103448276,0.241379,251,251
Louisiana,5,23,23,43,43,9,9,0.20930232558139536,0.209302,111,111
Louisiana,10,42,42,87,87,18,18,0.20689655172413793,0.206897,208,208
Maine,5,8,8,46,46,15,15,0.32608695652173914,0.326087,71,71
Maine,10,27,27,92,92,23,23,0.25,0.25,183,183
Maryland,5,4,4,34,34,12,12,0.35294117647058826,0.352941,22,22
Maryland,10,9,9,70,70,25,25,0.35714285714285715,0.357143,81,81
Massachusetts,5,20,20,43,43,21,21,0.4883720930232558,0.488372,119,119
Massachusetts,10,27,27,87,87,29,29,0.3333333333333333,0.333333,228,228
Michigan,5,11,11,43,43,12,12,0.27906976744186046,0.27907,85,85
Michigan,10,19,19,86,86,24,24,0.27906976744186046,0.27907,194,194
Minnesota,5,22,22,44,44,17,17,0.38636363636363635,0.386364,100,100
Minnesota,10,41,41,89,89,25,25,0.2808988764044944,0.280899,227,227
Mississippi,5,11,11,53,53,22,22,0.41509433962264153,0.415094,71,71
Mississippi,10,25,25,107,107,40,40,0.37383177570093457,0.373832,153,153
Missouri,5,13,13,37,37,13,13,0.35135135135135137,0.351351,88,88
Missouri,10,35,35,75,75,19,19,0.25333333333333335,0.253333,182,182
Montana,5,22,22,28,28,8,8,0.2857142857142857,0.285714,90,90
Montana,10,27,27,57,57,10,10,0.17543859649122806,0.175439,176,176
Nebraska,5,27,27,44,44,5,5,0.11363636363636363,0.113636,131,131
Nebraska,10,40,40,88,88,10,10,0.11363636363636363,0.113636,255,255
Nevada,5,21,21,45,45,12,12,0.26666666666666666,0.266667,103,103
Nevada,10,44,44,91,91,17,17,0.18681318681318682,0.186813,226,226
New Hampshire,5,15,15,31,31,8,8,0.25806451612903225,0.258065,90,90
New Hampshire,10,32,32,62,62,17,17,0.27419354838709675,0.274194,143,143
New Jersey,5,12,12,31,31,4,4,0.12903225806451613,0.129032,111,111
New Jersey,10,27,27,62,62,10,10,0.16129032258064516,0.16129,215,215
New Mexico,5,24,24,47,47,17,17,0.3617021276595745,0.361702,74,74
New Mexico,10,24,24,95,95,35,35,0.3684210526315789,0.368421,163,163
New York,5,19,19,40,40,14,14,0.35,0.35,103,103
New York,10,34,34,81,81,31,31,0.38271604938271603,0.382716,195,195
North Carolina,5,27,27,45,45,13,13,0.28888888888888886,0.288889,131,131
North Carolina,10,39,39,90,90,21,21,0.23333333333333334,0.233333,242,242
North Dakota,5,15,15,21,21,5,5,0.23809523809523808,0.238095,79,79
North Dakota,10,28,28,43,43,8,8,0.18604651162790697,0.186047,129,129
Ohio,5,24,24,44,44,12,12,0.2727272727272727,0.272727,129,129
Ohio,10,48,48,89,89,23,23,0.25842696629213485,0.258427,265,265
Oklahoma,5,23,23,43,43,14,14,0.32558139534883723,0.325581,94,94
Oklahoma,10,33,33,87,87,25,25,0.28735632183908044,0.287356,196,196
Oregon,5,8,8,41,41,15,15,0.36585365853658536,0.365854,74,74
Oregon,10,23,23,82,82,30,30,0.36585365853658536,0.365854,133,133
Pennsylvania,5,20,20,38,38,12,12,0.3157894736842105,0.315789,116,116
Pennsylvania,10,35,35,77,77,26,26,0.33766233766233766,0.337662,218,218
Rhode Island,5,7,7,45,45,21,21,0.4666666666666667,0.466667,45,45
Rhode Island,10,9,9,93,93,37,37,0.3978494623655914,0.397849,89,89
South Carolina,5,20,20,45,45,10,10,0.2222222222222222,0.222222,72,72
South Carolina,10,25,25,90,90,24,24,0.26666666666666666,0.266667,146,146
South Dakota,5,20,20,31,31,4,4,0.12903225806451613,0.129032,100,100
South Dakota,10,36,36,62,62,9,9,0.14516129032258066,0.145161,193,193
Tennessee,5,20,20,45,45,11,11,0.24444444444444444,0.244444,72,72
Tennessee,10,24,24,93,93,18,18,0.1935483870967742,0.193548,174,174
Texas,5,19,19,42,42,12,12,0.2857142857142857,0.285714,75,75
Texas,10,18,18,85,85,21,21,0.24705882352941178,0.247059,179,179
Utah,5,22,22,49,49,5,5,0.10204081632653061,0.102041,126,126
Utah,10,41,41,98,98,11,11,0.11224489795918367,0.112245,261,261
Vermont,5,15,15,31,31,8,8,0.25806451612903225,0.258065,90,90
Vermont,10,26,26,63,63,12,12,0.19047619047619047,0.190476,171,171
Virginia,5,23,23,35,35,12,12,0.34285714285714286,0.342857,59,59
Virginia,10,25,25,70,70,23,23,0.32857142857142857,0.328571,127,127
Washington,5,22,22,40,40,15,15,0.375,0.375,99,99
Washington,10,47,47,81,81,22,22,0.2716049382716049,0.271605,199,199
West Virginia,5,23,23,32,32,6,6,0.1875,0.1875,108,108
West Virginia,10,29,29,64,64,12,12,0.1875,0.1875,204,204
Wisconsin,5,19,19,48,48,8,8,0.16666666666666666,0.166667,164,164
Wisconsin,10,41,41,97,97,17,17,0.17525773195876287,0.175258,317,317
Wyoming,5,8,8,13,13,3,3,0.23076923076923078,0.230769,61,61
Wyoming,10,13,13,26,26,4,4,0.15384615384615385,0.153846,109,109
