"hh_size","rule_id","n_errors_targeted","max_error_jaccard","nearest_rule","mean_error_jaccard","n_near_duplicates"
"1","rule10358",23,0.3,"rule5817",0.016,0
"1","rule1301",21,0.826,"rule7333",0.029,1
"1","rule231",37,0.326,"rule1798",0.025,0
"1","rule11193",49,0.571,"rule4261",0.045,0
"1","rule850",26,0.22,"rule580",0.012,0
"1","rule4261",39,0.679,"rule7932",0.042,0
"1","rule3458",33,0.382,"rule11651",0.025,0
"1","rule1148",86,0.476,"rule7342",0.048,0
"1","rule580",118,0.509,"rule5000",0.058,0
"1","rule5891",80,0.285,"rule15469",0.042,0
"1","rule10798",31,0.391,"rule5560",0.027,0
"1","rule3612",53,0.539,"rule5520",0.035,0
"1","rule1573",56,0.25,"rule23172",0.042,0
"1","rule121",127,0.722,"rule5288",0.066,0
"1","rule7539",103,0.701,"rule10125",0.049,0
"1","rule2575",35,0.694,"rule5134",0.037,0
"1","rule7333",21,0.826,"rule1301",0.026,1
"1","rule5000",146,0.637,"rule9488",0.064,0
"1","rule9488",93,0.637,"rule5000",0.047,0
"1","rule2982",71,0.519,"rule2762",0.047,0
"1","rule5288",145,0.722,"rule121",0.067,0
"1","rule11199",41,0.641,"rule7740",0.037,0
"1","rule5520",64,0.539,"rule3612",0.039,0
"1","rule942",70,0.423,"rule10125",0.039,0
"1","rule6842",215,0.674,"rule5288",0.082,0
"1","rule1259",206,0.63,"rule12227",0.078,0
"1","rule2132",31,0.24,"rule10798",0.025,0
"1","rule5134",48,0.885,"rule7932",0.045,1
"1","rule7932",50,0.885,"rule5134",0.047,1
"1","rule10025",192,0.536,"rule6842",0.076,0
"1","rule6171",22,0.154,"rule10358",0.014,0
"1","rule3212",122,0.364,"rule4073",0.073,0
"1","rule3966",160,0.669,"rule2687",0.066,0
"1","rule737",276,0.723,"rule2571",0.092,0
"1","rule3259",192,0.499,"rule3466",0.069,0
"1","rule10820",110,0.948,"rule4073",0.066,1
"1","rule1821",74,0.585,"rule11363",0.05,0
"1","rule4073",114,0.948,"rule10820",0.067,1
"1","rule7740",64,0.857,"rule127",0.05,1
"1","rule127",66,0.857,"rule7740",0.051,1
"1","rule524",199,0.685,"rule956",0.081,0
"1","rule9752",114,0.625,"rule11363",0.064,0
"1","rule500",53,0.449,"rule580",0.03,0
"1","rule11363",94,0.625,"rule9752",0.058,0
"1","rule5117",115,0.29,"rule7539",0.04,0
"1","rule3852",163,0.656,"rule3966",0.059,0
"1","rule2972",59,0.481,"rule4302",0.043,0
"1","rule8596",21,0.382,"rule6976",0.013,0
"1","rule6400",60,0.716,"rule4302",0.039,0
"1","rule2571",382,1,"rule735",0.1,2
"1","rule735",382,1,"rule2571",0.1,2
"1","rule5737",374,0.979,"rule2571",0.099,2
