"target","budget","n_te","n_err","flagged_med","errors_med","jaccard_flagged","jaccard_errors","jaccard_errors_min","jaccard_errors_max","chance_errors","errors_in_all","errors_in_any","share_errors_in_all"
"California",0.05,814,106,40,12,0.4035,0.5,0.4211,0.5882,0.06,8,21,0.381
"California",0.1,814,106,81,24,0.6364,0.5517,0.5484,0.8,0.1277,15,31,0.4839
"Texas",0.05,856,128,42,9,0.6471,0.8889,0.8,0.9,0.0364,8,10,0.8
"Texas",0.1,856,128,85,16,0.5596,0.7368,0.55,0.7895,0.0667,11,20,0.55
"Michigan",0.05,864,113,43,13,0.2836,0.2727,0.2632,0.375,0.061,3,23,0.1304
"Michigan",0.1,864,113,86,25,0.6226,0.6774,0.6333,0.7,0.1244,16,31,0.5161
"Massachusetts",0.05,871,119,43,20,0.5088,0.625,0.5185,0.6667,0.0917,14,29,0.4828
"Massachusetts",0.1,871,119,87,32,0.6571,0.75,0.6842,0.8056,0.1553,25,39,0.641
"Arizona",0.05,866,97,43,12,0.6538,0.6923,0.6429,0.7857,0.0659,9,15,0.6
"Arizona",0.1,866,97,86,24,0.578,0.6552,0.6207,0.7407,0.1412,17,31,0.5484
"Washington",0.05,815,69,40,13,0.5385,0.5625,0.4737,0.6875,0.104,8,19,0.4211
"Washington",0.1,815,69,81,21,0.604,0.7826,0.7391,0.8696,0.1795,17,24,0.7083
"Louisiana",0.05,873,96,43,10,0.4576,0.6154,0.5385,0.7273,0.0549,7,14,0.5
"Louisiana",0.1,873,96,87,18,0.6262,0.7,0.619,0.7143,0.1034,13,23,0.5652
"Maine",0.05,928,115,46,12,0.5082,0.5,0.375,0.5714,0.055,6,18,0.3333
"Maine",0.1,928,115,92,25,0.5593,0.5161,0.4516,0.5294,0.122,12,36,0.3333
"New Jersey",0.05,626,59,31,3,0.4091,0.2,0.1667,0.4,0.0261,1,7,0.1429
"New Jersey",0.1,626,59,62,10,0.5897,0.5385,0.4545,0.6,0.0926,5,13,0.3846
"Mississippi",0.05,1076,132,53,13,0.4722,0.4706,0.4211,0.6471,0.0518,8,21,0.381
"Mississippi",0.1,1076,132,107,30,0.3631,0.3542,0.3478,0.7273,0.1282,14,49,0.2857
