"seed","K","K_effective","n_admitted","n_errors_covered","reach","dollar_coverage"
"A","100",100,50697,272,0.0566,0.062
"A","200",200,50697,391,0.0814,0.089
"A","1000",1000,50697,1107,0.2305,0.2429
"A","20000",20000,50697,3967,0.8259,0.8484
"A","full",50697,50697,4803,1,1
"B","100",100,51503,264,0.055,0.0579
"B","200",200,51503,405,0.0843,0.0902
"B","1000",1000,51503,1054,0.2194,0.2316
"B","20000",20000,51503,3974,0.8274,0.8516
"B","full",51503,51503,4803,1,1
"C","100",100,51372,276,0.0575,0.0634
"C","200",200,51372,332,0.0691,0.0761
"C","1000",1000,51372,1081,0.2251,0.2413
"C","20000",20000,51372,3977,0.828,0.8505
"C","full",51372,51372,4803,1,1
