"pair","K","n_covered_1","n_covered_2","jaccard_cases","chance_jaccard","jaccard_dollars","jaccard_signatures"
"A-B","100",272,264,0.6492,0.0287,0.671,0.15
"A-B","200",391,405,0.6515,0.0432,0.6617,0.1865
"A-B","1000",1107,1054,0.6739,0.1267,0.6822,0.2289
"A-B","20000",3967,3974,0.9593,0.7046,0.9665,0.3544
"A-B","full",4803,4803,1,1,1,0.3955
"A-C","100",272,276,0.7019,0.0294,0.7025,0.1655
"A-C","200",391,332,0.7297,0.0388,0.7464,0.1976
"A-C","1000",1107,1081,0.6526,0.1285,0.6572,0.25
"A-C","20000",3967,3977,0.9649,0.705,0.9698,0.3543
"A-C","full",4803,4803,1,1,1,0.3991
"B-C","100",264,276,0.6564,0.0289,0.6601,0.1479
"B-C","200",405,332,0.6982,0.0395,0.7104,0.1783
"B-C","1000",1054,1081,0.6576,0.125,0.6791,0.24
"B-C","20000",3974,3977,0.9608,0.7061,0.9684,0.3563
"B-C","full",4803,4803,1,1,1,0.3995
