"state","raw_errors","ineligible","frame_errors","total_error_pop","lost_filters","pct_visible"
"New Jersey",166,197,155,363,11,42.7
"Tennessee",278,246,266,524,12,50.8
"Arkansas",190,130,171,320,19,53.4
"Missouri",211,156,196,367,15,53.4
"Utah",155,109,141,264,14,53.4
"West Virginia",216,110,176,326,40,54
"Maryland",326,226,301,552,25,54.5
"Kansas",227,166,217,393,10,55.2
"South Dakota",69,33,61,102,8,59.8
"Kentucky",236,104,204,340,32,60
"Nebraska",190,87,167,277,23,60.3
"Pennsylvania",306,160,286,466,20,61.4
"Wyoming",49,27,47,76,2,61.8
"New York",312,150,287,462,25,62.1
"South Carolina",343,144,307,487,36,63
"Oregon",359,170,337,529,22,63.7
"New Hampshire",212,77,193,289,19,66.8
"North Dakota",150,47,132,197,18,67
"Mississippi",368,144,349,512,19,68.2
"California",351,85,307,436,44,70.4
"Maine",350,129,338,479,12,70.6
"Oklahoma",406,103,364,509,42,71.5
"Nevada",258,66,232,324,26,71.6
"Delaware",182,47,167,229,15,72.9
"Idaho",137,22,116,159,21,73
"Massachusetts",324,91,304,415,20,73.3
"Vermont",126,31,116,157,10,73.9
"New Mexico",468,112,430,580,38,74.1
"Colorado",311,60,280,371,31,75.5
"Ohio",255,65,245,320,10,76.6
"Florida",403,82,373,485,30,76.9
"Arizona",335,76,318,411,17,77.4
"North Carolina",362,67,334,429,28,77.9
"Rhode Island",487,88,449,575,38,78.1
"Washington",232,52,223,284,9,78.5
"Minnesota",381,35,327,416,54,78.6
"Montana",203,39,191,242,12,78.9
"Texas",359,49,324,408,35,79.4
"Virginia",354,50,324,404,30,80.2
"Louisiana",261,42,244,303,17,80.5
"Illinois",397,63,372,460,25,80.9
"Connecticut",368,61,348,429,20,81.1
"Wisconsin",200,29,186,229,14,81.2
"Indiana",347,59,333,406,14,82
"Michigan",411,61,388,472,23,82.2
"Alabama",357,43,333,400,24,83.2
"District of Columbia",521,49,494,570,27,86.7
"Iowa",259,28,249,287,10,86.8
"Georgia",599,48,586,647,13,90.6
