"state","budget","n_err_benp_only","n_err_persize_only","n_err_both"
"Alabama",0.05,4,1,14
"Alabama",0.1,15,13,18
"Arizona",0.05,3,5,10
"Arizona",0.1,8,9,19
"Arkansas",0.05,0,4,4
"Arkansas",0.1,3,7,7
"California",0.05,6,10,5
"California",0.1,2,8,24
"Colorado",0.05,2,4,6
"Colorado",0.1,3,6,16
"Connecticut",0.05,21,14,2
"Connecticut",0.1,10,13,26
"Delaware",0.05,5,14,0
"Delaware",0.1,0,6,7
"District of Columbia",0.05,11,11,20
"District of Columbia",0.1,10,9,46
"Florida",0.05,6,1,14
"Florida",0.1,16,12,20
"Georgia",0.05,6,6,14
"Georgia",0.1,10,8,24
"Idaho",0.05,1,1,6
"Idaho",0.1,1,4,12
"Illinois",0.05,2,4,13
"Illinois",0.1,5,3,22
"Indiana",0.05,10,10,8
"Indiana",0.1,6,6,24
"Iowa",0.05,5,4,2
"Iowa",0.1,11,12,5
"Kansas",0.05,5,3,3
"Kansas",0.1,7,5,10
"Kentucky",0.05,6,1,9
"Kentucky",0.1,4,8,14
"Louisiana",0.05,6,6,5
"Louisiana",0.1,9,6,11
"Maine",0.05,2,3,11
"Maine",0.1,6,9,15
"Maryland",0.05,1,3,10
"Maryland",0.1,6,9,14
"Massachusetts",0.05,9,7,2
"Massachusetts",0.1,13,9,11
"Michigan",0.05,9,9,2
"Michigan",0.1,10,3,17
"Minnesota",0.05,7,10,0
"Minnesota",0.1,12,9,16
"Mississippi",0.05,15,8,8
"Mississippi",0.1,8,13,25
"Missouri",0.05,3,2,9
"Missouri",0.1,4,1,15
"Montana",0.05,2,2,1
"Montana",0.1,4,5,5
"Nebraska",0.05,4,5,2
"Nebraska",0.1,6,6,7
"Nevada",0.05,1,2,4
"Nevada",0.1,4,4,16
"New Hampshire",0.05,4,5,1
"New Hampshire",0.1,3,5,6
"New Jersey",0.05,0,0,3
"New Jersey",0.1,6,9,5
"New Mexico",0.05,12,10,5
"New Mexico",0.1,7,12,22
"New York",0.05,5,3,5
"New York",0.1,6,6,12
"North Carolina",0.05,1,2,12
"North Carolina",0.1,4,5,20
"North Dakota",0.05,2,2,1
"North Dakota",0.1,3,3,1
"Ohio",0.05,4,1,0
"Ohio",0.1,12,8,3
"Oklahoma",0.05,3,3,9
"Oklahoma",0.1,8,11,19
"Oregon",0.05,13,10,5
"Oregon",0.1,11,11,17
"Pennsylvania",0.05,8,10,6
"Pennsylvania",0.1,17,19,6
"Rhode Island",0.05,1,2,16
"Rhode Island",0.1,13,6,22
"South Carolina",0.05,5,11,1
"South Carolina",0.1,9,8,17
"South Dakota",0.05,0,1,2
"South Dakota",0.1,0,0,4
"Tennessee",0.05,2,0,6
"Tennessee",0.1,7,3,11
"Texas",0.05,7,7,4
"Texas",0.1,8,9,13
"Utah",0.05,1,2,4
"Utah",0.1,3,6,4
"Vermont",0.05,2,2,7
"Vermont",0.1,2,2,13
"Virginia",0.05,4,5,6
"Virginia",0.1,5,6,16
"Washington",0.05,3,5,5
"Washington",0.1,6,7,12
"West Virginia",0.05,4,2,2
"West Virginia",0.1,3,1,9
"Wisconsin",0.05,2,1,4
"Wisconsin",0.1,3,3,12
