"state","budget","rule_rank","var","op","threshold","n_new_at_rank"
"Alabama",0.05,3,"rawunearn_p","<=",0.0877,5
"Alabama",0.05,5,"rawearn_p",">",0.0039,1
"Alabama",0.05,5,"rawunearn_p",">",0.0772,1
"Alabama",0.1,3,"rawearn_p",">",0.0039,1
"Alabama",0.1,3,"rawunearn_p",">",0.0772,1
"Alabama",0.1,5,"rawunearn_p","<=",0.0877,5
"Alabama",0.1,6,"rawunearn_p","<=",0.892,16
"Alabama",0.1,7,"rawgrinc_p","<=",0.999,16
"Alabama",0.1,8,"rawcsded_p","<=",0.623,1
"Arizona",0.05,1,"rawgrinc_p",">",0.558,17
"Arizona",0.05,1,"rawunearn_p","<=",0.36,17
"Arizona",0.05,2,"rawrent_p",">",0.254,14
"Arizona",0.05,3,"rawearn_p",">",0.025,10
"Arizona",0.1,1,"rawgrinc_p",">",0.558,17
"Arizona",0.1,1,"rawunearn_p","<=",0.36,17
"Arizona",0.1,2,"rawrent_p",">",0.254,14
"Arizona",0.1,3,"rawgrinc_p",">",0.379,9
"Arizona",0.1,3,"rawunearn_p",">",0.233,9
"Arizona",0.1,5,"rawearn_p",">",0.025,10
"Arizona",0.1,6,"rawgrinc_p",">",0.533,10
"Arizona",0.1,6,"rawrent_p",">",0.469,10
"Arizona",0.1,9,"rawgrinc_p",">",0.573,6
"Arizona",0.1,9,"rawgrinc_p","<=",0.885,6
"Arkansas",0.05,2,"rawgrinc_p",">",0.0831,14
"Arkansas",0.05,2,"rawunearn_p","<=",0.0986,14
"Arkansas",0.05,3,"rawgrinc_p",">",0.432,5
"Arkansas",0.05,3,"rawgrinc_p","<=",0.748,5
"Arkansas",0.05,4,"rawunearn_p",">",0.00714,2
"Arkansas",0.1,2,"rawgrinc_p",">",0.0831,14
"Arkansas",0.1,2,"rawunearn_p","<=",0.0986,14
"Arkansas",0.1,3,"rawgrinc_p",">",0.432,5
"Arkansas",0.1,3,"rawgrinc_p","<=",0.748,5
"Arkansas",0.1,4,"rawearn_p","<=",0.133,15
"Arkansas",0.1,5,"rawunearn_p",">",0.00714,2
"Arkansas",0.1,6,"rawgrinc_p",">",0.082,4
"Arkansas",0.1,6,"rawgrinc_p","<=",0.129,4
"Arkansas",0.1,7,"rawgrinc_p",">",0.242,18
"Arkansas",0.1,7,"rawrent_p",">",0.13,18
"Arkansas",0.1,8,"rawrent_p",">",0.776,3
"Arkansas",0.1,9,"rawcsded_p","<=",0.115,1
"Arkansas",0.1,9,"rawrent_p","<=",0.456,1
"Arkansas",0.1,10,"rawgrinc_p",">",0.0598,1
"Arkansas",0.1,10,"rawunearn_p","<=",0.0946,1
"Arkansas",0.1,11,"rawgrinc_p",">",0.0642,1
"California",0.05,1,"rawrent_p",">=",0.834,9
"California",0.05,2,"rawearn_p","<=",0.779,11
"California",0.05,3,"rawrent_p",">=",0.808,4
"California",0.05,5,"rawearn_p","<=",0.023,7
"California",0.1,1,"rawrent_p",">=",0.834,9
"California",0.1,2,"rawearn_p","<=",0.779,11
"California",0.1,4,"rawcsded_p","<=",0.5,24
"California",0.1,5,"rawearn_p","<=",0.023,7
"California",0.1,6,"rawrent_p",">",0.831,15
"California",0.1,8,"rawearn_p","<=",0.779,1
"Colorado",0.05,2,"rawearn_p","<=",0.276,11
"Colorado",0.05,2,"rawgrinc_p",">",0.334,11
"Colorado",0.05,3,"rawrent_p",">",0.205,5
"Colorado",0.1,3,"rawearn_p","<=",0.276,6
"Colorado",0.1,3,"rawgrinc_p",">",0.334,6
"Colorado",0.1,4,"rawearn_p",">",0.22,8
"Colorado",0.1,4,"rawmedded_p","<=",0.0833,8
"Colorado",0.1,4,"rawunearn_p",">",0.00725,8
"Colorado",0.1,5,"rawgrinc_p",">",0.563,12
"Connecticut",0.05,3,"rawrent_p",">",0.28,3
"Connecticut",0.05,5,"rawgrinc_p","<",0.613,9
"Connecticut",0.1,3,"rawgrinc_p","<",0.627,17
"Connecticut",0.1,3,"rawrent_p",">=",0.354,17
"Connecticut",0.1,5,"rawunearn_p",">",0.637,5
"Connecticut",0.1,6,"rawgrinc_p","<",0.613,5
"Connecticut",0.1,7,"rawrent_p",">=",0.00337,3
"Connecticut",0.1,7,"rawunearn_p",">=",0.118,3
"Delaware",0.05,1,"rawgrinc_p",">",0.237,34
"Delaware",0.05,1,"rawrent_p","<=",0.876,34
"Delaware",0.05,1,"rawunearn_p",">",0.00651,34
"Delaware",0.1,1,"rawgrinc_p",">",0.237,34
"Delaware",0.1,1,"rawrent_p","<=",0.876,34
"Delaware",0.1,1,"rawunearn_p",">",0.00651,34
"Delaware",0.1,2,"rawearn_p","<=",0.456,23
"Delaware",0.1,2,"rawgrinc_p",">",0.255,23
"Delaware",0.1,3,"rawunearn_p",">=",0.414,6
"District of Columbia",0.05,1,"rawearn_p",">",0.00935,20
"District of Columbia",0.05,1,"rawgrinc_p","<=",0.866,20
"District of Columbia",0.05,3,"rawearn_p",">",0.00935,2
"District of Columbia",0.1,1,"rawearn_p",">",0.00935,20
"District of Columbia",0.1,1,"rawgrinc_p","<=",0.866,20
"District of Columbia",0.1,4,"rawgrinc_p","<=",0.899,33
"District of Columbia",0.1,4,"rawunearn_p","<=",0.0688,33
"District of Columbia",0.1,5,"rawmedded_p","<=",0.107,3
"District of Columbia",0.1,7,"rawearn_p",">",0.00467,1
"Florida",0.1,4,"rawearn_p","<=",0.127,9
"Florida",0.1,5,"rawrent_p",">",0.489,15
"Georgia",0.05,2,"rawunearn_p",">",0.0757,19
"Georgia",0.05,3,"rawearn_p",">",0.0827,1
"Georgia",0.05,4,"rawearn_p",">",0.361,2
"Georgia",0.05,5,"rawunearn_p","<=",0.597,2
"Georgia",0.1,2,"rawunearn_p",">",0.0757,19
"Georgia",0.1,3,"rawearn_p",">",0.0658,13
"Georgia",0.1,3,"rawgrinc_p",">",0.294,13
"Georgia",0.1,5,"rawrent_p",">",0.909,7
"Idaho",0.05,2,"rawrent_p",">",0.0952,5
