"state","budget","n_flagged_p_rules","n_flagged_nonp_only","n_flagged_both","precision_p_rules","precision_nonp_rules","dollar_share_p_rules"
"Alabama",0.05,6,35,9,0.6667,0.3409,0.3907
"Alabama",0.1,39,52,12,0.4118,0.3281,0.5199
"Arizona",0.05,22,1,19,0.3171,0.25,1
"Arizona",0.1,39,15,32,0.3521,0.2979,0.924
"Arkansas",0.05,21,11,10,0.129,0,1
"Arkansas",0.1,64,7,14,0.1282,0,1
"California",0.05,31,1,0,0.3226,1,0.9722
"California",0.1,66,14,1,0.2836,0.5333,0.7877
"Colorado",0.05,16,20,3,0.2632,0.2174,0.5085
"Colorado",0.1,23,40,17,0.275,0.2281,0.604
"Connecticut",0.05,12,15,17,0.6207,0.4375,0.7708
"Connecticut",0.1,16,54,19,0.4286,0.4521,0.3468
"Delaware",0.05,34,0,0,0.1471,0,1
"Delaware",0.1,63,0,0,0.1111,0,1
"District of Columbia",0.05,9,16,22,0.6452,0.6579,0.722
"District of Columbia",0.1,32,23,38,0.5857,0.6393,0.8013
"Florida",0.05,0,44,0,0,0.4545,0
"Florida",0.1,23,47,18,0.4634,0.4,0.5254
"Georgia",0.05,24,0,20,0.4545,0.35,1
"Georgia",0.1,29,45,17,0.413,0.3226,0.6549
"Idaho",0.05,27,0,19,0.1522,0.3158,1
"Idaho",0.1,39,28,25,0.125,0.2453,0.7288
"Illinois",0.05,22,2,10,0.4688,0.6667,1
"Illinois",0.1,35,24,20,0.3636,0.3864,0.6725
"Indiana",0.05,18,25,0,0.3333,0.48,0.4023
"Indiana",0.1,52,13,22,0.3243,0.4571,0.7008
"Iowa",0.05,20,19,7,0.1852,0.1154,0.9074
"Iowa",0.1,61,25,7,0.1912,0.0938,0.9319
"Kansas",0.05,28,2,12,0.175,0.2857,0.7913
"Kansas",0.1,87,0,0,0.1954,0,1
"Kentucky",0.05,36,2,2,0.3947,0,1
"Kentucky",0.1,37,22,25,0.2097,0.2766,0.7951
"Louisiana",0.05,21,4,16,0.2432,0.35,0.7534
"Louisiana",0.1,36,41,10,0.2609,0.2157,0.5606
"Maine",0.05,11,6,28,0.3077,0.2647,0.8971
"Maine",0.1,60,15,17,0.2597,0.1875,0.9186
"Maryland",0.05,9,11,13,0.3182,0.375,0.7479
"Maryland",0.1,28,8,21,0.3265,0.4138,0.8356
"Massachusetts",0.05,31,0,0,0.3548,0,1
"Massachusetts",0.1,75,0,0,0.32,0,1
"Michigan",0.05,19,18,3,0.2727,0.2857,0.5592
"Michigan",0.1,20,25,39,0.3051,0.3438,0.6637
"Minnesota",0.05,29,0,0,0.2414,0,1
"Minnesota",0.1,79,0,0,0.3544,0,1
"Mississippi",0.05,27,9,8,0.5143,0.4706,0.7981
"Mississippi",0.1,41,20,28,0.3478,0.3958,0.6679
"Missouri",0.05,20,11,5,0.44,0.25,0.7866
"Missouri",0.1,26,30,19,0.3333,0.2653,0.7082
"Montana",0.05,27,0,0,0.1111,0,1
"Montana",0.1,32,19,5,0.1081,0.2083,0.5818
"Nebraska",0.05,30,14,0,0.0667,0.2857,0.2168
"Nebraska",0.1,40,35,12,0.0962,0.1702,0.5258
"Nevada",0.05,23,14,3,0.1154,0.1176,0.3407
"Nevada",0.1,32,43,16,0.1667,0.2034,0.3103
"New Hampshire",0.05,30,0,0,0.1667,0,1
"New Hampshire",0.1,38,21,0,0.1316,0.1905,0.4417
"New Jersey",0.05,11,16,4,0.0667,0.15,0.567
"New Jersey",0.1,42,16,4,0.1957,0.15,0.9468
"New Mexico",0.05,45,0,0,0.3778,0,1
"New Mexico",0.1,87,4,0,0.3103,0.5,0.9659
"New York",0.05,32,0,0,0.3125,0,1
"New York",0.1,26,14,27,0.2642,0.2439,0.7347
"North Carolina",0.05,15,1,25,0.325,0.3846,1
"North Carolina",0.1,59,2,26,0.2824,0.3571,1
"North Dakota",0.05,18,0,0,0.1667,0,1
"North Dakota",0.1,42,0,0,0.0952,0,1
"Ohio",0.05,0,40,0,0,0.1,0
"Ohio",0.1,22,66,0,0.1818,0.1667,0.1855
"Oklahoma",0.05,22,15,6,0.25,0.3333,0.6408
"Oklahoma",0.1,70,9,8,0.3077,0.3529,0.9167
"Oregon",0.05,17,24,0,0.4706,0.4167,0.4487
"Oregon",0.1,37,45,0,0.3514,0.3333,0.499
"Pennsylvania",0.05,35,0,0,0.4,0,1
"Pennsylvania",0.1,60,11,5,0.3385,0.125,0.9107
"Rhode Island",0.05,38,0,0,0.4474,0,1
"Rhode Island",0.1,52,11,28,0.425,0.4103,0.9816
"South Carolina",0.05,19,22,0,0.2632,0.0455,0.9003
"South Carolina",0.1,19,63,0,0.2632,0.3333,0.1808
"South Dakota",0.05,27,0,0,0.0741,0,1
"South Dakota",0.1,25,8,26,0.0784,0.1176,1
"Tennessee",0.05,40,0,0,0.2,0,1
"Tennessee",0.1,40,29,24,0.2031,0.2075,0.638
"Texas",0.05,29,0,0,0.3793,0,1
"Texas",0.1,55,5,22,0.2468,0.2222,0.8338
"Utah",0.05,32,9,3,0.1143,0.0833,0.9131
"Utah",0.1,73,19,5,0.0897,0.0417,1
"Vermont",0.05,31,0,0,0.2903,0,1
"Vermont",0.1,63,0,0,0.2381,0,1
"Virginia",0.05,32,0,0,0.3125,0,1
"Virginia",0.1,48,0,19,0.3134,0.3684,1
"Washington",0.05,14,8,9,0.3043,0.2941,0.8675
"Washington",0.1,25,40,0,0.28,0.275,0.4778
"West Virginia",0.05,3,26,1,0.25,0.1852,0.15
"West Virginia",0.1,14,31,19,0.2121,0.2,0.624
"Wisconsin",0.05,46,0,0,0.1304,0,1
"Wisconsin",0.1,58,36,0,0.1724,0.1389,0.7297
