"state","n_admitted_persize","n_admitted_benp","precision_persize","precision_benp","dollar_recall_persize","dollar_recall_benp","budget","d_prec","d_doll"
"Alabama",3710,3724,0.3191,0.36,0.1066,0.141,0.05,0.0409,0.0344
"Arizona",12191,12683,0.3488,0.3095,0.1193,0.134,0.05,-0.0393,0.0147
"Arkansas",3688,3817,0.1905,0.0952,0.125,0.0467,0.05,-0.0953,-0.0783
"California",9013,9210,0.3846,0.3438,0.1139,0.1206,0.05,-0.0408,0.0067
"Colorado",6256,6532,0.2564,0.2051,0.1405,0.1016,0.05,-0.0513,-0.0389
"Connecticut",8556,8900,0.3636,0.5227,0.1182,0.1895,0.05,0.1591,0.0713
"Delaware",91,159,0.3889,0.1471,0.0984,0.0542,0.05,-0.2418,-0.0442
"District of Columbia",7915,8755,0.6458,0.6596,0.1408,0.1554,0.05,0.0137999999999999,0.0146
"Florida",5781,5953,0.3947,0.4545,0.1401,0.1722,0.05,0.0598,0.0321
"Georgia",15324,15853,0.4545,0.4545,0.1654,0.1657,0.05,0,0.000299999999999995
"Idaho",1959,1848,0.1522,0.1522,0.139,0.1396,0.05,0,0.000599999999999989
"Illinois",10869,10987,0.425,0.4412,0.0844,0.0663,0.05,0.0162,-0.0181
"Indiana",8042,8749,0.4186,0.4186,0.1598,0.1707,0.05,0,0.0109
"Iowa",1836,2510,0.1395,0.1522,0.0842,0.1021,0.05,0.0127,0.0179
"Kansas",1417,1520,0.1463,0.1905,0.0571,0.0863,0.05,0.0442,0.0292
"Kentucky",4058,4277,0.2439,0.375,0.2012,0.3304,0.05,0.1311,0.1292
"Louisiana",4589,4864,0.2683,0.2683,0.1254,0.1354,0.05,0,0.00999999999999998
"Maine",7658,7760,0.3111,0.2889,0.2288,0.2153,0.05,-0.0222,-0.0135
"Maryland",6320,6423,0.3939,0.3333,0.1553,0.1393,0.05,-0.0606,-0.016
"Massachusetts",7135,7718,0.25,0.3548,0.1017,0.0881,0.05,0.1048,-0.0136
"Michigan",4353,4563,0.3235,0.275,0.1278,0.0676,0.05,-0.0485,-0.0602
"Minnesota",5331,5425,0.3125,0.2414,0.0963,0.0508,0.05,-0.0711,-0.0455
"Mississippi",8214,8136,0.4,0.5227,0.1261,0.1872,0.05,0.1227,0.0611
"Missouri",2529,2467,0.2973,0.3333,0.2371,0.2771,0.05,0.036,0.04
"Montana",1194,1096,0.125,0.1111,0.0344,0.0384,0.05,-0.0139,0.004
"Nebraska",998,1079,0.1892,0.1364,0.1863,0.1656,0.05,-0.0528,-0.0207
"Nevada",8791,9513,0.1364,0.125,0.079,0.0812,0.05,-0.0114,0.00219999999999999
"New Hampshire",3890,3368,0.2069,0.1667,0.0989,0.0905,0.05,-0.0402,-0.0084
"New Jersey",3955,4392,0.15,0.0968,0.0314,0.0314,0.05,-0.0532,0
"New Mexico",11241,12015,0.3333,0.3778,0.0919,0.1142,0.05,0.0445,0.0223
"New York",5474,5244,0.2963,0.3125,0.0676,0.0986,0.05,0.0162,0.031
"North Carolina",5986,6274,0.3256,0.3171,0.165,0.1714,0.05,-0.00850000000000001,0.00639999999999999
"North Dakota",1781,2263,0.1429,0.1667,0.0709,0.0634,0.05,0.0238,-0.00750000000000001
"Ohio",3344,3113,0.0227,0.1,0.0038,0.0365,0.05,0.0773,0.0327
"Oklahoma",10851,11164,0.2791,0.2791,0.0792,0.0765,0.05,0,-0.00270000000000001
"Oregon",9825,10184,0.3659,0.439,0.1001,0.209,0.05,0.0731,0.1089
"Pennsylvania",2334,2726,0.4444,0.4,0.1694,0.2112,0.05,-0.0444,0.0418
"Rhode Island",10803,11300,0.4091,0.4474,0.1096,0.097,0.05,0.0383,-0.0126
"South Carolina",5901,5882,0.2927,0.1463,0.1393,0.0573,0.05,-0.1464,-0.082
"South Dakota",5,52,0.1875,0.0741,0.0794,0.0468,0.05,-0.1134,-0.0326
"Tennessee",6875,6367,0.1304,0.2,0.0664,0.0856,0.05,0.0696,0.0192
"Texas",3250,3281,0.2683,0.3793,0.1007,0.0718,0.05,0.111,-0.0289
"Utah",2110,2356,0.1333,0.1136,0.2318,0.2086,0.05,-0.0197,-0.0232
"Vermont",968,855,0.2903,0.2903,0.2973,0.2647,0.05,0,-0.0326
"Virginia",7674,7524,0.3235,0.3125,0.0918,0.0915,0.05,-0.011,-0.000300000000000009
"Washington",4337,4674,0.303,0.2581,0.1634,0.1045,0.05,-0.0449,-0.0589
"West Virginia",4415,4178,0.125,0.2,0.0766,0.1042,0.05,0.075,0.0276
"Wisconsin",5091,5224,0.1351,0.1304,0.0893,0.1031,0.05,-0.00470000000000001,0.0138
"Wyoming",0,0,NA,NA,NA,NA,0.05,NA,NA
"Alabama",3710,3724,0.3039,0.3204,0.2349,0.2374,0.1,0.0165,0.0025
"Arizona",12191,12683,0.3373,0.314,0.3521,0.2948,0.1,-0.0233,-0.0573
"Arkansas",3688,3817,0.1647,0.1176,0.1754,0.1397,0.1,-0.0471,-0.0357
"California",9013,9210,0.4103,0.321,0.3986,0.3292,0.1,-0.0893,-0.0694
"Colorado",6256,6532,0.275,0.2375,0.2381,0.2789,0.1,-0.0375,0.0408
"Connecticut",8556,8900,0.4382,0.4045,0.2902,0.306,0.1,-0.0337,0.0158
"Delaware",91,159,0.1806,0.1111,0.148,0.0678,0.1,-0.0695,-0.0802
