"state","arm","budget","n_admitted","n_te","n_flagged","n_errors_caught","precision","base_rate_te","dollar_recall","n_rules_deployed","n_rules_deployed_p","fill_cases","fill_gap_core","fill_gap_total","cap_buf"
"Alabama","persize",0.05,3710,1039,47,15,0.3191,0.1347,0.1066,3,0,299,1,0,299
"Alabama","persize",0.1,3710,1039,102,31,0.3039,0.1347,0.2349,9,0,599,0,0,599
"Alabama","benp",0.05,3724,1039,50,18,0.36,0.1347,0.141,5,2,299,0,0,299
"Alabama","benp",0.1,3724,1039,103,33,0.3204,0.1347,0.2374,8,5,599,1,0,599
"Arizona","persize",0.05,12191,863,43,15,0.3488,0.1124,0.1193,6,0,248,0,0,248
"Arizona","persize",0.1,12191,863,83,28,0.3373,0.1124,0.3521,13,0,497,0,0,497
"Arizona","benp",0.05,12683,863,42,13,0.3095,0.1124,0.134,4,3,248,0,0,248
"Arizona","benp",0.1,12683,863,86,27,0.314,0.1124,0.2948,11,6,497,0,0,497
"Arkansas","persize",0.05,3688,855,42,8,0.1905,0.0795,0.125,4,0,226,0,0,226
"Arkansas","persize",0.1,3688,855,85,14,0.1647,0.0795,0.1754,8,0,453,0,0,453
"Arkansas","benp",0.05,3817,855,42,4,0.0952,0.0795,0.0467,4,3,226,0,0,226
"Arkansas","benp",0.1,3817,855,85,10,0.1176,0.0795,0.1397,11,10,453,0,0,453
"California","persize",0.05,9013,814,39,15,0.3846,0.1302,0.1139,3,0,227,0,0,227
"California","persize",0.1,9013,814,78,32,0.4103,0.1302,0.3986,6,0,455,0,0,455
"California","benp",0.05,9210,814,32,11,0.3438,0.1302,0.1206,5,4,227,0,0,227
"California","benp",0.1,9210,814,81,26,0.321,0.1302,0.3292,8,6,455,0,0,455
"Colorado","persize",0.05,6256,803,39,10,0.2564,0.1208,0.1405,2,0,270,0,0,270
"Colorado","persize",0.1,6256,803,80,22,0.275,0.1208,0.2381,8,0,540,0,0,540
"Colorado","benp",0.05,6532,803,39,8,0.2051,0.1208,0.1016,3,2,270,0,0,270
"Colorado","benp",0.1,6532,803,80,19,0.2375,0.1208,0.2789,7,3,540,0,0,540
"Connecticut","persize",0.05,8556,899,44,16,0.3636,0.1446,0.1182,4,0,280,0,0,280
"Connecticut","persize",0.1,8556,899,89,39,0.4382,0.1446,0.2902,6,0,561,0,0,561
"Connecticut","benp",0.05,8900,899,44,23,0.5227,0.1446,0.1895,5,2,280,0,0,280
"Connecticut","benp",0.1,8900,899,89,36,0.4045,0.1446,0.306,7,4,561,0,0,561
"Delaware","persize",0.05,91,741,36,14,0.3889,0.1363,0.0984,1,0,70,0,0,72
"Delaware","persize",0.1,91,741,72,13,0.1806,0.1363,0.148,6,0,137,0,1,145
"Delaware","benp",0.05,159,741,34,5,0.1471,0.1363,0.0542,1,1,72,0,0,72
"Delaware","benp",0.1,159,741,63,7,0.1111,0.1363,0.0678,3,3,145,0,0,145
"District of Columbia","persize",0.05,7915,976,48,31,0.6458,0.2193,0.1408,3,0,183,0,0,183
