"state","hh_size","variable","source_column","n_2024","n_nonzero","p0_defl","p1_defl","p20_defl","p30_defl","p40_defl","p50_defl","p60_defl","p70_defl","p90_defl","p99_defl","p100_defl","p0_usd","p1_usd","p20_usd","p30_usd","p40_usd","p50_usd","p60_usd","p70_usd","p90_usd","p99_usd","p100_usd"
"Alabama","1","rawcsded_p","rawcsded",562,10,0,0.0912,0.2965,0.417,0.5107,0.5802,0.6742,0.7701,0.8464,1.1433,1.1763,0,29,93,131,160,182,211,242,265,359,369
"Alabama","1","rawdepded_p","rawdepded",562,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alabama","1","rawearn_p","rawearn",562,65,0,0.0839,0.9525,1.5039,1.8763,2.512,2.8263,3.2483,4.3035,5.3377,5.3459,0,26,299,472,589,788,887,1019,1350,1674,1677
"Alabama","1","rawgrinc_p","rawgross",562,463,0,0.2226,2.7702,2.9774,3.0061,3.0698,3.0998,3.4096,4.2933,5.3272,8.54,0,70,869,934,943,963,972,1070,1347,1671,2679
"Alabama","1","rawmedded_p","medical_deductions",562,39,0,0.171,0.4463,0.4463,0.4463,0.4463,0.4463,0.4463,0.6739,1.8353,2.1709,0,54,140,140,140,140,140,140,211,576,681
"Alabama","1","rawrent_p","rawrent",562,353,0,0.0161,0.4444,0.6376,0.9557,1.2177,1.4313,1.5939,2.5018,3.5308,9.8024,0,5,139,200,300,382,449,500,785,1108,3075
"Alabama","1","rawunearn_p","rawunearn",562,405,0,0.3252,2.9136,3.0061,3.0061,3.073,3.1361,3.4147,4.2843,5.2087,5.6615,0,102,914,943,943,964,984,1071,1344,1634,1776
"Alabama","2","rawcsded_p","rawcsded",181,2,0,0.7986,1.0124,1.125,1.2375,1.35,1.4625,1.5751,1.8001,1.9014,1.9127,0,251,318,353,388,423,459,494,565,596,600
"Alabama","2","rawdepded_p","rawdepded",181,11,0,0.3739,0.6216,0.6376,0.6854,0.9245,1.0296,1.2751,1.5779,1.7616,1.782,0,117,195,200,215,290,323,400,495,553,559
"Alabama","2","rawearn_p","rawearn",181,62,0,0.3163,2.357,2.7922,3.3748,3.6213,4.0147,4.6631,5.7195,6.7103,6.7453,0,99,739,876,1059,1136,1259,1463,1794,2105,2116
"Alabama","2","rawgrinc_p","rawgross",181,143,0,0.1594,1.3146,2.4539,2.9876,3.4268,3.9847,4.4962,6.0682,8.1862,9.729,0,50,412,770,937,1075,1250,1410,1904,2568,3052
"Alabama","2","rawmedded_p","medical_deductions",181,7,0,0.0298,0.4463,0.4463,0.4463,0.4463,0.4463,0.4463,0.6439,0.9107,0.9404,0,9,140,140,140,140,140,140,202,286,295
"Alabama","2","rawrent_p","rawrent",181,92,0,0.0719,0.6535,0.9563,1.1138,1.3532,1.657,1.935,2.8393,4.6332,4.7434,0,23,205,300,349,425,520,607,891,1453,1488
"Alabama","2","rawunearn_p","rawunearn",181,93,0,0.1568,0.9338,1.2751,2.2187,2.9136,3.1304,3.9394,5.4396,8.3096,9.729,0,49,293,400,696,914,982,1236,1706,2607,3052
"Alabama","3","rawcsded_p","rawcsded",127,2,0,0.5218,0.6235,0.6771,0.7306,0.7842,0.8377,0.8913,0.9984,1.0466,1.052,0,164,196,212,229,246,263,280,313,328,330
"Alabama","3","rawdepded_p","rawdepded",127,14,0,0.3768,0.5757,0.9209,1.0532,1.1906,1.3433,1.3982,2.46,4.1945,4.4278,0,118,181,289,330,374,421,439,772,1316,1389
"Alabama","3","rawearn_p","rawearn",127,59,0,0.1672,1.6876,2.4042,3.3344,4.3704,4.7389,5.6404,7.6187,8.3342,8.4858,0,52,529,754,1046,1371,1487,1769,2390,2614,2662
"Alabama","3","rawgrinc_p","rawgross",127,103,0,0.1756,1.6251,2.3271,3.0061,3.4874,4.3762,4.9519,6.7478,8.4817,8.5942,0,55,510,730,943,1094,1373,1553,2117,2661,2696
"Alabama","3","rawmedded_p","medical_deductions",127,3,0,0.4464,0.4488,0.4501,0.4514,0.4527,0.7249,0.9971,1.5416,1.7866,1.8138,0,140,141,141,142,142,227,313,484,560,569
"Alabama","3","rawrent_p","rawrent",127,58,0,0.0368,0.7944,1.0296,1.2955,1.5939,1.9445,2.4555,3.2633,4.5597,4.6924,0,12,249,323,406,500,610,770,1024,1430,1472
"Alabama","3","rawunearn_p","rawunearn",127,60,0,0.0346,0.9506,1.3405,1.6787,2.1565,2.795,3.0061,4.6356,6.6194,6.9429,0,11,298,420,527,676,877,943,1454,2077,2178
"Alabama","4","rawcsded_p","rawcsded",89,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alabama","4","rawdepded_p","rawdepded",89,6,0,0.977,1.3707,1.4504,1.5301,1.6018,1.6736,2.5561,4.3923,5.2505,5.3459,0,306,430,455,480,502,525,802,1378,1647,1677
"Alabama","4","rawearn_p","rawearn",89,55,0,0.7737,4.614,5.233,5.7973,6.4488,7.2005,7.555,9.1049,10.5152,10.7682,0,243,1447,1642,1819,2023,2259,2370,2856,3299,3378
"Alabama","4","rawgrinc_p","rawgross",89,76,0,0.4383,3.1878,4.5967,5.4893,6.0886,6.6305,7.5821,9.1266,10.4168,10.7682,0,138,1000,1442,1722,1910,2080,2378,2863,3268,3378
"Alabama","4","rawmedded_p","medical_deductions",89,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alabama","4","rawrent_p","rawrent",89,61,0,0.0561,1.1157,1.3899,1.6194,1.9127,2.1326,2.4769,3.5065,4.2595,4.3035,0,18,350,436,508,600,669,777,1100,1336,1350
"Alabama","4","rawunearn_p","rawunearn",89,36,0,0.3232,0.8224,1.2624,1.7788,2.3211,3.0061,3.2037,6.0121,6.3688,6.3755,0,101,258,396,558,728,943,1005,1886,1998,2000
"Alabama","5","rawcsded_p","rawcsded",49,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alabama","5","rawdepded_p","rawdepded",49,2,0,1.7335,2.0848,2.2697,2.4546,2.6395,2.8244,3.0092,3.379,3.5454,3.5639,0,544,654,712,770,828,886,944,1060,1112,1118
"Alabama","5","rawearn_p","rawearn",49,27,0,0.6325,2.512,3.3943,4.9232,5.0685,6.2933,7.3414,9.7533,13.0101,13.4428,0,198,788,1065,1544,1590,1974,2303,3060,4081,4217
"Alabama","5","rawgrinc_p","rawgross",49,39,0,0.6281,2.7855,3.8004,4.948,6.3723,7.1999,7.5684,9.8177,14.8975,16.8091,0,197,874,1192,1552,1999,2259,2374,3080,4673,5273
"Alabama","5","rawmedded_p","medical_deductions",49,1,0,0.6726,0.6726,0.6726,0.6726,0.6726,0.6726,0.6726,0.6726,0.6726,0.6726,0,211,211,211,211,211,211,211,211,211,211
"Alabama","5","rawrent_p","rawrent",49,29,0,0.1386,0.9423,1.1406,1.9127,1.9637,2.2314,2.6439,3.3924,4.1366,4.3035,0,43,296,358,600,616,700,829,1064,1298,1350
"Alabama","5","rawunearn_p","rawunearn",49,23,0,0.1959,1.1011,1.759,2.8122,3.0061,3.3873,3.8004,7.0666,9.347,9.9171,0,61,345,552,882,943,1063,1192,2217,2932,3111
"Alabama","6","rawcsded_p","rawcsded",14,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alabama","6","rawdepded_p","rawdepded",14,3,0,1.598,1.6162,1.6258,1.6353,1.6449,1.7271,1.8094,1.9739,2.0479,2.0561,0,501,507,510,513,516,542,568,619,642,645
"Alabama","6","rawearn_p","rawearn",14,9,0,3.3854,4.1976,5.4587,7.059,7.6761,9.2573,10.649,12.6911,15.2984,15.5881,0,1062,1317,1712,2214,2408,2904,3341,3981,4799,4890
"Alabama","6","rawgrinc_p","rawgross",14,14,0,0.7543,3.6353,4.4571,5.096,6.036,7.5218,9.2193,12.1788,15.1567,15.5881,0,237,1140,1398,1599,1894,2360,2892,3820,4755,4890
"Alabama","6","rawmedded_p","medical_deductions",14,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alabama","6","rawrent_p","rawrent",14,8,0,1.6282,2.271,2.5661,2.6777,2.8451,3.022,3.167,3.846,5.061,5.196,0,511,712,805,840,892,948,993,1206,1588,1630
"Alabama","6","rawunearn_p","rawunearn",14,8,0,0.6717,1.1042,1.3385,1.4256,1.6321,2.0332,2.8008,5.6344,8.8175,9.1712,0,211,346,420,447,512,638,879,1767,2766,2877
"Alabama","7","rawcsded_p","rawcsded",10,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alabama","7","rawdepded_p","rawdepded",10,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alabama","7","rawearn_p","rawearn",10,6,0,0.8229,1.3771,2.9311,4.4852,5.7555,7.0258,9.1074,12.1342,12.9849,13.0794,0,258,432,920,1407,1806,2204,2857,3806,4073,4103
"Alabama","7","rawgrinc_p","rawgross",10,9,0,0.3568,1.1438,2.6203,4.6012,5.0653,5.634,6.526,11.5671,12.9281,13.0794,0,112,359,822,1443,1589,1767,2047,3629,4056,4103
"Alabama","7","rawmedded_p","medical_deductions",10,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alabama","7","rawrent_p","rawrent",10,6,0,0.2867,0.4048,1.2735,2.1422,2.1868,2.2314,2.5502,3.3312,3.7472,3.7934,0,90,127,400,672,686,700,800,1045,1176,1190
"Alabama","7","rawunearn_p","rawunearn",10,3,0,0.4137,2.2174,3.1667,4.116,5.0653,5.2075,5.3497,5.634,5.762,5.7762,0,130,696,993,1291,1589,1634,1678,1767,1808,1812
"Alabama","8","rawcsded_p","rawcsded",6,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alabama","8","rawdepded_p","rawdepded",6,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alabama","8","rawearn_p","rawearn",6,4,0,3.8754,6.2193,7.453,8.6624,9.8597,11.0571,12.3197,15.1065,16.3605,16.4998,0,1216,1951,2338,2717,3093,3469,3865,4739,5132,5176
