"","Alabama","Arizona","Arkansas","California","Colorado","Connecticut","Delaware","District of Columbia","Florida","Georgia","Idaho","Illinois","Indiana","Iowa","Kansas","Kentucky","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota","Mississippi","Missouri","Montana","Nebraska","Nevada","New Hampshire","New Jersey","New Mexico","New York","North Carolina","North Dakota","Ohio","Oklahoma","Oregon","Pennsylvania","Rhode Island","South Carolina","South Dakota","Tennessee","Texas","Utah","Vermont","Virginia","Washington","West Virginia","Wisconsin","Wyoming"
"Alabama",1,0.3375,0.0362,0.6299,0.5421,0.3727,0.6131,0.0861,0.2404,0.1656,0.1669,0.7758,0.3481,0.4266,0.1722,0.1629,0.2346,0.3425,0.5464,0.4489,0.7978,0.7158,0.0247,0.1883,0.7545,0.6609,0.1919,0.3747,0.4866,0.2168,0.3802,0.4911,0.6814,0.7399,0.2347,0.2727,0.6511,0.4656,0.1487,0.3652,0.1799,0.3472,0.1501,0.3439,0.318,0.2753,0.3162,0.3833,0.1172
"Arizona",0.3375,1,0.1018,0.4265,0.3776,0.1812,0.3949,0.2121,0.57,0.409,0.5073,0.3604,0.491,0.322,0.3325,0.3456,0.5224,0.1564,0.4829,0.2409,0.2849,0.3661,0.0779,0.3447,0.2531,0.2794,0.5983,0.1586,0.2331,0.4886,0.1827,0.2106,0.1539,0.2662,0.5212,0.5113,0.2024,0.1823,0.3449,0.0938,0.1999,0.7111,0.2871,0.1286,0.5184,0.4796,0.4447,0.6246,0.1836
"Arkansas",0.0362,0.1018,1,0.0445,0.0487,0.0155,0.03,0.0793,0.0934,0.0988,0.0986,0.0505,0.0576,0.0316,0.5903,0.1098,0.0657,0.0298,0.05,0.0234,0.0303,0.0438,0.8753,0.4219,0.0324,0.0352,0.0642,0.0182,0.0251,0.0759,0.0163,0.0231,0.0126,0.0314,0.1035,0.0481,0.0228,0.0168,0.1042,0.2862,0.7293,0.0933,0.6647,0.011,0.0952,0.0517,0.1126,0.0895,0.69
"California",0.6299,0.4265,0.0445,1,0.6743,0.3756,0.6054,0.1392,0.3553,0.2262,0.1746,0.7452,0.3532,0.409,0.1816,0.151,0.2608,0.3077,0.677,0.5121,0.7308,0.64,0.0337,0.2098,0.5447,0.6847,0.3201,0.3561,0.5254,0.2781,0.4442,0.403,0.4678,0.5617,0.239,0.502,0.539,0.441,0.1215,0.2457,0.155,0.3457,0.1773,0.3344,0.5537,0.4549,0.3484,0.5549,0.1017
"Colorado",0.5421,0.3776,0.0487,0.6743,1,0.2727,0.7296,0.1852,0.4388,0.285,0.2881,0.6381,0.3431,0.582,0.1434,0.2431,0.2148,0.2596,0.6883,0.3723,0.5852,0.5308,0.0554,0.2225,0.4202,0.7863,0.358,0.3458,0.3894,0.2232,0.3032,0.3183,0.4163,0.4444,0.2315,0.392,0.3971,0.3193,0.2244,0.1968,0.2413,0.4157,0.2533,0.267,0.3764,0.3897,0.2737,0.5329,0.1404
"Connecticut",0.3727,0.1812,0.0155,0.3756,0.2727,1,0.3016,0.0522,0.1652,0.1006,0.0718,0.4004,0.154,0.1797,0.0729,0.0772,0.1153,0.8722,0.2866,0.7549,0.4264,0.4028,0.0098,0.0909,0.4159,0.2878,0.139,0.8378,0.7332,0.1108,0.8552,0.7057,0.419,0.4709,0.0981,0.2051,0.5283,0.7182,0.0616,0.6989,0.0657,0.2303,0.073,0.8678,0.175,0.2036,0.12,0.2344,0.0397
"Delaware",0.6131,0.3949,0.03,0.6054,0.7296,0.3016,1,0.082,0.4126,0.2623,0.2335,0.6598,0.37,0.5738,0.1433,0.1657,0.2473,0.267,0.6888,0.3923,0.5709,0.563,0.0397,0.2085,0.4695,0.6957,0.3614,0.3218,0.3988,0.2235,0.3064,0.3476,0.4452,0.4875,0.2326,0.3821,0.4178,0.3356,0.1768,0.2112,0.1894,0.42,0.2102,0.2748,0.3765,0.3533,0.2514,0.5,0.1202
"District of Columbia",0.0861,0.2121,0.0793,0.1392,0.1852,0.0522,0.082,1,0.156,0.2086,0.1716,0.1486,0.1669,0.0695,0.0894,0.6048,0.2567,0.0672,0.1593,0.0734,0.0888,0.1269,0.0483,0.0734,0.0877,0.0799,0.1541,0.1792,0.0817,0.2559,0.0598,0.0911,0.0329,0.0974,0.2699,0.1933,0.0907,0.0574,0.2878,0.0326,0.3089,0.2676,0.0599,0.0381,0.2826,0.1481,0.2298,0.2936,0.0413
"Florida",0.2404,0.57,0.0934,0.3553,0.4388,0.1652,0.4126,0.156,1,0.5386,0.5748,0.3539,0.3654,0.3006,0.2099,0.2758,0.3897,0.1794,0.4689,0.2649,0.2205,0.3189,0.1474,0.3005,0.208,0.2563,0.6089,0.2205,0.2304,0.4108,0.189,0.1575,0.155,0.1996,0.4255,0.5386,0.1996,0.1773,0.369,0.0543,0.1892,0.6647,0.3194,0.1647,0.355,0.4751,0.2189,0.5228,0.2004
"Georgia",0.1656,0.409,0.0988,0.2262,0.285,0.1006,0.2623,0.2086,0.5386,1,0.3973,0.2349,0.3082,0.2237,0.1643,0.2718,0.318,0.1264,0.2976,0.1444,0.151,0.1981,0.1761,0.4302,0.1411,0.1658,0.3899,0.1399,0.1307,0.3873,0.1015,0.1039,0.0982,0.1363,0.3209,0.317,0.1254,0.1068,0.3166,0.0428,0.187,0.4505,0.2098,0.0845,0.3273,0.2975,0.2155,0.3598,0.2051
"Idaho",0.1669,0.5073,0.0986,0.1746,0.2881,0.0718,0.2335,0.1716,0.5748,0.3973,1,0.216,0.2824,0.2589,0.1878,0.2979,0.3561,0.113,0.2246,0.0816,0.1256,0.1788,0.1263,0.1583,0.1328,0.203,0.5322,0.1073,0.0946,0.341,0.0849,0.1031,0.1247,0.1244,0.531,0.2564,0.1173,0.0875,0.476,0.0474,0.1883,0.6218,0.3105,0.0589,0.2941,0.2438,0.1919,0.3546,0.157
"Illinois",0.7758,0.3604,0.0505,0.7452,0.6381,0.4004,0.6598,0.1486,0.3539,0.2349,0.216,1,0.3453,0.4768,0.172,0.2051,0.2696,0.3868,0.6396,0.5391,0.7957,0.7566,0.044,0.2119,0.7322,0.6956,0.2796,0.4226,0.5826,0.3198,0.4671,0.5001,0.6507,0.7284,0.2952,0.4404,0.6696,0.4953,0.1746,0.3468,0.1817,0.3543,0.189,0.3935,0.472,0.4095,0.351,0.5042,0.1049
