"","Alabama","Arizona","Arkansas","California","Colorado","Connecticut","Delaware","District of Columbia","Florida","Georgia","Idaho","Illinois","Indiana","Iowa","Kansas","Kentucky","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota","Mississippi","Missouri","Montana","Nebraska","Nevada","New Hampshire","New Jersey","New Mexico","New York","North Carolina","North Dakota","Ohio","Oklahoma","Oregon","Pennsylvania","Rhode Island","South Carolina","South Dakota","Tennessee","Texas","Utah","Vermont","Virginia","Washington","West Virginia","Wisconsin","Wyoming"
"Alabama",1,0.9342,0.9106,0.9326,0.882,0.8701,0.9338,0.9568,0.9089,0.9479,0.9335,0.946,0.962,0.9207,0.938,0.978,0.9208,0.8995,0.9046,0.8711,0.9183,0.9191,0.9538,0.9478,0.9303,0.9213,0.9065,0.8792,0.9282,0.977,0.8672,0.9037,0.8911,0.9347,0.9855,0.9166,0.8988,0.8575,0.9407,0.9008,0.946,0.939,0.882,0.8286,0.8996,0.9306,0.9506,0.9432,0.8688
"Arizona",0.9342,1,0.8644,0.9183,0.9533,0.868,0.9161,0.906,0.9646,0.9728,0.9865,0.9187,0.9236,0.9705,0.8957,0.9326,0.8623,0.8864,0.9511,0.8658,0.9069,0.916,0.9128,0.9065,0.9158,0.9604,0.963,0.9363,0.9163,0.9429,0.8713,0.9515,0.9365,0.9166,0.9444,0.9066,0.8896,0.8578,0.967,0.875,0.9096,0.9692,0.9375,0.8302,0.8619,0.9243,0.9095,0.9321,0.9197
"Arkansas",0.9106,0.8644,1,0.8604,0.8356,0.803,0.8804,0.9019,0.8532,0.8914,0.8751,0.8887,0.8962,0.877,0.9595,0.929,0.9597,0.8487,0.8584,0.8076,0.8667,0.8744,0.9475,0.9462,0.8692,0.8678,0.889,0.825,0.856,0.9122,0.7918,0.8451,0.8295,0.8856,0.9103,0.8523,0.8444,0.7847,0.8881,0.8881,0.9655,0.8945,0.9018,0.7583,0.9114,0.8796,0.9059,0.8838,0.9148
"California",0.9326,0.9183,0.8604,1,0.9223,0.9322,0.9727,0.9284,0.9136,0.9289,0.9277,0.9775,0.9271,0.9166,0.9185,0.9242,0.8863,0.9415,0.939,0.9231,0.9544,0.9577,0.9016,0.9323,0.9624,0.94,0.9038,0.9046,0.9645,0.9527,0.9214,0.9235,0.9045,0.9542,0.9398,0.9754,0.9434,0.9246,0.8911,0.9228,0.921,0.9282,0.8816,0.897,0.9024,0.9759,0.9566,0.97,0.8778
"Colorado",0.882,0.9533,0.8356,0.9223,1,0.9017,0.9245,0.8752,0.9596,0.9621,0.9648,0.927,0.8678,0.9705,0.8759,0.8858,0.839,0.9096,0.9651,0.9027,0.9346,0.9395,0.8798,0.8925,0.9339,0.9793,0.9543,0.9541,0.9271,0.9044,0.9029,0.967,0.9584,0.9348,0.892,0.9344,0.9234,0.9033,0.9356,0.886,0.8839,0.9581,0.9292,0.8749,0.8404,0.9387,0.9148,0.9424,0.9221
"Connecticut",0.8701,0.868,0.803,0.9322,0.9017,1,0.9355,0.8745,0.8841,0.8798,0.8741,0.9348,0.8647,0.8758,0.8573,0.8603,0.84,0.9778,0.9108,0.9799,0.9552,0.9476,0.8442,0.8808,0.9506,0.9125,0.8602,0.9388,0.9545,0.8937,0.9791,0.932,0.9256,0.9462,0.8723,0.9468,0.9713,0.975,0.8427,0.9533,0.8658,0.8867,0.8329,0.9642,0.8555,0.9348,0.9088,0.9394,0.8256
"Delaware",0.9338,0.9161,0.8804,0.9727,0.9245,0.9355,1,0.9351,0.9259,0.939,0.9238,0.9834,0.9188,0.926,0.9262,0.9256,0.9059,0.9552,0.9601,0.9382,0.9613,0.9653,0.9228,0.9483,0.962,0.9391,0.9176,0.9167,0.9605,0.9504,0.9238,0.9305,0.9087,0.9641,0.9341,0.9752,0.9544,0.9275,0.902,0.925,0.933,0.9429,0.8883,0.9011,0.8944,0.9811,0.9575,0.9791,0.881
"District of Columbia",0.9568,0.906,0.9019,0.9284,0.8752,0.8745,0.9351,1,0.8972,0.9258,0.9019,0.9442,0.922,0.903,0.9134,0.964,0.9175,0.8906,0.8952,0.8717,0.9226,0.9097,0.9439,0.9213,0.9186,0.9056,0.904,0.8659,0.9106,0.9658,0.858,0.8811,0.8662,0.9288,0.9568,0.9084,0.8988,0.868,0.923,0.8929,0.9291,0.9239,0.8717,0.8213,0.9092,0.9228,0.9378,0.929,0.8521
"Florida",0.9089,0.9646,0.8532,0.9136,0.9596,0.8841,0.9259,0.8972,1,0.9675,0.9644,0.9273,0.8724,0.9754,0.8923,0.9092,0.8764,0.8999,0.9633,0.889,0.9085,0.9145,0.8993,0.9027,0.9081,0.9437,0.9668,0.9446,0.9182,0.9324,0.8892,0.9449,0.9254,0.9111,0.9141,0.9201,0.9019,0.8788,0.9536,0.8661,0.9068,0.9845,0.9425,0.8547,0.8636,0.9301,0.8973,0.9307,0.9115
"Georgia",0.9479,0.9728,0.8914,0.9289,0.9621,0.8798,0.939,0.9258,0.9675,1,0.9783,0.9472,0.9148,0.9809,0.9251,0.9446,0.896,0.9028,0.9611,0.8899,0.9328,0.9332,0.9382,0.9346,0.9319,0.9693,0.9637,0.9347,0.9233,0.9452,0.8836,0.9559,0.9448,0.9408,0.9455,0.9245,0.9117,0.8787,0.97,0.8918,0.9311,0.9792,0.9395,0.8459,0.8825,0.9467,0.9377,0.9497,0.9333
"Idaho",0.9335,0.9865,0.8751,0.9277,0.9648,0.8741,0.9238,0.9019,0.9644,0.9783,1,0.9289,0.9247,0.9726,0.9035,0.938,0.8644,0.8979,0.9581,0.8744,0.9174,0.9279,0.9226,0.9156,0.927,0.9687,0.9677,0.9425,0.926,0.9446,0.8806,0.9576,0.9457,0.9263,0.9476,0.9198,0.9001,0.8674,0.9676,0.8829,0.9139,0.971,0.9387,0.8424,0.864,0.9356,0.9234,0.9409,0.9289
