"","Alabama","Arizona","Arkansas","California","Colorado","Connecticut","Delaware","District of Columbia","Florida","Georgia","Idaho","Illinois","Indiana","Iowa","Kansas","Kentucky","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota","Mississippi","Missouri","Montana","Nebraska","Nevada","New Hampshire","New Jersey","New Mexico","New York","North Carolina","North Dakota","Ohio","Oklahoma","Oregon","Pennsylvania","Rhode Island","South Carolina","South Dakota","Tennessee","Texas","Utah","Vermont","Virginia","Washington","West Virginia","Wisconsin","Wyoming"
"Alabama",1,0.0025,0.00176,0.00201,0.00137,0.00095,0.00229,0.00427,0.00175,0.0034,0.00241,0.00314,0.00405,0.00198,0.0025,0.00819,0.00201,0.00121,0.00171,0.00107,0.00179,0.00201,0.00343,0.0031,0.00211,0.00194,0.00175,0.00107,0.00182,0.00683,0.00087,0.00167,0.0015,0.00226,0.01346,0.0017,0.00135,0.00092,0.0028,0.00155,0.00299,0.00268,0.00134,0.00067,0.00154,0.00208,0.00351,0.00252,0.00135
"Arizona",0.0025,1,0.00119,0.00164,0.00383,0.00093,0.0017,0.00169,0.00482,0.00704,0.01443,0.00196,0.00203,0.00592,0.0015,0.0025,0.00114,0.00107,0.00356,0.00103,0.00159,0.00191,0.00188,0.00176,0.00173,0.00398,0.00447,0.00194,0.00159,0.0026,0.00092,0.00328,0.00252,0.00177,0.00308,0.0015,0.00123,0.00094,0.00495,0.00122,0.00179,0.00563,0.00255,0.00068,0.00112,0.00191,0.00183,0.00208,0.00215
"Arkansas",0.00176,0.00119,1,0.00091,0.00099,0.00061,0.00114,0.00161,0.00102,0.00162,0.00127,0.00139,0.00155,0.00122,0.00433,0.00224,0.00464,0.00078,0.00107,7e-04,0.00105,0.00125,0.00335,0.00376,0.00108,0.00112,0.00147,0.00073,0.00089,0.0016,0.00055,0.00105,0.00096,0.00122,0.00182,9e-04,0.00083,0.00059,0.00158,0.00154,0.00612,0.00142,0.00184,0.00047,0.00193,0.00108,0.0017,0.00116,0.00241
"California",0.00201,0.00164,0.00091,1,0.00173,0.00176,0.00604,0.00185,0.00155,0.00187,0.00186,0.00629,0.00184,0.00162,0.00156,0.00174,0.00108,0.00217,0.00251,0.00168,0.00308,0.00334,0.00129,0.00184,0.00383,0.0023,0.00136,0.00134,0.00405,0.00275,0.00149,0.00177,0.0015,0.0031,0.00218,0.00626,0.00232,0.00166,0.00119,0.00159,0.00156,0.00188,0.00106,0.0011,0.00135,0.007,0.00319,0.00508,0.00115
"Colorado",0.00137,0.00383,0.00099,0.00173,1,0.00124,0.00183,0.00128,0.00383,0.0049,0.00519,0.00214,0.00116,0.00563,0.00125,0.00148,0.00097,0.00131,0.00535,0.00143,0.00228,0.00265,0.00138,0.00153,0.00227,0.00988,0.00349,0.00275,0.00187,0.00157,0.00122,0.00603,0.0042,0.00231,0.00155,0.00209,0.00174,0.00135,0.00265,0.00137,0.00141,0.00386,0.00216,9e-04,0.00099,0.00232,0.00197,0.00252,0.0022
"Connecticut",0.00095,0.00093,0.00061,0.00176,0.00124,1,0.00191,0.00101,0.00105,0.00101,0.00097,0.00184,0.00091,0.00098,0.00083,0.00087,0.00074,0.00654,0.00144,0.00746,0.00286,0.0023,0.00076,0.00099,0.00261,0.00141,0.00086,0.00214,0.00284,0.00111,0.0074,0.00186,0.00187,0.00232,0.00096,0.00228,0.0045,0.00597,0.00078,0.00239,0.00089,0.00105,0.00071,0.00364,0.00087,0.00192,0.00137,0.00198,0.00077
"Delaware",0.00229,0.0017,0.00114,0.00604,0.00183,0.00191,1,0.00239,0.00188,0.00234,0.00188,0.01086,0.00171,0.00186,0.00184,0.002,0.00139,0.00275,0.0039,0.00219,0.00383,0.00435,0.00176,0.0025,0.00418,0.0024,0.00164,0.00159,0.00407,0.00293,0.00159,0.00207,0.00165,0.00426,0.00225,0.00629,0.00295,0.00182,0.00143,0.00185,0.002,0.00242,0.00119,0.00115,0.00138,0.00912,0.00371,0.00769,0.00125
"District of Columbia",0.00427,0.00169,0.00161,0.00185,0.00128,0.00101,0.00239,1,0.00154,0.00233,0.00162,0.00306,0.00202,0.00162,0.00184,0.00503,0.00191,0.00119,0.00158,0.00112,0.00192,0.00185,0.00288,0.00213,0.00185,0.0016,0.00167,0.00101,0.0016,0.00483,0.00087,0.00136,0.00125,0.00213,0.0042,0.00157,0.00138,0.00101,0.00219,0.00147,0.00235,0.0022,0.0012,0.00067,0.00181,0.00189,0.00269,0.0021,0.00118
"Florida",0.00175,0.00482,0.00102,0.00155,0.00383,0.00105,0.00188,0.00154,1,0.00472,0.00458,0.00207,0.00115,0.00719,0.00137,0.0018,0.00118,0.00123,0.00434,0.00119,0.00156,0.00175,0.0015,0.00153,0.00157,0.00257,0.00449,0.00233,0.00166,0.00231,0.00106,0.00261,0.002,0.00163,0.00189,0.00169,0.00134,0.00105,0.00326,0.00108,0.0016,0.01219,0.00252,0.00077,0.0011,0.00199,0.0015,0.00204,0.00172
"Georgia",0.0034,0.00704,0.00162,0.00187,0.0049,0.00101,0.00234,0.00233,0.00472,1,0.00803,0.00312,0.0019,0.0085,0.00214,0.00333,0.00164,0.00122,0.00424,0.00124,0.00217,0.00249,0.00289,0.00268,0.00214,0.00478,0.00473,0.00179,0.0017,0.0028,0.00097,0.00373,0.00294,0.00249,0.00335,0.00182,0.00151,0.00106,0.00617,0.00149,0.00252,0.00788,0.00276,0.00072,0.00137,0.00257,0.00291,0.0027,0.00276
