"state","cosine_sqrt","cosine_idf","cosine_raw","n_rows","rank_sqrt","rank_idf","rank_raw"
"Tennessee",0.977401936137216,0.790793894912116,0.979176613833785,2946,1,2,1
"Kansas",0.972632182057918,0.864952358440473,0.967865084895199,2656,2,1,2
"Arkansas",0.959743890541773,0.625676974731728,0.950866451222354,2890,3,4,4
"Missouri",0.958287594608278,0.590399469542667,0.96331937146952,2518,4,5,3
"Virginia",0.934899915669146,0.543488965604945,0.922638912214836,2012,5,6,5
"New Mexico",0.922052225054544,0.26342629740184,0.90084081107015,2616,6,13,8
"Alabama",0.920827606142579,0.428337177156232,0.909791758446739,3008,7,11,6
"Kentucky",0.918823386663143,0.139555392333067,0.900231492955289,2963,8,21,10
"District of Columbia",0.917527218707568,0.198409264777225,0.90705634297792,2589,9,17,7
"Mississippi",0.911867330709473,0.235953428025249,0.891126673441269,2863,10,15,13
"Illinois",0.911725175937926,0.146996815278362,0.888884997312961,2451,11,20,14
"Oklahoma",0.910726875912451,0.156981907433617,0.892390957082161,2817,12,19,12
"Utah",0.909931095246041,0.76946190611805,0.900708045602287,2540,13,3,9
"West Virginia",0.906616131092182,0.109621338099055,0.874901777349804,2238,14,23,18
"South Dakota",0.90607367900378,0.183670454196018,0.89743747877904,2008,15,18,11
"Delaware",0.905887912666392,0.105206329690735,0.883794819125173,1772,16,25,17
"Texas",0.90588531016235,0.539615426431323,0.871586754282541,2448,17,7,19
"Wyoming",0.901533631628062,0.298075597921207,0.887189843368574,878,18,12,15
"Wisconsin",0.899249757102137,0.0866145932292331,0.871255537229186,2817,19,26,20
"Washington",0.896428426435429,0.0853478219535297,0.863471308072033,2570,20,27,23
"Georgia",0.896044746166496,0.474499820250489,0.866837663981792,2795,21,10,22
"Ohio",0.895644008775365,0.0668020740762946,0.869982370107241,2756,22,32,21
"Indiana",0.894338250875111,0.227305958297308,0.884274158098904,2530,23,16,16
"California",0.886282254347821,0.10630780347695,0.853144689406413,2273,24,24,28
"Michigan",0.883671139141146,0.0670209039928251,0.855743353145683,2511,25,31,25
"Montana",0.883398730408281,0.0552876933513595,0.854360003619817,2066,26,39,27
"Minnesota",0.882114359981831,0.0527243344210964,0.847314482979372,2404,27,41,31
"Oregon",0.881007209581005,0.128988972223831,0.838980475931407,2511,28,22,33
"Iowa",0.8806528552879,0.534846672623906,0.8547388569417,2627,29,8,26
"New Jersey",0.876905044350548,0.0638841578758954,0.850442070259222,2115,30,34,29
"Florida",0.876412575604848,0.519892793417195,0.848271729293615,2713,31,9,30
"South Carolina",0.876198553028228,0.0750862985497629,0.858414529499179,2926,32,29,24
"Pennsylvania",0.87288462244898,0.0644435753395621,0.836516225817048,2341,33,33,36
"Maine",0.869995240533622,0.0465455642744988,0.829241852339195,2664,34,42,38
"Nevada",0.869462774769826,0.0792566099190614,0.838313280563095,2572,35,28,34
"Maryland",0.868348989246821,0.0545636383030086,0.837766986733003,2009,36,40,35
"Nebraska",0.865076175745668,0.0436005073699403,0.827234523200607,2552,37,43,39
"Idaho",0.864446631826371,0.0740835997251448,0.834543697210107,2677,38,30,37
"Arizona",0.862278183597587,0.256406189797606,0.840211530970437,2301,39,14,32
"North Carolina",0.849115005480901,0.0251044600061073,0.813698828422621,2896,40,46,41
"Massachusetts",0.844062931425293,0.0611327182894174,0.806314994996274,2751,41,36,42
"Connecticut",0.839953182845845,0.0563166715564237,0.795811950923404,2430,42,38,45
"Colorado",0.839024873449104,0.0617154275024468,0.814664458162882,2210,43,35,40
"New Hampshire",0.830996714001946,0.0223262169915166,0.796847221517606,1795,44,47,44
"North Dakota",0.828949637013723,0.0190228535856836,0.800241751644446,1300,45,48,43
"New York",0.827048172772871,0.0337284234371738,0.783474992783464,2595,46,44,46
"Rhode Island",0.825414991974905,0.060043773506625,0.781609678202294,1952,47,37,47
"Vermont",0.795798408490918,0.0275322654918977,0.742317333496865,1920,48,45,48
