"state","arm","budget","n_pool","n_core","n_buffer","n_te","n_flagged","n_errors_caught","precision","base_rate_te","dollar_recall","fill_gap_core","fill_gap_total"
"Alabama","state",0.05,3464,3,10,1039,51,17,0.3333,0.1347,0.1345,0,1
"Alabama","state",0.1,3464,9,15,1039,103,32,0.3107,0.1347,0.2427,0,0
"Alabama","national",0.05,53420,43,81,1039,51,18,0.3529,0.1347,0.1306,0,0
"Alabama","national",0.1,53420,92,117,1039,103,34,0.3301,0.1347,0.2523,0,0
"Alabama","blended",0.05,56873,43,81,1039,51,18,0.3529,0.1347,0.1306,0,0
"Alabama","blended",0.1,56873,92,102,1039,103,34,0.3301,0.1347,0.2523,0,0
"Arizona","state",0.05,10290,4,14,863,43,10,0.2326,0.1124,0.1563,0,0
"Arizona","state",0.1,10290,5,24,863,86,23,0.2674,0.1124,0.2256,0,0
"Arizona","national",0.05,53420,31,49,863,43,13,0.3023,0.1124,0.2011,0,0
"Arizona","national",0.1,53420,56,143,863,86,25,0.2907,0.1124,0.3581,0,0
"Arizona","blended",0.05,63590,10,37,863,43,13,0.3023,0.1124,0.1154,0,0
"Arizona","blended",0.1,63590,26,96,863,86,25,0.2907,0.1124,0.2782,0,0
"Arkansas","state",0.05,3472,2,11,855,42,5,0.119,0.0795,0.0875,0,0
"Arkansas","state",0.1,3472,7,14,855,83,12,0.1446,0.0795,0.1852,0,0
"Arkansas","national",0.05,53420,42,73,855,42,9,0.2143,0.0795,0.1657,0,0
"Arkansas","national",0.1,53420,79,113,855,85,17,0.2,0.0795,0.3037,0,0
"Arkansas","blended",0.05,56882,42,63,855,42,9,0.2143,0.0795,0.1657,0,0
"Arkansas","blended",0.1,56882,79,112,855,85,17,0.2,0.0795,0.3037,0,0
"California","state",0.05,6322,2,11,814,36,8,0.2222,0.1302,0.0666,0,0
"California","state",0.1,6322,5,19,814,81,23,0.284,0.1302,0.2992,0,0
"California","national",0.05,53420,33,48,814,40,16,0.4,0.1302,0.2186,0,0
"California","national",0.1,53420,50,135,814,81,25,0.3086,0.1302,0.3181,0,0
"California","blended",0.05,59640,33,28,814,40,16,0.4,0.1302,0.2186,0,0
"California","blended",0.1,59640,46,81,814,81,30,0.3704,0.1302,0.3592,0,0
"Colorado","state",0.05,4893,4,11,803,37,12,0.3243,0.1208,0.1595,0,0
"Colorado","state",0.1,4893,8,15,803,79,22,0.2785,0.1208,0.2382,0,0
"Colorado","national",0.05,53420,36,74,803,40,14,0.35,0.1208,0.1348,0,0
"Colorado","national",0.1,53420,73,138,803,80,29,0.3625,0.1208,0.2348,0,0
"Colorado","blended",0.05,58286,36,63,803,40,14,0.35,0.1208,0.1348,0,0
