"state","budget","n_pool","n_state_pool","n_core","n_buffer","n_state_rules_core","n_state_rules_buffer","n_artifact_dropped_blend","n_state_pool_tagged","state_pool_held","fill_cases","fill_gap_core","fill_gap_total","cap_buf"
"Alabama",0.05,70922,12025,48,87,1,2,1930,45,FALSE,455,0,0,455
"Alabama",0.1,70922,12025,91,152,3,5,1930,45,FALSE,911,0,0,911
"Arizona",0.05,75237,16833,19,41,2,8,2374,491,FALSE,378,0,0,378
"Arizona",0.1,75237,16833,35,117,7,7,2374,491,FALSE,756,0,0,756
"Arkansas",0.05,64925,5909,54,78,0,0,1885,0,FALSE,355,0,0,355
"Arkansas",0.1,64925,5909,90,158,0,1,1885,0,FALSE,710,0,0,710
"California",0.05,68851,10324,33,61,0,2,2289,407,FALSE,349,0,0,349
"California",0.1,68851,10324,61,115,1,5,2289,407,FALSE,699,0,0,699
"Colorado",0.05,67101,8135,50,70,0,4,1885,0,FALSE,390,0,0,390
"Colorado",0.1,67101,8135,78,157,2,5,1885,0,FALSE,781,0,0,781
"Connecticut",0.05,69480,10830,29,40,1,7,2173,288,FALSE,415,0,0,415
"Connecticut",0.1,69480,10830,49,137,4,7,2173,288,FALSE,830,0,0,830
"Delaware",0.05,63040,4040,25,44,0,2,1901,16,FALSE,183,0,0,183
"Delaware",0.1,63040,4040,35,102,1,4,1901,16,FALSE,367,0,0,367
"District of Columbia",0.05,73802,16248,5,12,3,8,3268,1383,FALSE,330,0,0,330
"District of Columbia",0.1,73802,16248,14,23,6,13,3268,1383,FALSE,660,0,0,660
"Florida",0.05,70276,11366,22,42,0,8,1893,8,FALSE,398,0,0,398
"Florida",0.1,70276,11366,38,93,4,9,1893,8,FALSE,797,0,0,797
"Georgia",0.05,79059,20242,16,24,3,10,1939,54,FALSE,436,0,0,436
"Georgia",0.1,79059,20242,17,51,7,21,1939,54,FALSE,873,0,0,873
"Idaho",0.05,62736,3726,42,68,0,1,1899,14,FALSE,386,0,0,386
"Idaho",0.1,62736,3726,74,165,1,0,1899,14,FALSE,772,0,0,772
"Illinois",0.05,72207,13633,15,61,3,3,2197,316,FALSE,367,0,0,367
"Illinois",0.1,72207,13633,53,90,5,7,2197,316,FALSE,734,0,0,734
"Indiana",0.05,69567,10621,27,43,2,6,1885,0,FALSE,382,0,0,382
"Indiana",0.1,69567,10621,45,129,6,10,1885,0,FALSE,765,0,0,765
"Iowa",0.05,61046,2359,77,86,0,0,2220,338,FALSE,425,0,0,425
"Iowa",0.1,61046,2359,115,179,0,2,2220,338,FALSE,851,0,0,851
"Kansas",0.05,64802,5795,53,80,0,0,1885,0,FALSE,390,0,0,390
"Kansas",0.1,64802,5795,96,158,0,0,1885,0,FALSE,780,0,0,780
"Kentucky",0.05,65029,6033,54,86,1,2,1885,0,FALSE,405,0,0,405
"Kentucky",0.1,65029,6033,96,166,3,0,1885,0,FALSE,811,0,0,811
"Louisiana",0.05,68379,9395,53,61,0,0,1885,0,FALSE,379,0,0,379
"Louisiana",0.1,68379,9395,88,157,0,1,1885,0,FALSE,759,0,0,759
"Maine",0.05,68056,9111,28,68,3,6,1906,21,FALSE,409,0,0,409
"Maine",0.1,68056,9111,61,153,5,6,1906,21,FALSE,818,0,0,818
"Maryland",0.05,63835,4814,13,26,2,5,1888,3,FALSE,257,0,0,257
"Maryland",0.1,63835,4814,25,90,4,9,1888,3,FALSE,515,0,0,515
"Massachusetts",0.05,68033,9118,24,54,0,4,1924,39,FALSE,351,0,0,351
"Massachusetts",0.1,68033,9118,47,126,3,7,1924,39,FALSE,703,0,0,703
"Michigan",0.05,64463,5608,40,52,0,5,2018,133,FALSE,381,0,0,381
"Michigan",0.1,64463,5608,61,120,3,7,2018,133,FALSE,762,0,0,762
"Minnesota",0.05,66166,7169,48,59,1,4,1885,0,FALSE,376,0,0,376
"Minnesota",0.1,66166,7169,69,123,3,7,1885,0,FALSE,752,0,0,752
"Mississippi",0.05,70745,11789,27,25,3,8,1885,0,FALSE,408,0,0,408
"Mississippi",0.1,70745,11789,32,131,7,6,1885,0,FALSE,816,0,0,816
"Missouri",0.05,67343,8393,43,80,1,1,1885,0,FALSE,321,0,0,321
"Missouri",0.1,67343,8393,81,157,2,2,1885,0,FALSE,642,0,0,642
"Montana",0.05,60730,1696,46,60,0,1,1885,0,FALSE,256,0,0,256
"Montana",0.1,60730,1696,81,144,0,4,1885,0,FALSE,512,0,0,512
