"target","arm","seed","budget","n_te","n_err_te","n_flagged","n_errors_caught","precision","base_rate_te","dollar_recall","artifact_share_flagged","n_rules_deployed","n_rules_deployed_newfeat","slack"
"California","base",117,0.05,814,106,40,14,0.35,0.1302,0.1383,0.05,100,0,0
"California","base",117,0.1,814,106,81,26,0.321,0.1302,0.2655,0.0617,195,0,0
"California","base",20260805,0.05,814,106,40,13,0.325,0.1302,0.129,0.05,101,0,0
"California","base",20260805,0.1,814,106,81,25,0.3086,0.1302,0.2944,0.0494,210,0,0
"California","base",31415,0.05,814,106,40,15,0.375,0.1302,0.1591,0.025,104,0,0
"California","base",31415,0.1,814,106,81,27,0.3333,0.1302,0.3083,0.0864,207,0,0
"California","cand",117,0.05,814,106,40,13,0.325,0.1302,0.1296,0.075,102,85,0
"California","cand",117,0.1,814,106,81,22,0.2716,0.1302,0.2617,0.0494,227,197,0
"California","cand",20260805,0.05,814,106,40,12,0.3,0.1302,0.1268,0.025,112,96,0
"California","cand",20260805,0.1,814,106,81,24,0.2963,0.1302,0.2846,0.0741,239,204,0
"California","cand",31415,0.05,814,106,40,15,0.375,0.1302,0.1602,0.025,105,89,0
"California","cand",31415,0.1,814,106,81,23,0.284,0.1302,0.2798,0.0741,247,212,0
"Texas","base",117,0.05,832,124,41,12,0.2927,0.149,0.1027,0.0244,105,0,0
"Texas","base",117,0.1,832,124,83,21,0.253,0.149,0.1568,0.012,193,0,0
"Texas","base",20260805,0.05,832,124,41,11,0.2683,0.149,0.0958,0.0244,105,0,0
"Texas","base",20260805,0.1,832,124,83,21,0.253,0.149,0.1659,0.012,213,0,0
"Texas","base",31415,0.05,832,124,41,12,0.2927,0.149,0.1018,0.0244,111,0,0
"Texas","base",31415,0.1,832,124,83,17,0.2048,0.149,0.1289,0.012,209,0,0
"Texas","cand",117,0.05,832,124,41,12,0.2927,0.149,0.0907,0,114,97,0
"Texas","cand",117,0.1,832,124,83,22,0.2651,0.149,0.1821,0.012,228,197,0
"Texas","cand",20260805,0.05,832,124,41,10,0.2439,0.149,0.0799,0.0244,101,86,0
"Texas","cand",20260805,0.1,832,124,83,23,0.2771,0.149,0.2111,0.012,223,190,0
"Texas","cand",31415,0.05,832,124,41,13,0.3171,0.149,0.116,0,94,77,0
"Texas","cand",31415,0.1,832,124,83,28,0.3373,0.149,0.2489,0.012,194,167,0
"Michigan","base",117,0.05,847,111,42,20,0.4762,0.1311,0.1523,0.0714,126,0,0
"Michigan","base",117,0.1,847,111,84,31,0.369,0.1311,0.288,0.0357,223,0,0
"Michigan","base",20260805,0.05,847,111,42,16,0.381,0.1311,0.1521,0.0238,111,0,0
"Michigan","base",20260805,0.1,847,111,84,28,0.3333,0.1311,0.2761,0.0238,229,0,0
"Michigan","base",31415,0.05,847,111,42,16,0.381,0.1311,0.1059,0.0476,125,0,0
"Michigan","base",31415,0.1,847,111,84,26,0.3095,0.1311,0.2537,0.0357,235,0,0
"Michigan","cand",117,0.05,847,111,42,16,0.381,0.1311,0.0976,0.0714,132,112,0
"Michigan","cand",117,0.1,847,111,84,27,0.3214,0.1311,0.1976,0.0357,260,225,0
"Michigan","cand",20260805,0.05,847,111,42,15,0.3571,0.1311,0.0878,0.0238,123,106,0
"Michigan","cand",20260805,0.1,847,111,84,27,0.3214,0.1311,0.1919,0.0119,268,236,0
"Michigan","cand",31415,0.05,847,111,42,13,0.3095,0.1311,0.0721,0.0238,111,93,0
"Michigan","cand",31415,0.1,847,111,84,25,0.2976,0.1311,0.2183,0.0357,245,214,0
"Massachusetts","base",117,0.05,764,118,38,22,0.5789,0.1545,0.1608,0.0263,113,0,0
"Massachusetts","base",117,0.1,764,118,76,32,0.4211,0.1545,0.2517,0.0263,233,0,0
"Massachusetts","base",20260805,0.05,764,118,38,21,0.5526,0.1545,0.1645,0.0263,115,0,0
"Massachusetts","base",20260805,0.1,764,118,76,32,0.4211,0.1545,0.2598,0.0263,247,0,0
"Massachusetts","base",31415,0.05,764,118,38,21,0.5526,0.1545,0.1585,0.0526,107,0,0
"Massachusetts","base",31415,0.1,764,118,76,30,0.3947,0.1545,0.2293,0.0526,232,0,0
"Massachusetts","cand",117,0.05,764,118,38,11,0.2895,0.1545,0.0787,0,103,89,0
"Massachusetts","cand",117,0.1,764,118,76,21,0.2763,0.1545,0.142,0.0395,228,195,0
"Massachusetts","cand",20260805,0.05,764,118,38,20,0.5263,0.1545,0.1396,0.0526,112,96,0
"Massachusetts","cand",20260805,0.1,764,118,76,25,0.3289,0.1545,0.1705,0.0263,234,203,0
"Massachusetts","cand",31415,0.05,764,118,38,10,0.2632,0.1545,0.0689,0.0263,107,87,0
"Massachusetts","cand",31415,0.1,764,118,76,19,0.25,0.1545,0.1288,0.0395,237,202,0
"Arizona","base",117,0.05,863,97,43,14,0.3256,0.1124,0.1629,0.0465,87,0,0
"Arizona","base",117,0.1,863,97,86,29,0.3372,0.1124,0.302,0.0233,193,0,0
"Arizona","base",20260805,0.05,863,97,43,15,0.3488,0.1124,0.1824,0.0465,79,0,0
"Arizona","base",20260805,0.1,863,97,86,30,0.3488,0.1124,0.3253,0.0233,184,0,0
"Arizona","base",31415,0.05,863,97,43,12,0.2791,0.1124,0.1171,0,86,0,0
"Arizona","base",31415,0.1,863,97,86,32,0.3721,0.1124,0.4002,0.0233,181,0,0
"Arizona","cand",117,0.05,863,97,43,14,0.3256,0.1124,0.1507,0.0465,101,85,0
"Arizona","cand",117,0.1,863,97,86,29,0.3372,0.1124,0.3356,0.0233,235,202,0
"Arizona","cand",20260805,0.05,863,97,43,12,0.2791,0.1124,0.1044,0.0465,105,89,0
"Arizona","cand",20260805,0.1,863,97,86,31,0.3605,0.1124,0.3932,0.0233,235,196,0
"Arizona","cand",31415,0.05,863,97,43,13,0.3023,0.1124,0.1096,0.0465,99,83,0
"Arizona","cand",31415,0.1,863,97,86,30,0.3488,0.1124,0.3949,0.0233,214,178,0
"Washington","base",117,0.05,678,61,33,12,0.3636,0.09,0.1768,0,91,0,0
"Washington","base",117,0.1,678,61,67,22,0.3284,0.09,0.3988,0,203,0,0
"Washington","base",20260805,0.05,678,61,33,10,0.303,0.09,0.1798,0.0303,108,0,0
"Washington","base",20260805,0.1,678,61,67,19,0.2836,0.09,0.3656,0.0149,206,0,0
"Washington","base",31415,0.05,678,61,33,11,0.3333,0.09,0.2344,0.0303,108,0,0
"Washington","base",31415,0.1,678,61,67,18,0.2687,0.09,0.343,0.0149,208,0,0
"Washington","cand",117,0.05,678,61,33,11,0.3333,0.09,0.1941,0,112,99,0
"Washington","cand",117,0.1,678,61,67,20,0.2985,0.09,0.3799,0.0149,232,206,0
"Washington","cand",20260805,0.05,678,61,33,13,0.3939,0.09,0.2133,0.0303,111,99,0
"Washington","cand",20260805,0.1,678,61,67,23,0.3433,0.09,0.4176,0.0149,244,208,0
"Washington","cand",31415,0.05,678,61,33,9,0.2727,0.09,0.1913,0.0303,98,86,0
"Washington","cand",31415,0.1,678,61,67,18,0.2687,0.09,0.3109,0.0149,235,209,0
"Louisiana","base",117,0.05,873,96,43,10,0.2326,0.11,0.125,0.0465,120,0,0
"Louisiana","base",117,0.1,873,96,87,22,0.2529,0.11,0.285,0.023,230,0,0
"Louisiana","base",20260805,0.05,873,96,43,14,0.3256,0.11,0.1801,0.0465,108,0,0
"Louisiana","base",20260805,0.1,873,96,87,27,0.3103,0.11,0.3508,0.023,220,0,0
"Louisiana","base",31415,0.05,873,96,43,10,0.2326,0.11,0.0883,0.0465,116,0,0
"Louisiana","base",31415,0.1,873,96,87,25,0.2874,0.11,0.2874,0.023,220,0,0
"Louisiana","cand",117,0.05,873,96,43,13,0.3023,0.11,0.1407,0.0233,123,105,0
"Louisiana","cand",117,0.1,873,96,87,25,0.2874,0.11,0.2735,0.023,236,207,0
"Louisiana","cand",20260805,0.05,873,96,43,13,0.3023,0.11,0.1519,0.0465,104,92,0
"Louisiana","cand",20260805,0.1,873,96,87,24,0.2759,0.11,0.3008,0.023,238,209,0
"Louisiana","cand",31415,0.05,873,96,43,9,0.2093,0.11,0.1194,0.0465,131,116,0
"Louisiana","cand",31415,0.1,873,96,87,21,0.2414,0.11,0.229,0.023,244,220,0
"Maine","base",117,0.05,928,115,46,10,0.2174,0.1239,0.137,0.0217,116,0,0
"Maine","base",117,0.1,928,115,92,24,0.2609,0.1239,0.2474,0.0217,244,0,0
"Maine","base",20260805,0.05,928,115,46,10,0.2174,0.1239,0.1479,0,121,0,0
"Maine","base",20260805,0.1,928,115,92,23,0.25,0.1239,0.2753,0,268,0,0
"Maine","base",31415,0.05,928,115,46,11,0.2391,0.1239,0.1613,0,111,0,0
"Maine","base",31415,0.1,928,115,92,23,0.25,0.1239,0.2669,0.0109,243,0,0
"Maine","cand",117,0.05,928,115,46,9,0.1957,0.1239,0.1349,0.0217,115,100,0
"Maine","cand",117,0.1,928,115,92,24,0.2609,0.1239,0.2778,0.0109,264,230,0
"Maine","cand",20260805,0.05,928,115,46,12,0.2609,0.1239,0.1268,0.0217,124,104,0
"Maine","cand",20260805,0.1,928,115,92,22,0.2391,0.1239,0.2459,0.0435,272,227,0
"Maine","cand",31415,0.05,928,115,46,12,0.2609,0.1239,0.1489,0.0217,120,100,0
"Maine","cand",31415,0.1,928,115,92,23,0.25,0.1239,0.2747,0.0109,250,218,0
"New Jersey","base",117,0.05,621,59,31,4,0.129,0.095,0.0897,0.0323,110,0,0
"New Jersey","base",117,0.1,621,59,62,10,0.1613,0.095,0.1774,0.0161,199,0,0
"New Jersey","base",20260805,0.05,621,59,31,7,0.2258,0.095,0.1529,0.0323,97,0,0
