"seed","feature","n_admitted_rules","best_rank","n_in_window"
117,"gross_by_hh_size",10797,60,3618
117,"earned_by_hh_size",9206,21,3871
117,"unearned_by_hh_size",8160,20,2426
117,"rawgrinc_p",12199,10,4254
117,"rawearn_p",9582,20,3720
117,"rawunearn_p",8877,8,2640
117,"rawrent_p",13033,1,4245
117,"rawmedded_p",4146,2,915
117,"rawcsded_p",2720,154,809
117,"rawdepded_p",3610,59,2077
20260805,"gross_by_hh_size",10896,15,3766
20260805,"earned_by_hh_size",10218,16,4242
20260805,"unearned_by_hh_size",8030,2,2378
20260805,"rawgrinc_p",11864,7,4244
20260805,"rawearn_p",9303,28,3747
20260805,"rawunearn_p",8807,9,2627
20260805,"rawrent_p",12357,2,4037
20260805,"rawmedded_p",3954,1,923
20260805,"rawcsded_p",2544,16,740
20260805,"rawdepded_p",3193,62,1748
31415,"gross_by_hh_size",10769,9,3697
31415,"earned_by_hh_size",9482,52,3888
31415,"unearned_by_hh_size",7921,18,2434
31415,"rawgrinc_p",12155,2,4324
31415,"rawearn_p",9615,60,3766
31415,"rawunearn_p",8390,2,2547
31415,"rawrent_p",12588,3,4191
31415,"rawmedded_p",3829,1,909
31415,"rawcsded_p",2799,64,799
31415,"rawdepded_p",3385,52,1885
