"target","seed","budget","precision_base","precision_cand","dollar_recall_base","dollar_recall_cand","d_precision","d_dollar"
"California",117,0.05,0.35,0.325,0.1383,0.1296,-0.025,-0.00870000000000001
"California",117,0.1,0.321,0.2716,0.2655,0.2617,-0.0494,-0.00380000000000003
"California",20260805,0.05,0.325,0.3,0.129,0.1268,-0.025,-0.00220000000000001
"California",20260805,0.1,0.3086,0.2963,0.2944,0.2846,-0.0123,-0.00979999999999998
"California",31415,0.05,0.375,0.375,0.1591,0.1602,0,0.00110000000000002
"California",31415,0.1,0.3333,0.284,0.3083,0.2798,-0.0493,-0.0285
"Texas",117,0.05,0.2927,0.2927,0.1027,0.0907,0,-0.012
"Texas",117,0.1,0.253,0.2651,0.1568,0.1821,0.0121,0.0253
"Texas",20260805,0.05,0.2683,0.2439,0.0958,0.0799,-0.0244,-0.0159
"Texas",20260805,0.1,0.253,0.2771,0.1659,0.2111,0.0241,0.0452
"Texas",31415,0.05,0.2927,0.3171,0.1018,0.116,0.0244,0.0142
"Texas",31415,0.1,0.2048,0.3373,0.1289,0.2489,0.1325,0.12
"Michigan",117,0.05,0.4762,0.381,0.1523,0.0976,-0.0952,-0.0547
"Michigan",117,0.1,0.369,0.3214,0.288,0.1976,-0.0476,-0.0904
"Michigan",20260805,0.05,0.381,0.3571,0.1521,0.0878,-0.0239,-0.0643
"Michigan",20260805,0.1,0.3333,0.3214,0.2761,0.1919,-0.0119,-0.0842
"Michigan",31415,0.05,0.381,0.3095,0.1059,0.0721,-0.0715,-0.0338
"Michigan",31415,0.1,0.3095,0.2976,0.2537,0.2183,-0.0119,-0.0354
"Massachusetts",117,0.05,0.5789,0.2895,0.1608,0.0787,-0.2894,-0.0821
"Massachusetts",117,0.1,0.4211,0.2763,0.2517,0.142,-0.1448,-0.1097
"Massachusetts",20260805,0.05,0.5526,0.5263,0.1645,0.1396,-0.0263,-0.0249
"Massachusetts",20260805,0.1,0.4211,0.3289,0.2598,0.1705,-0.0921999999999999,-0.0893
"Massachusetts",31415,0.05,0.5526,0.2632,0.1585,0.0689,-0.2894,-0.0896
"Massachusetts",31415,0.1,0.3947,0.25,0.2293,0.1288,-0.1447,-0.1005
"Arizona",117,0.05,0.3256,0.3256,0.1629,0.1507,0,-0.0122
"Arizona",117,0.1,0.3372,0.3372,0.302,0.3356,0,0.0336
"Arizona",20260805,0.05,0.3488,0.2791,0.1824,0.1044,-0.0697,-0.078
"Arizona",20260805,0.1,0.3488,0.3605,0.3253,0.3932,0.0117,0.0679
"Arizona",31415,0.05,0.2791,0.3023,0.1171,0.1096,0.0232,-0.00749999999999999
"Arizona",31415,0.1,0.3721,0.3488,0.4002,0.3949,-0.0233,-0.00530000000000003
"Washington",117,0.05,0.3636,0.3333,0.1768,0.1941,-0.0303,0.0173
"Washington",117,0.1,0.3284,0.2985,0.3988,0.3799,-0.0299,-0.0189
"Washington",20260805,0.05,0.303,0.3939,0.1798,0.2133,0.0909,0.0335
"Washington",20260805,0.1,0.2836,0.3433,0.3656,0.4176,0.0597,0.052
"Washington",31415,0.05,0.3333,0.2727,0.2344,0.1913,-0.0606,-0.0431
"Washington",31415,0.1,0.2687,0.2687,0.343,0.3109,0,-0.0321
"Louisiana",117,0.05,0.2326,0.3023,0.125,0.1407,0.0697,0.0157
"Louisiana",117,0.1,0.2529,0.2874,0.285,0.2735,0.0345,-0.0115
"Louisiana",20260805,0.05,0.3256,0.3023,0.1801,0.1519,-0.0233,-0.0282
"Louisiana",20260805,0.1,0.3103,0.2759,0.3508,0.3008,-0.0344,-0.05
"Louisiana",31415,0.05,0.2326,0.2093,0.0883,0.1194,-0.0233,0.0311
"Louisiana",31415,0.1,0.2874,0.2414,0.2874,0.229,-0.046,-0.0584
"Maine",117,0.05,0.2174,0.1957,0.137,0.1349,-0.0217,-0.00210000000000002
"Maine",117,0.1,0.2609,0.2609,0.2474,0.2778,0,0.0304
"Maine",20260805,0.05,0.2174,0.2609,0.1479,0.1268,0.0435,-0.0211
"Maine",20260805,0.1,0.25,0.2391,0.2753,0.2459,-0.0109,-0.0294
"Maine",31415,0.05,0.2391,0.2609,0.1613,0.1489,0.0218,-0.0124
"Maine",31415,0.1,0.25,0.25,0.2669,0.2747,0,0.00779999999999997
"New Jersey",117,0.05,0.129,0.129,0.0897,0.046,0,-0.0437
"New Jersey",117,0.1,0.1613,0.1774,0.1774,0.1508,0.0161,-0.0266
"New Jersey",20260805,0.05,0.2258,0.2581,0.1529,0.1197,0.0323,-0.0332
"New Jersey",20260805,0.1,0.2258,0.2419,0.2631,0.233,0.0161,-0.0301
"New Jersey",31415,0.05,0.1613,0.1935,0.1166,0.0942,0.0322,-0.0224
"New Jersey",31415,0.1,0.2258,0.1774,0.2392,0.194,-0.0484,-0.0452
"Mississippi",117,0.05,0.3333,0.3111,0.0993,0.0941,-0.0222,-0.0052
"Mississippi",117,0.1,0.2667,0.3667,0.1727,0.2338,0.1,0.0611
"Mississippi",20260805,0.05,0.2889,0.3556,0.0924,0.1139,0.0667,0.0215
"Mississippi",20260805,0.1,0.2667,0.3667,0.1808,0.2341,0.1,0.0533
"Mississippi",31415,0.05,0.3333,0.3556,0.102,0.1393,0.0223,0.0373
"Mississippi",31415,0.1,0.2778,0.3778,0.174,0.2602,0.1,0.0862
