"arm","seed","feature","family","n_admitted","share_admitted","n_window","share_window","best_rank"
"base",117,"HH_size_n","incumbent",4840,0.0956956719457461,3104,0.1552,103
"base",117,"children_i","incumbent",2812,0.0555983945271566,606,0.0303,100
"base",117,"elderly_disabled_i","incumbent",4865,0.0961899677719121,1665,0.08325,2
"base",117,"total_deductions_by_hh_size","incumbent",20446,0.404254898471637,8687,0.43435,4
"base",117,"expedited_i","incumbent",4393,0.0868576625738972,1891,0.09455,21
"base",117,"cat_elig","incumbent",4907,0.0970203847598711,1965,0.09825,35
"base",117,"rawben_rel_max","incumbent",19419,0.383949225932736,8929,0.44645,1
"base",117,"medical_deductions","incumbent",7603,0.150325246653617,2146,0.1073,9
"base",117,"shelter_expenses_by_hh_size","incumbent",18411,0.364019218221721,6904,0.3452,1
"base",117,"utilities","incumbent",16597,0.328153113075113,5586,0.2793,1
"base",117,"married","incumbent",2439,0.0482235008007592,1047,0.05235,87
"base",117,"homeless","incumbent",2188,0.0432607707060522,525,0.02625,9
"base",117,"percent_abawd","incumbent",5218,0.103169424837377,2294,0.1147,35
"base",117,"unc_rawben_rel_max","incumbent",16145,0.319216244538031,7634,0.3817,1
"base",117,"months_since_cert_n","incumbent",13113,0.259268046740613,4803,0.24015,23
"base",117,"count_divisible_by_100","incumbent",4143,0.0819147043122368,1789,0.08945,81
"base",20260805,"HH_size_n","incumbent",4562,0.0907228795863578,2972,0.1486,44
"base",20260805,"children_i","incumbent",3052,0.0606940439494879,622,0.0311,136
"base",20260805,"elderly_disabled_i","incumbent",4869,0.0968280799443174,1669,0.08345,10
"base",20260805,"total_deductions_by_hh_size","incumbent",19779,0.393337973550761,8436,0.4218,2
"base",20260805,"expedited_i","incumbent",4420,0.087898975837725,1931,0.09655,18
"base",20260805,"cat_elig","incumbent",5141,0.102237247688177,2097,0.10485,60
"base",20260805,"rawben_rel_max","incumbent",19679,0.391349308939047,9087,0.45435,1
"base",20260805,"medical_deductions","incumbent",7620,0.151536243412548,2214,0.1107,19
"base",20260805,"shelter_expenses_by_hh_size","incumbent",18145,0.360843193795366,6809,0.34045,1
