"target","seed","budget","precision_base","precision_cand","precision_base_slt","precision_cand_slt","dollar_recall_base","dollar_recall_cand","dollar_recall_base_slt","dollar_recall_cand_slt","d_prec_slt_on_base","d_doll_slt_on_base","d_prec_slt_on_cand","d_doll_slt_on_cand","d_prec_pkg_replication","d_doll_pkg_replication"
"California",117,0.05,0.35,0.325,0.375,0.4,0.1383,0.1296,0.1535,0.1646,0.025,0.0152,0.075,0.035,-0.025,-0.00870000000000001
"California",117,0.1,0.321,0.2716,0.3333,0.2716,0.2655,0.2617,0.3061,0.245,0.0123,0.0406,0,-0.0167,-0.0494,-0.00380000000000003
"California",20260805,0.05,0.325,0.3,0.325,0.325,0.129,0.1268,0.1215,0.1398,0,-0.00750000000000001,0.025,0.013,-0.025,-0.00220000000000001
"California",20260805,0.1,0.3086,0.2963,0.284,0.2716,0.2944,0.2846,0.2426,0.2554,-0.0246,-0.0518,-0.0247,-0.0292,-0.0123,-0.00979999999999998
"California",31415,0.05,0.375,0.375,0.375,0.325,0.1591,0.1602,0.2042,0.1379,0,0.0451,-0.05,-0.0223,0,0.00110000000000002
"California",31415,0.1,0.3333,0.284,0.321,0.2593,0.3083,0.2798,0.2991,0.2561,-0.0123,-0.00920000000000004,-0.0247,-0.0237,-0.0493,-0.0285
"Texas",117,0.05,0.2927,0.2927,0.2927,0.2195,0.1027,0.0907,0.0941,0.0611,0,-0.0086,-0.0732,-0.0296,0,-0.012
"Texas",117,0.1,0.253,0.2651,0.2289,0.253,0.1568,0.1821,0.15,0.1957,-0.0241,-0.0068,-0.0121,0.0136,0.0121,0.0253
"Texas",20260805,0.05,0.2683,0.2439,0.2927,0.2195,0.0958,0.0799,0.0958,0.0637,0.0244,0,-0.0244,-0.0162,-0.0244,-0.0159
"Texas",20260805,0.1,0.253,0.2771,0.253,0.241,0.1659,0.2111,0.1546,0.1445,0,-0.0113,-0.0361,-0.0666,0.0241,0.0452
"Texas",31415,0.05,0.2927,0.3171,0.3659,0.2683,0.1018,0.116,0.1192,0.107,0.0732,0.0174,-0.0488,-0.00900000000000001,0.0244,0.0142
"Texas",31415,0.1,0.2048,0.3373,0.2651,0.2289,0.1289,0.2489,0.1787,0.1494,0.0603,0.0498,-0.1084,-0.0995,0.1325,0.12
"Michigan",117,0.05,0.4762,0.381,0.3095,0.3095,0.1523,0.0976,0.1092,0.0668,-0.1667,-0.0431,-0.0715,-0.0308,-0.0952,-0.0547
"Michigan",117,0.1,0.369,0.3214,0.3333,0.3095,0.288,0.1976,0.2489,0.2497,-0.0357,-0.0391,-0.0119,0.0521,-0.0476,-0.0904
"Michigan",20260805,0.05,0.381,0.3571,0.4048,0.3571,0.1521,0.0878,0.1302,0.0841,0.0238,-0.0219,0,-0.00370000000000001,-0.0239,-0.0643
"Michigan",20260805,0.1,0.3333,0.3214,0.3333,0.3214,0.2761,0.1919,0.2769,0.2216,0,0.000799999999999967,0,0.0297,-0.0119,-0.0842
"Michigan",31415,0.05,0.381,0.3095,0.4286,0.3095,0.1059,0.0721,0.1145,0.067,0.0476,0.00860000000000001,0,-0.00509999999999999,-0.0715,-0.0338
"Michigan",31415,0.1,0.3095,0.2976,0.2976,0.2619,0.2537,0.2183,0.1678,0.1649,-0.0119,-0.0859,-0.0357,-0.0534,-0.0119,-0.0354
"Massachusetts",117,0.05,0.5789,0.2895,0.5263,0.2368,0.1608,0.0787,0.1472,0.0542,-0.0526,-0.0136,-0.0527,-0.0245,-0.2894,-0.0821
"Massachusetts",117,0.1,0.4211,0.2763,0.4342,0.3553,0.2517,0.142,0.2779,0.1931,0.0131,0.0262,0.079,0.0511,-0.1448,-0.1097
"Massachusetts",20260805,0.05,0.5526,0.5263,0.5526,0.2368,0.1645,0.1396,0.1451,0.0618,0,-0.0194,-0.2895,-0.0778,-0.0263,-0.0249
"Massachusetts",20260805,0.1,0.4211,0.3289,0.3816,0.3026,0.2598,0.1705,0.2122,0.1632,-0.0395,-0.0476,-0.0263,-0.0073,-0.0921999999999999,-0.0893
"Massachusetts",31415,0.05,0.5526,0.2632,0.4737,0.2895,0.1585,0.0689,0.1471,0.0863,-0.0789,-0.0114,0.0263,0.0174,-0.2894,-0.0896
"Massachusetts",31415,0.1,0.3947,0.25,0.4079,0.2895,0.2293,0.1288,0.2375,0.1508,0.0132,0.00819999999999999,0.0395,0.022,-0.1447,-0.1005
"Arizona",117,0.05,0.3256,0.3256,0.2558,0.2791,0.1629,0.1507,0.1335,0.1055,-0.0698,-0.0294,-0.0465,-0.0452,0,-0.0122
"Arizona",117,0.1,0.3372,0.3372,0.2791,0.3372,0.302,0.3356,0.2456,0.2901,-0.0581,-0.0564,0,-0.0455,0,0.0336
"Arizona",20260805,0.05,0.3488,0.2791,0.3023,0.3023,0.1824,0.1044,0.1472,0.1595,-0.0465,-0.0352,0.0232,0.0551,-0.0697,-0.078
"Arizona",20260805,0.1,0.3488,0.3605,0.3605,0.3256,0.3253,0.3932,0.3397,0.3634,0.0117,0.0144,-0.0349,-0.0298,0.0117,0.0679
"Arizona",31415,0.05,0.2791,0.3023,0.3023,0.2558,0.1171,0.1096,0.1714,0.1009,0.0232,0.0543,-0.0465,-0.0087,0.0232,-0.00749999999999999
"Arizona",31415,0.1,0.3721,0.3488,0.3372,0.3372,0.4002,0.3949,0.3337,0.3775,-0.0349,-0.0665,-0.0116,-0.0174,-0.0233,-0.00530000000000003
"Washington",117,0.05,0.3636,0.3333,0.3333,0.2727,0.1768,0.1941,0.1545,0.1547,-0.0303,-0.0223,-0.0606,-0.0394,-0.0303,0.0173
"Washington",117,0.1,0.3284,0.2985,0.2687,0.2687,0.3988,0.3799,0.3306,0.3194,-0.0597,-0.0682,-0.0298,-0.0605,-0.0299,-0.0189
"Washington",20260805,0.05,0.303,0.3939,0.2424,0.4242,0.1798,0.2133,0.1271,0.2347,-0.0606,-0.0527,0.0303,0.0214,0.0909,0.0335
"Washington",20260805,0.1,0.2836,0.3433,0.2836,0.3284,0.3656,0.4176,0.3749,0.3983,0,0.00930000000000003,-0.0149,-0.0193,0.0597,0.052
"Washington",31415,0.05,0.3333,0.2727,0.2424,0.303,0.2344,0.1913,0.1154,0.2252,-0.0909,-0.119,0.0303,0.0339,-0.0606,-0.0431
"Washington",31415,0.1,0.2687,0.2687,0.2985,0.2537,0.343,0.3109,0.3678,0.3313,0.0298,0.0248,-0.015,0.0204,0,-0.0321
"Louisiana",117,0.05,0.2326,0.3023,0.3023,0.3256,0.125,0.1407,0.1694,0.1569,0.0697,0.0444,0.0233,0.0162,0.0697,0.0157
"Louisiana",117,0.1,0.2529,0.2874,0.2874,0.3103,0.285,0.2735,0.3174,0.3108,0.0345,0.0324,0.0229,0.0373,0.0345,-0.0115
"Louisiana",20260805,0.05,0.3256,0.3023,0.2791,0.2791,0.1801,0.1519,0.158,0.1871,-0.0465,-0.0221,-0.0232,0.0352,-0.0233,-0.0282
"Louisiana",20260805,0.1,0.3103,0.2759,0.2414,0.2529,0.3508,0.3008,0.2667,0.3046,-0.0689,-0.0841,-0.023,0.00379999999999997,-0.0344,-0.05
"Louisiana",31415,0.05,0.2326,0.2093,0.2791,0.2558,0.0883,0.1194,0.1472,0.1473,0.0465,0.0589,0.0465,0.0279,-0.0233,0.0311
"Louisiana",31415,0.1,0.2874,0.2414,0.2759,0.2299,0.2874,0.229,0.3116,0.2479,-0.0115,0.0242,-0.0115,0.0189,-0.046,-0.0584
"Maine",117,0.05,0.2174,0.1957,0.2826,0.3261,0.137,0.1349,0.1698,0.1613,0.0652,0.0328,0.1304,0.0264,-0.0217,-0.00210000000000002
"Maine",117,0.1,0.2609,0.2609,0.2283,0.3152,0.2474,0.2778,0.2388,0.3263,-0.0326,-0.0086,0.0543,0.0485,0,0.0304
"Maine",20260805,0.05,0.2174,0.2609,0.1739,0.2391,0.1479,0.1268,0.135,0.1657,-0.0435,-0.0129,-0.0218,0.0389,0.0435,-0.0211
"Maine",20260805,0.1,0.25,0.2391,0.25,0.25,0.2753,0.2459,0.2586,0.294,0,-0.0167,0.0109,0.0481,-0.0109,-0.0294
"Maine",31415,0.05,0.2391,0.2609,0.2391,0.3043,0.1613,0.1489,0.1473,0.1714,0,-0.014,0.0434,0.0225,0.0218,-0.0124
"Maine",31415,0.1,0.25,0.25,0.2826,0.2935,0.2669,0.2747,0.3027,0.2903,0.0326,0.0358,0.0435,0.0156,0,0.00779999999999997
"New Jersey",117,0.05,0.129,0.129,0.2258,0.2581,0.0897,0.046,0.1587,0.1132,0.0968,0.069,0.1291,0.0672,0,-0.0437
"New Jersey",117,0.1,0.1613,0.1774,0.1613,0.2581,0.1774,0.1508,0.1995,0.2545,0,0.0221,0.0807,0.1037,0.0161,-0.0266
"New Jersey",20260805,0.05,0.2258,0.2581,0.1935,0.2581,0.1529,0.1197,0.1091,0.145,-0.0323,-0.0438,0,0.0253,0.0323,-0.0332
"New Jersey",20260805,0.1,0.2258,0.2419,0.2097,0.2258,0.2631,0.233,0.2375,0.216,-0.0161,-0.0256,-0.0161,-0.017,0.0161,-0.0301
"New Jersey",31415,0.05,0.1613,0.1935,0.129,0.1935,0.1166,0.0942,0.0897,0.0942,-0.0323,-0.0269,0,0,0.0322,-0.0224
"New Jersey",31415,0.1,0.2258,0.1774,0.1613,0.2097,0.2392,0.194,0.1943,0.2265,-0.0645,-0.0449,0.0323,0.0325,-0.0484,-0.0452
"Mississippi",117,0.05,0.3333,0.3111,0.3111,0.3333,0.0993,0.0941,0.1125,0.1091,-0.0222,0.0132,0.0222,0.015,-0.0222,-0.0052
"Mississippi",117,0.1,0.2667,0.3667,0.3111,0.3667,0.1727,0.2338,0.2123,0.2432,0.0444,0.0396,0,0.00939999999999999,0.1,0.0611
"Mississippi",20260805,0.05,0.2889,0.3556,0.2667,0.4222,0.0924,0.1139,0.0832,0.1364,-0.0222,-0.0092,0.0666,0.0225,0.0667,0.0215
"Mississippi",20260805,0.1,0.2667,0.3667,0.3333,0.3889,0.1808,0.2341,0.2459,0.2737,0.0666,0.0651,0.0222,0.0396,0.1,0.0533
"Mississippi",31415,0.05,0.3333,0.3556,0.2667,0.3556,0.102,0.1393,0.0762,0.1299,-0.0666,-0.0258,0,-0.00940000000000002,0.0223,0.0373
"Mississippi",31415,0.1,0.2778,0.3778,0.3111,0.3778,0.174,0.2602,0.2252,0.2396,0.0333,0.0512,0,-0.0206,0.1,0.0862
