"arm","seed","n_features","n_raw_rules","n_admitted","top_rule_hh","top_rule_lcb","top_rule"
"base",117,16,143096,50577,"1",0.634,"rawben_rel_max >    0.998 & shelter_expenses_by_hh_size > 1220.000 & unc_rawben_rel_max <=    1.000 & utilities <=  558.000"
"base",20260805,16,142490,50285,"1",0.6027,"rawben_rel_max >    0.998 & shelter_expenses_by_hh_size > 1290.000 & unc_rawben_rel_max <=    1.000 & utilities <=  678.000"
"base",31415,16,142162,50370,"1",0.6121,"months_since_cert_n >=  14.000 & rawben_rel_max <   0.986 & unc_rawben_rel_max >=   0.972 & utilities < 347.000"
"cand",117,26,151001,59675,"1",0.6995,"rawben_rel_max >   0.998 & rawrent_p >   0.973 & total_deductions_by_hh_size > 625.000 & unc_rawben_rel_max <=   1.000"
"cand",20260805,26,150578,59144,"1",0.6913,"medical_deductions >= 118.000 & rawben_rel_max >=   0.313 & rawmedded_p <   0.154 & utilities < 875.000"
"cand",31415,26,150368,59092,"1",0.6379,"medical_deductions > 138.000 & rawmedded_p <=   0.272 & total_deductions_by_hh_size > 380.000"
"base_slt",117,17,145537,52552,"1",0.5528,"rawben_rel_max <   0.986 & shelter_expenses_by_hh_size < 862.000 & shelter_expenses_p >=   0.262 & unc_rawben_rel_max >=   0.972"
"base_slt",20260805,17,145134,52667,"1",0.5772,"rawben_rel_max >   0.994 & shelter_expenses_p >   0.957 & unc_rawben_rel_max <=   1.000 & utilities <= 684.000"
"base_slt",31415,17,145542,52754,"1",0.6708,"shelter_expenses_by_hh_size > 703.000 & unc_rawben_rel_max >   0.897 & unc_rawben_rel_max <=   1.000 & utilities <=  29.500"
"cand_slt",117,27,152066,60138,"1",0.7599,"medical_deductions > 120.000 & rawmedded_p <=   0.152 & unc_rawben_rel_max >   0.281 & utilities >  29.500"
"cand_slt",20260805,27,151414,60029,"1",0.7066,"medical_deductions > 136.000 & rawmedded_p <=   0.263 & unc_rawben_rel_max >   0.281 & utilities >  29.500"
"cand_slt",31415,27,151256,59828,"1",0.6495,"medical_deductions > 114.000 & rawgrinc_p <=   0.887 & rawmedded_p <=   0.152 & shelter_expenses_by_hh_size > 416.000"
