"idx","var","lo","hi","width","rel_width","state","rank","rule"
3012,"unearned_by_hh_size",0.0625,0.367,0.3045,0.829700272479564,"West Virginia",75,"bbce_state_i >= 1 & earned_by_hh_size > 76.4 & unearned_by_hh_size > 0.0625 & unearned_by_hh_size <= 0.367"
3161,"unearned_by_hh_size",0.0625,0.367,0.3045,0.829700272479564,"Wisconsin",125,"bbce_state_i >= 1 & earned_by_hh_size > 76.4 & unearned_by_hh_size > 0.0625 & unearned_by_hh_size <= 0.367"
1120,"earned_by_hh_size",0.167,0.583,0.416,0.713550600343053,"Maine",45,"earned_by_hh_size > 0.167 & earned_by_hh_size <= 0.583 & percent_abawd <= 0.417 & unc_rawben_rel_max <= 0.977"
1490,"earned_by_hh_size",0.167,0.583,0.416,0.713550600343053,"Montana",39,"earned_by_hh_size > 0.167 & earned_by_hh_size <= 0.583 & percent_abawd <= 0.417 & unc_rawben_rel_max <= 0.977"
272,"earned_by_hh_size",0.0556,1.27,1.2144,0.956220472440945,"California",56,"earned_by_hh_size > 0.0556 & earned_by_hh_size <= 1.27 & unc_rawben_rel_max <= 0.975"
539,"earned_by_hh_size",0.0556,1.27,1.2144,0.956220472440945,"Idaho",31,"earned_by_hh_size > 0.0556 & earned_by_hh_size <= 1.27 & unc_rawben_rel_max <= 0.975"
677,"earned_by_hh_size",0.0556,1.27,1.2144,0.956220472440945,"Indiana",42,"earned_by_hh_size > 0.0556 & earned_by_hh_size <= 1.27 & unc_rawben_rel_max <= 0.975"
724,"earned_by_hh_size",0.0556,1.27,1.2144,0.956220472440945,"Iowa",44,"earned_by_hh_size > 0.0556 & earned_by_hh_size <= 1.27 & unc_rawben_rel_max <= 0.975"
925,"earned_by_hh_size",0.0556,1.27,1.2144,0.956220472440945,"Kentucky",34,"earned_by_hh_size > 0.0556 & earned_by_hh_size <= 1.27 & unc_rawben_rel_max <= 0.975"
1032,"earned_by_hh_size",0.0556,1.27,1.2144,0.956220472440945,"Louisiana",45,"earned_by_hh_size > 0.0556 & earned_by_hh_size <= 1.27 & unc_rawben_rel_max <= 0.975"
1327,"earned_by_hh_size",0.0556,1.27,1.2144,0.956220472440945,"Minnesota",58,"earned_by_hh_size > 0.0556 & earned_by_hh_size <= 1.27 & unc_rawben_rel_max <= 0.975"
1502,"earned_by_hh_size",0.0556,1.27,1.2144,0.956220472440945,"Montana",51,"earned_by_hh_size > 0.0556 & earned_by_hh_size <= 1.27 & unc_rawben_rel_max <= 0.975"
1580,"earned_by_hh_size",0.0556,1.27,1.2144,0.956220472440945,"Nebraska",48,"earned_by_hh_size > 0.0556 & earned_by_hh_size <= 1.27 & unc_rawben_rel_max <= 0.975"
2240,"earned_by_hh_size",0.0556,1.27,1.2144,0.956220472440945,"Oklahoma",38,"earned_by_hh_size > 0.0556 & earned_by_hh_size <= 1.27 & unc_rawben_rel_max <= 0.975"
2629,"earned_by_hh_size",0.0556,1.27,1.2144,0.956220472440945,"Texas",41,"earned_by_hh_size > 0.0556 & earned_by_hh_size <= 1.27 & unc_rawben_rel_max <= 0.975"
3085,"earned_by_hh_size",0.0556,1.27,1.2144,0.956220472440945,"Wisconsin",49,"earned_by_hh_size > 0.0556 & earned_by_hh_size <= 1.27 & unc_rawben_rel_max <= 0.975"
3186,"earned_by_hh_size",0.0556,1.27,1.2144,0.956220472440945,"Wyoming",19,"earned_by_hh_size > 0.0556 & earned_by_hh_size <= 1.27 & unc_rawben_rel_max <= 0.975"
46,"earned_by_hh_size",0.167,1.83,1.663,0.908743169398907,"Alabama",46,"earned_by_hh_size > 0.167 & earned_by_hh_size <= 1.83 & gross_by_hh_size > 75.8 & shelter_expenses_by_hh_size <= 624"
145,"earned_by_hh_size",0.167,1.83,1.663,0.908743169398907,"Arkansas",19,"earned_by_hh_size > 0.167 & earned_by_hh_size <= 1.83 & gross_by_hh_size > 75.8 & shelter_expenses_by_hh_size <= 624"
265,"earned_by_hh_size",0.167,1.83,1.663,0.908743169398907,"California",49,"earned_by_hh_size > 0.167 & earned_by_hh_size <= 1.83 & gross_by_hh_size > 75.8 & shelter_expenses_by_hh_size <= 624"
317,"earned_by_hh_size",0.167,1.83,1.663,0.908743169398907,"Colorado",40,"earned_by_hh_size > 0.167 & earned_by_hh_size <= 1.83 & gross_by_hh_size > 75.8 & shelter_expenses_by_hh_size <= 624"
430,"earned_by_hh_size",0.167,1.83,1.663,0.908743169398907,"Delaware",26,"earned_by_hh_size > 0.167 & earned_by_hh_size <= 1.83 & gross_by_hh_size > 75.8 & shelter_expenses_by_hh_size <= 624"
534,"earned_by_hh_size",0.167,1.83,1.663,0.908743169398907,"Idaho",26,"earned_by_hh_size > 0.167 & earned_by_hh_size <= 1.83 & gross_by_hh_size > 75.8 & shelter_expenses_by_hh_size <= 624"
