"state","rank","rule","hh","smd_min","smd_max","in_training_smd_range"
"Alabama",9,"medical_deductions >= 229 & rawben_rel_max >= 0.751 & shelter_expenses_by_hh_size < 688","2-3",140,140,FALSE
"Alabama",13,"children_i <= 0 & medical_deductions > 138 & total_deductions_by_hh_size > 542 & utilities <= 504","2-3",140,140,FALSE
"Alabama",18,"bbce_state_i >= 1 & medical_deductions > 625 & unc_rawben_rel_max <= 1.24 & unearned_by_hh_size > 288","1",140,140,FALSE
"Alabama",21,"medical_deductions >= 326 & rawben_rel_max >= 0.581","2-3",140,140,FALSE
"Alabama",29,"elderly_disabled_i >= 1 & medical_deductions > 158 & rawben_rel_max > 0.997 & unc_rawben_rel_max <= 1.03","1",140,140,FALSE
"Alabama",33,"gross_by_hh_size >= 116 & medical_deductions >= 183 & medical_deductions < 282 & rawben_rel_max >= 0.42","2-3",140,140,FALSE
"Alabama",76,"gross_by_hh_size > 203 & medical_deductions > 354 & rawben_rel_max > 0.312 & unearned_by_hh_size > 675","2-3",140,140,FALSE
"Alabama",78,"medical_deductions >= 162 & months_since_cert_n >= 5 & rawben_rel_max >= 0.139 & shelter_expenses_by_hh_size >= 216","2-3",140,140,FALSE
"Alabama",82,"medical_deductions > 165 & rawben_rel_max > 0.998 & shelter_expenses_by_hh_size <= 862 & unc_rawben_rel_max > 1.02","1",140,140,FALSE
"Alabama",91,"medical_deductions > 138 & unc_rawben_rel_max > 0.356 & unearned_by_hh_size > 1220 & utilities <= 392","1",140,140,FALSE
"Arizona",12,"gross_by_hh_size > 228 & medical_deductions <= 170 & shelter_expenses_by_hh_size > 638 & unc_rawben_rel_max > 0.246","2-3",125,145,FALSE
"Arizona",13,"medical_deductions >= 229 & rawben_rel_max >= 0.751 & shelter_expenses_by_hh_size < 688","2-3",125,145,FALSE
"Arizona",14,"medical_deductions <= 122 & rawben_rel_max > 0.997 & unearned_by_hh_size > 401 & utilities <= 14","1",125,145,FALSE
"Arkansas",43,"medical_deductions >= 162 & months_since_cert_n >= 5 & rawben_rel_max >= 0.139 & shelter_expenses_by_hh_size >= 216","2-3",103,103,FALSE
"Arkansas",53,"medical_deductions >= 206 & months_since_cert_n >= 17 & rawben_rel_max >= 0.104 & shelter_expenses_by_hh_size < 1120","1",103,103,FALSE
"Arkansas",81,"medical_deductions > 126 & rawben_rel_max > 0.17 & unc_rawben_rel_max > 0.625","2-3",103,103,FALSE
"Arkansas",88,"medical_deductions >= 129 & months_since_cert_n >= 3 & unc_rawben_rel_max >= 0.159 & utilities < 714","2-3",103,103,FALSE
"California",9,"medical_deductions >= 229 & rawben_rel_max >= 0.751 & shelter_expenses_by_hh_size < 688","2-3",120,120,FALSE
"California",13,"bbce_state_i >= 1 & medical_deductions > 734 & shelter_expenses_by_hh_size > 18.5 & unc_rawben_rel_max <= 1.28","1",120,120,FALSE
"California",18,"elderly_disabled_i >= 1 & medical_deductions > 134 & shelter_expenses_by_hh_size > 855 & utilities <= 724","2-3",120,120,FALSE
"California",37,"gross_by_hh_size >= 116 & medical_deductions >= 183 & medical_deductions < 282 & rawben_rel_max >= 0.42","2-3",120,120,FALSE
"California",60,"gross_by_hh_size > 1290 & medical_deductions > 140 & rawben_rel_max > 0.997 & utilities <= 598","1",120,120,FALSE
"Colorado",8,"medical_deductions > 138 & shelter_expenses_by_hh_size > 904 & utilities <= 786","2-3",165,165,FALSE
"Colorado",14,"bbce_state_i >= 1 & medical_deductions > 734 & shelter_expenses_by_hh_size > 18.5 & unc_rawben_rel_max <= 1.28","1",165,165,FALSE
"Colorado",19,"bbce_state_i >= 1 & medical_deductions > 625 & unc_rawben_rel_max <= 1.24 & unearned_by_hh_size > 288","1",165,165,FALSE
"Colorado",41,"medical_deductions >= 156 & medical_deductions < 241 & unc_rawben_rel_max >= 1.02 & unc_rawben_rel_max < 1.05","1",165,165,FALSE
"Colorado",57,"gross_by_hh_size > 1290 & medical_deductions > 140 & rawben_rel_max > 0.997 & utilities <= 598","1",165,165,FALSE
"Connecticut",24,"medical_deductions < 106 & total_deductions_by_hh_size < 598 & unc_rawben_rel_max >= 1.01 & unc_rawben_rel_max < 1.02","1",0,0,FALSE
"Connecticut",32,"medical_deductions >= 582 & shelter_expenses_by_hh_size < 2000 & unc_rawben_rel_max < 1.4 & unearned_by_hh_size < 1580","1",0,0,FALSE
"Connecticut",40,"medical_deductions >= 156 & medical_deductions < 241 & unc_rawben_rel_max >= 1.02 & unc_rawben_rel_max < 1.05","1",0,0,FALSE
"Connecticut",43,"medical_deductions > 538 & total_deductions_by_hh_size <= 1960 & unc_rawben_rel_max > 1.09 & unearned_by_hh_size > 1180","1",0,0,FALSE
"Delaware",6,"medical_deductions > 138 & shelter_expenses_by_hh_size > 904 & utilities <= 786","2-3",0,0,FALSE
"Delaware",10,"medical_deductions >= 173 & rawben_rel_max >= 0.433 & unearned_by_hh_size >= 1210 & utilities < 277","1",0,0,FALSE
"Delaware",20,"bbce_state_i >= 1 & medical_deductions > 636 & unc_rawben_rel_max > 1.11 & utilities <= 636","1",0,0,FALSE
"Delaware",27,"gross_by_hh_size >= 1130 & medical_deductions >= 310 & rawben_rel_max >= 0.972 & utilities < 550","1",0,0,FALSE
"District of Columbia",10,"medical_deductions >= 173 & rawben_rel_max >= 0.433 & unearned_by_hh_size >= 1210 & utilities < 277","1",0,0,FALSE
"Florida",8,"medical_deductions > 138 & shelter_expenses_by_hh_size > 904 & utilities <= 786","2-3",0,0,FALSE
"Florida",12,"medical_deductions >= 229 & rawben_rel_max >= 0.751 & shelter_expenses_by_hh_size < 688","2-3",0,0,FALSE
"Florida",15,"bbce_state_i >= 1 & medical_deductions > 734 & shelter_expenses_by_hh_size > 18.5 & unc_rawben_rel_max <= 1.28","1",0,0,FALSE
"Florida",22,"medical_deductions < 106 & total_deductions_by_hh_size < 598 & unc_rawben_rel_max >= 1.01 & unc_rawben_rel_max < 1.02","1",0,0,FALSE
"Florida",27,"bbce_state_i >= 1 & medical_deductions > 636 & unc_rawben_rel_max > 1.11 & utilities <= 636","1",0,0,FALSE
"Georgia",17,"medical_deductions >= 229 & rawben_rel_max >= 0.751 & shelter_expenses_by_hh_size < 688","2-3",101,161,FALSE
"Idaho",37,"medical_deductions >= 194 & rawben_rel_max >= 0.979 & unc_rawben_rel_max < 1.16","1",144,144,FALSE
"Idaho",58,"gross_by_hh_size < 964 & medical_deductions >= 347 & months_since_cert_n < 11","2-3",144,144,FALSE
"Idaho",62,"medical_deductions > 165 & rawben_rel_max > 0.998 & shelter_expenses_by_hh_size <= 862 & unc_rawben_rel_max > 1.02","1",144,144,FALSE
"Illinois",2,"earned_by_hh_size <= 642 & medical_deductions > 152 & unc_rawben_rel_max > 0.268 & utilities > 22","1",150,150,FALSE
"Illinois",6,"medical_deductions >= 115 & rawben_rel_max >= 0.238 & shelter_expenses_by_hh_size < 1630 & utilities >= 44","1",150,150,FALSE
"Illinois",10,"medical_deductions > 138 & shelter_expenses_by_hh_size > 904 & utilities <= 786","2-3",150,150,FALSE
"Illinois",14,"medical_deductions >= 229 & rawben_rel_max >= 0.751 & shelter_expenses_by_hh_size < 688","2-3",150,150,FALSE
"Illinois",15,"medical_deductions <= 122 & rawben_rel_max > 0.997 & unearned_by_hh_size > 401 & utilities <= 14","1",150,150,FALSE
"Illinois",35,"HH_size_n <= 2.5 & medical_deductions > 138 & total_deductions_by_hh_size > 520 & unearned_by_hh_size <= 1360","2-3",150,150,FALSE
"Illinois",37,"gross_by_hh_size >= 116 & medical_deductions >= 183 & medical_deductions < 282 & rawben_rel_max >= 0.42","2-3",150,150,FALSE
"Indiana",14,"children_i <= 0 & medical_deductions > 138 & total_deductions_by_hh_size > 542 & utilities <= 504","2-3",0,0,FALSE
"Iowa",19,"medical_deductions >= 326 & rawben_rel_max >= 0.581","2-3",125,140,FALSE
"Iowa",20,"medical_deductions < 106 & total_deductions_by_hh_size < 598 & unc_rawben_rel_max >= 1.01 & unc_rawben_rel_max < 1.02","1",125,140,FALSE
"Iowa",27,"HH_size_n <= 2.5 & medical_deductions > 138 & total_deductions_by_hh_size > 520 & unearned_by_hh_size <= 1360","2-3",125,140,TRUE
"Iowa",52,"medical_deductions <= 416 & rawben_rel_max > 0.988 & total_deductions_by_hh_size > 355 & unc_rawben_rel_max <= 1","2-3",125,140,FALSE
"Iowa",73,"expedited_i <= 0 & married <= 0 & medical_deductions > 148 & total_deductions_by_hh_size > 355","2-3",125,140,FALSE
"Iowa",80,"medical_deductions > 165 & rawben_rel_max > 0.998 & shelter_expenses_by_hh_size <= 862 & unc_rawben_rel_max > 1.02","1",125,140,FALSE
"Iowa",96,"medical_deductions >= 136 & unc_rawben_rel_max >= 0.709 & utilities >= 379 & utilities < 723","2-3",125,140,TRUE
"Iowa",102,"count_divisible_by_100 <= 0.5 & medical_deductions > 150 & rawben_rel_max > 0.152 & shelter_expenses_by_hh_size > 600","2-3",125,140,FALSE
"Iowa",112,"gross_by_hh_size >= 1160 & medical_deductions >= 547 & total_deductions_by_hh_size >= 894 & unc_rawben_rel_max < 1.23","1",125,140,FALSE
"Iowa",114,"medical_deductions <= 124 & shelter_expenses_by_hh_size > 886 & unearned_by_hh_size > 175 & utilities <= 30.5","1",125,140,FALSE
"Kansas",11,"medical_deductions >= 173 & rawben_rel_max >= 0.433 & unearned_by_hh_size >= 1210 & utilities < 277","1",140,140,FALSE
"Kansas",13,"children_i <= 0 & medical_deductions > 138 & total_deductions_by_hh_size > 542 & utilities <= 504","2-3",140,140,FALSE
"Kansas",21,"gross_by_hh_size <= 1170 & medical_deductions > 176 & rawben_rel_max > 0.647 & unc_rawben_rel_max <= 1.02","2-3",140,140,FALSE
"Kansas",23,"medical_deductions >= 582 & shelter_expenses_by_hh_size < 2000 & unc_rawben_rel_max < 1.4 & unearned_by_hh_size < 1580","1",140,140,FALSE
"Kansas",71,"medical_deductions > 165 & rawben_rel_max > 0.998 & shelter_expenses_by_hh_size <= 862 & unc_rawben_rel_max > 1.02","1",140,140,FALSE
"Kansas",79,"medical_deductions > 144 & unc_rawben_rel_max > 0.15 & unearned_by_hh_size > 115 & utilities <= 564","2-3",140,140,FALSE
"Kansas",85,"medical_deductions > 138 & unc_rawben_rel_max > 0.356 & unearned_by_hh_size > 1220 & utilities <= 392","1",140,140,FALSE
"Kentucky",4,"medical_deductions >= 173 & rawben_rel_max >= 0.433 & unearned_by_hh_size >= 1210 & utilities < 277","1",0,137,FALSE
