"idx","var","lo","hi","width","rel_width","hh","rule"
1112,"unearned_by_hh_size",0.0625,0.367,0.3045,0.829700272479564,"4+","bbce_state_i >= 1 & earned_by_hh_size > 76.4 & unearned_by_hh_size > 0.0625 & unearned_by_hh_size <= 0.367"
208,"earned_by_hh_size",0.167,0.583,0.416,0.713550600343053,"2-3","earned_by_hh_size > 0.167 & earned_by_hh_size <= 0.583 & percent_abawd <= 0.417 & unc_rawben_rel_max <= 0.977"
250,"earned_by_hh_size",0.167,0.583,0.416,0.713550600343053,"2-3","earned_by_hh_size > 0.167 & earned_by_hh_size <= 0.583 & medical_deductions <= 70 & unearned_by_hh_size > 52.2"
294,"earned_by_hh_size",0.167,0.583,0.416,0.713550600343053,"2-3","earned_by_hh_size > 0.167 & earned_by_hh_size <= 0.583 & unearned_by_hh_size > 52.2"
625,"earned_by_hh_size",0.167,0.583,0.416,0.713550600343053,"2-3","earned_by_hh_size > 0.167 & earned_by_hh_size <= 0.583 & unc_rawben_rel_max <= 1.2"
955,"earned_by_hh_size",0.167,0.583,0.416,0.713550600343053,"2-3","earned_by_hh_size > 0.167 & earned_by_hh_size <= 0.583 & shelter_expenses_by_hh_size <= 255 & unc_rawben_rel_max <= 1.2"
3734,"earned_by_hh_size",0.167,0.583,0.416,0.713550600343053,"2-3","earned_by_hh_size > 0.167 & earned_by_hh_size <= 0.583"
5945,"earned_by_hh_size",0.167,0.583,0.416,0.713550600343053,"2-3","earned_by_hh_size > 0.167 & earned_by_hh_size <= 0.583 & percent_abawd <= 0.417"
33202,"total_deductions_by_hh_size",0.25,0.75,0.5,0.666666666666667,"1","elderly_disabled_i >= 1 & rawben_rel_max <= 0.312 & total_deductions_by_hh_size > 0.25 & total_deductions_by_hh_size <= 0.75"
33204,"total_deductions_by_hh_size",0.25,0.75,0.5,0.666666666666667,"1","rawben_rel_max <= 0.274 & shelter_expenses_by_hh_size <= 2450 & total_deductions_by_hh_size > 0.25 & total_deductions_by_hh_size <= 0.75"
5200,"earned_by_hh_size",0.167,0.833,0.666,0.799519807923169,"2-3","earned_by_hh_size > 0.167 & earned_by_hh_size <= 0.833 & expedited_i <= 0 & shelter_expenses_by_hh_size <= 280"
25133,"total_deductions_by_hh_size",0.0833,1.08,0.9967,0.92287037037037,"2-3","earned_by_hh_size <= 102 & total_deductions_by_hh_size > 0.0833 & total_deductions_by_hh_size <= 1.08"
27080,"total_deductions_by_hh_size",0.0833,1.08,0.9967,0.92287037037037,"2-3","shelter_expenses_by_hh_size > 0.5 & total_deductions_by_hh_size > 0.0833 & total_deductions_by_hh_size <= 1.08"
1560,"earned_by_hh_size",0.5,1.5,1,0.666666666666667,"2-3","earned_by_hh_size >= 0.5 & earned_by_hh_size < 1.5 & gross_by_hh_size >= 109 & months_since_cert_n < 6"
1717,"utilities",360,361,1,0.00277008310249307,"4+","gross_by_hh_size >= 213 & utilities >= 360 & utilities < 361"
1749,"utilities",360,361,1,0.00277008310249307,"2-3","unc_rawben_rel_max < 1 & utilities >= 360 & utilities < 361"
1932,"utilities",360,361,1,0.00277008310249307,"4+","utilities >= 360 & utilities < 361"
6198,"utilities",369,370,1,0.0027027027027027,"4+","earned_by_hh_size < 194 & utilities >= 369 & utilities < 370"
8321,"utilities",369,370,1,0.0027027027027027,"4+","percent_abawd < 0.286 & rawben_rel_max >= 0.419 & utilities >= 369 & utilities < 370"
8643,"utilities",369,370,1,0.0027027027027027,"4+","utilities >= 369 & utilities < 370"
13529,"total_deductions_by_hh_size",182,183,1,0.00546448087431694,"4+","rawben_rel_max >= 0.357 & total_deductions_by_hh_size >= 182 & total_deductions_by_hh_size < 183 & unearned_by_hh_size < 154"
16487,"shelter_expenses_by_hh_size",285,286,1,0.0034965034965035,"4+","shelter_expenses_by_hh_size >= 285 & shelter_expenses_by_hh_size < 286 & total_deductions_by_hh_size < 213"
17737,"unearned_by_hh_size",0.25,1.25,1,0.8,"2-3","HH_size_n <= 2.5 & unc_rawben_rel_max <= 1 & unearned_by_hh_size > 0.25 & unearned_by_hh_size <= 1.25"
21117,"utilities",369,370,1,0.0027027027027027,"4+","bbce_state_i >= 1 & total_deductions_by_hh_size >= 53.7 & utilities >= 369 & utilities < 370"
28833,"utilities",360,361,1,0.00277008310249307,"1","unc_rawben_rel_max < 1.01 & utilities >= 360 & utilities < 361"
29268,"unearned_by_hh_size",0.5,1.5,1,0.666666666666667,"2-3","unearned_by_hh_size >= 0.5 & unearned_by_hh_size < 1.5"
31013,"utilities",360,361,1,0.00277008310249307,"1","total_deductions_by_hh_size < 584 & unc_rawben_rel_max < 1.01 & utilities >= 360 & utilities < 361"
33761,"utilities",287,288,1,0.00347222222222222,"2-3","bbce_state_i <= 0 & total_deductions_by_hh_size >= 90 & utilities >= 287 & utilities < 288"
34662,"utilities",360,361,1,0.00277008310249307,"1","months_since_cert_n < 20 & total_deductions_by_hh_size < 542 & utilities >= 360 & utilities < 361"
36620,"utilities",360,361,1,0.00277008310249307,"1","months_since_cert_n < 20 & utilities >= 360 & utilities < 361"
37881,"utilities",287,288,1,0.00347222222222222,"2-3","bbce_state_i <= 0 & utilities >= 287 & utilities < 288"
45490,"utilities",360,361,1,0.00277008310249307,"1","total_deductions_by_hh_size >= 584 & unc_rawben_rel_max < 1.01 & utilities >= 360 & utilities < 361"
50007,"medical_deductions",182,183,1,0.00546448087431694,"1","medical_deductions > 182 & medical_deductions <= 183 & months_since_cert_n > 5.5 & total_deductions_by_hh_size > 0.25"
55271,"gross_by_hh_size",134,135,1,0.00740740740740741,"1","earned_by_hh_size > 67.4 & gross_by_hh_size > 134 & gross_by_hh_size <= 135 & shelter_expenses_by_hh_size <= 14.5"
55893,"gross_by_hh_size",134,135,1,0.00740740740740741,"1","gross_by_hh_size > 134 & gross_by_hh_size <= 135 & shelter_expenses_by_hh_size <= 14.5"
55894,"gross_by_hh_size",134,135,1,0.00740740740740741,"1","gross_by_hh_size > 134 & gross_by_hh_size <= 135 & unearned_by_hh_size <= 25.5"
268,"earned_by_hh_size",0.0556,1.27,1.2144,0.956220472440945,"4+","earned_by_hh_size > 0.0556 & earned_by_hh_size <= 1.27 & unc_rawben_rel_max <= 0.975"
634,"earned_by_hh_size",0.0556,1.27,1.2144,0.956220472440945,"4+","count_divisible_by_100 <= 0.5 & earned_by_hh_size > 0.0556 & earned_by_hh_size <= 1.27 & unc_rawben_rel_max <= 0.975"
1510,"earned_by_hh_size",0.0556,1.27,1.2144,0.956220472440945,"4+","earned_by_hh_size > 0.0556 & earned_by_hh_size <= 1.27"
22965,"unearned_by_hh_size",26.4,27.8,1.4,0.0503597122302159,"4+","total_deductions_by_hh_size < 534 & unearned_by_hh_size >= 26.4 & unearned_by_hh_size < 27.8"
5759,"earned_by_hh_size",0.167,1.58,1.413,0.894303797468354,"2-3","earned_by_hh_size > 0.167 & earned_by_hh_size <= 1.58 & percent_abawd <= 0.125 & utilities > 38.5"
2086,"earned_by_hh_size",0.0714,1.62,1.5486,0.955925925925926,"4+","earned_by_hh_size > 0.0714 & earned_by_hh_size <= 1.62 & shelter_expenses_by_hh_size <= 279 & utilities > 30.5"
185,"earned_by_hh_size",0.167,1.83,1.663,0.908743169398907,"2-3","earned_by_hh_size > 0.167 & earned_by_hh_size <= 1.83 & gross_by_hh_size > 75.8 & shelter_expenses_by_hh_size <= 624"
1473,"earned_by_hh_size",0.167,1.83,1.663,0.908743169398907,"2-3","earned_by_hh_size > 0.167 & earned_by_hh_size <= 1.83 & shelter_expenses_by_hh_size <= 624"
1554,"earned_by_hh_size",0.167,1.83,1.663,0.908743169398907,"2-3","earned_by_hh_size > 0.167 & earned_by_hh_size <= 1.83 & expedited_i <= 0 & medical_deductions <= 138"
3207,"earned_by_hh_size",0.167,2.08,1.913,0.919711538461538,"2-3","earned_by_hh_size > 0.167 & earned_by_hh_size <= 2.08 & months_since_cert_n <= 5.5 & shelter_expenses_by_hh_size <= 704"
23,"utilities",345,347,2,0.00576368876080692,"2-3","earned_by_hh_size >= 0.5 & utilities >= 345 & utilities < 347"
98,"utilities",450,452,2,0.00442477876106195,"4+","HH_size_n >= 5 & utilities >= 450 & utilities < 452"
521,"earned_by_hh_size",0.5,2.5,2,0.8,"1","earned_by_hh_size > 0.5 & earned_by_hh_size <= 2.5 & rawben_rel_max <= 0.997 & utilities > 29.5"
850,"utilities",408,410,2,0.0048780487804878,"4+","shelter_expenses_by_hh_size >= 215 & utilities >= 408 & utilities < 410"
1194,"total_deductions_by_hh_size",182,184,2,0.0108695652173913,"4+","gross_by_hh_size <= 335 & percent_abawd <= 0.125 & total_deductions_by_hh_size > 182 & total_deductions_by_hh_size <= 184"
1447,"total_deductions_by_hh_size",204,206,2,0.00970873786407767,"4+","total_deductions_by_hh_size > 204 & total_deductions_by_hh_size <= 206 & unc_rawben_rel_max > 0.976 & unearned_by_hh_size <= 327"
1942,"total_deductions_by_hh_size",182,184,2,0.0108695652173913,"4+","percent_abawd <= 0.125 & total_deductions_by_hh_size > 182 & total_deductions_by_hh_size <= 184"
2170,"earned_by_hh_size",0.5,2.5,2,0.8,"1","earned_by_hh_size > 0.5 & earned_by_hh_size <= 2.5 & medical_deductions <= 148 & unearned_by_hh_size > 301"
2572,"earned_by_hh_size",0.5,2.5,2,0.8,"1","earned_by_hh_size > 0.5 & earned_by_hh_size <= 2.5 & elderly_disabled_i >= 1 & months_since_cert_n > 5.5"
2950,"total_deductions_by_hh_size",182,184,2,0.0108695652173913,"4+","total_deductions_by_hh_size > 182 & total_deductions_by_hh_size <= 184"
2998,"utilities",345,347,2,0.00576368876080692,"1","months_since_cert_n >= 10 & shelter_expenses_by_hh_size < 435 & utilities >= 345 & utilities < 347"
3256,"utilities",415,417,2,0.00479616306954436,"4+","earned_by_hh_size < 712 & rawben_rel_max < 0.917 & utilities >= 415 & utilities < 417"
3521,"total_deductions_by_hh_size",182,184,2,0.0108695652173913,"4+","total_deductions_by_hh_size >= 182 & total_deductions_by_hh_size < 184"
5835,"total_deductions_by_hh_size",182,184,2,0.0108695652173913,"4+","rawben_rel_max >= 0.845 & total_deductions_by_hh_size >= 182 & total_deductions_by_hh_size < 184"
6558,"utilities",345,347,2,0.00576368876080692,"2-3","utilities >= 345 & utilities < 347"
6569,"earned_by_hh_size",0.5,2.5,2,0.8,"1","earned_by_hh_size > 0.5 & earned_by_hh_size <= 2.5 & elderly_disabled_i >= 1 & expedited_i <= 0"
8611,"utilities",450,452,2,0.00442477876106195,"4+","unearned_by_hh_size < 33.2 & utilities >= 450 & utilities < 452"
11864,"shelter_expenses_by_hh_size",288,290,2,0.00689655172413793,"4+","gross_by_hh_size >= 193 & shelter_expenses_by_hh_size >= 288 & shelter_expenses_by_hh_size < 290"
12147,"utilities",450,452,2,0.00442477876106195,"4+","utilities >= 450 & utilities < 452"
12245,"utilities",345,347,2,0.00576368876080692,"1","shelter_expenses_by_hh_size < 435 & utilities >= 345 & utilities < 347"
12834,"utilities",408,410,2,0.0048780487804878,"4+","utilities >= 408 & utilities < 410"
13028,"utilities",415,417,2,0.00479616306954436,"4+","unearned_by_hh_size < 500 & utilities >= 415 & utilities < 417"
16482,"shelter_expenses_by_hh_size",300,302,2,0.00662251655629139,"4+","count_divisible_by_100 <= 0.5 & earned_by_hh_size > 38.9 & shelter_expenses_by_hh_size > 300 & shelter_expenses_by_hh_size <= 302"
17044,"utilities",415,417,2,0.00479616306954436,"4+","earned_by_hh_size < 712 & utilities >= 415 & utilities < 417"
17838,"total_deductions_by_hh_size",182,184,2,0.0108695652173913,"4+","rawben_rel_max < 0.845 & total_deductions_by_hh_size >= 182 & total_deductions_by_hh_size < 184"
18255,"utilities",415,417,2,0.00479616306954436,"4+","shelter_expenses_by_hh_size >= 187 & unearned_by_hh_size < 500 & utilities >= 415 & utilities < 417"
23356,"utilities",424,426,2,0.00469483568075117,"4+","unearned_by_hh_size >= 150 & utilities >= 424 & utilities < 426"
24710,"total_deductions_by_hh_size",182,184,2,0.0108695652173913,"4+","gross_by_hh_size > 335 & percent_abawd <= 0.125 & total_deductions_by_hh_size > 182 & total_deductions_by_hh_size <= 184"
29416,"utilities",345,347,2,0.00576368876080692,"2-3","earned_by_hh_size < 0.5 & total_deductions_by_hh_size >= 112 & utilities >= 345 & utilities < 347"
31662,"utilities",551,553,2,0.00361663652802893,"2-3","gross_by_hh_size < 1420 & unearned_by_hh_size >= 0.5 & utilities >= 551 & utilities < 553"
37915,"unearned_by_hh_size",190,192,2,0.0104166666666667,"1","gross_by_hh_size <= 294 & homeless <= 0 & unearned_by_hh_size > 190 & unearned_by_hh_size <= 192"
40452,"utilities",551,553,2,0.00361663652802893,"2-3","unc_rawben_rel_max < 1.24 & utilities >= 551 & utilities < 553"
43718,"utilities",345,347,2,0.00576368876080692,"2-3","earned_by_hh_size < 0.5 & utilities >= 345 & utilities < 347"
44451,"utilities",415,417,2,0.00479616306954436,"2-3","shelter_expenses_by_hh_size < 616 & utilities >= 415 & utilities < 417"
45159,"utilities",551,553,2,0.00361663652802893,"2-3","gross_by_hh_size < 1420 & utilities >= 551 & utilities < 553"
45395,"medical_deductions",128,130,2,0.0153846153846154,"1","medical_deductions >= 128 & medical_deductions < 130 & utilities >= 379"
48447,"medical_deductions",128,130,2,0.0153846153846154,"1","medical_deductions >= 128 & medical_deductions < 130"
48556,"utilities",345,347,2,0.00576368876080692,"1","months_since_cert_n < 10 & shelter_expenses_by_hh_size < 435 & utilities >= 345 & utilities < 347"
50852,"utilities",415,417,2,0.00479616306954436,"1","earned_by_hh_size < 741 & total_deductions_by_hh_size >= 198 & utilities >= 415 & utilities < 417"
59016,"shelter_expenses_by_hh_size",486,488,2,0.00409836065573771,"1","gross_by_hh_size > 134 & shelter_expenses_by_hh_size > 486 & shelter_expenses_by_hh_size <= 488 & total_deductions_by_hh_size <= 297"
60347,"unearned_by_hh_size",983,985,2,0.00203045685279188,"1","bbce_state_i >= 1 & months_since_cert_n < 36 & unearned_by_hh_size >= 983 & unearned_by_hh_size < 985"
343,"earned_by_hh_size",0.0556,2.54,2.4844,0.978110236220472,"4+","earned_by_hh_size > 0.0556 & earned_by_hh_size <= 2.54 & shelter_expenses_by_hh_size <= 406 & unearned_by_hh_size > 1.71"
29700,"unearned_by_hh_size",76,78.7,2.7,0.03430749682338,"2-3","unearned_by_hh_size >= 76 & unearned_by_hh_size < 78.7"
495,"earned_by_hh_size",0.167,3,2.833,0.944333333333333,"2-3","earned_by_hh_size > 0.167 & earned_by_hh_size <= 3 & rawben_rel_max > 0.23 & unc_rawben_rel_max <= 1.21"
875,"earned_by_hh_size",0.167,3,2.833,0.944333333333333,"2-3","earned_by_hh_size > 0.167 & earned_by_hh_size <= 3 & unc_rawben_rel_max <= 1.21"
2819,"earned_by_hh_size",0.167,3,2.833,0.944333333333333,"2-3","earned_by_hh_size > 0.167 & earned_by_hh_size <= 3 & shelter_expenses_by_hh_size > 94.6 & shelter_expenses_by_hh_size <= 624"
3022,"earned_by_hh_size",0.167,3,2.833,0.944333333333333,"2-3","earned_by_hh_size > 0.167 & earned_by_hh_size <= 3 & total_deductions_by_hh_size <= 659"
35,"earned_by_hh_size",589,592,3,0.00506756756756757,"1","earned_by_hh_size >= 589 & earned_by_hh_size < 592 & gross_by_hh_size >= 20 & unc_rawben_rel_max >= 0.0819"
59,"earned_by_hh_size",589,592,3,0.00506756756756757,"1","earned_by_hh_size >= 589 & earned_by_hh_size < 592"
725,"earned_by_hh_size",589,592,3,0.00506756756756757,"1","earned_by_hh_size >= 589 & earned_by_hh_size < 592 & months_since_cert_n < 7"
890,"utilities",344,347,3,0.00864553314121038,"2-3","gross_by_hh_size >= 372 & utilities >= 344 & utilities < 347"
7133,"utilities",388,391,3,0.00767263427109974,"4+","medical_deductions < 1 & utilities >= 388 & utilities < 391"
7801,"utilities",388,391,3,0.00767263427109974,"4+","medical_deductions < 1 & total_deductions_by_hh_size < 167 & utilities >= 388 & utilities < 391"
8525,"gross_by_hh_size",204,207,3,0.0144927536231884,"2-3","gross_by_hh_size > 204 & gross_by_hh_size <= 207 & rawben_rel_max > 0.838 & unc_rawben_rel_max <= 1.12"
11693,"shelter_expenses_by_hh_size",323,326,3,0.00920245398773006,"4+","shelter_expenses_by_hh_size >= 323 & shelter_expenses_by_hh_size < 326 & utilities < 475"
13727,"utilities",344,347,3,0.00864553314121038,"2-3","utilities >= 344 & utilities < 347"
