"state","fy","n","md","share_at_or_above_mode","share_in_band"
"Alabama","2022",734,431,0.922343324250681,0.00953678474114441
"Alabama","2023",699,571,0.901287553648069,0.0143061516452074
"Alabama","2024",764,601,0.918848167539267,0.00785340314136126
"Arizona","2022",519,288,0.845857418111753,0.00192678227360308
"Arizona","2023",529,325,0.752362948960302,0.0586011342155009
"Arizona","2024",500,318,0.73,0.046
"Arkansas","2022",484,281,0.878099173553719,0.0330578512396694
"Arkansas","2023",467,306,0.925053533190578,0.0107066381156317
"Arkansas","2024",538,329,0.921933085501859,0.0353159851301115
"California","2022",582,487,0.951890034364261,0.00171821305841924
"California","2023",644,560,0.953416149068323,0
"California","2024",633,596,0.930489731437599,0.00315955766192733
"Colorado","2022",728,493,0.718406593406593,0.0384615384615385
"Colorado","2023",567,531,0.751322751322751,0.0529100529100529
"Colorado","2024",539,560,0.747680890538033,0
"Connecticut","2022",817,783,0.968176254589963,0.00611995104039168
"Connecticut","2023",763,921,0.969855832241153,0.0157273918741809
"Connecticut","2024",742,912,0.983827493261456,0
"Delaware","2022",55,425,0.963636363636364,0
"Delaware","2023",183,545,0.939890710382514,0.0273224043715847
"Delaware","2024",388,534,0.914948453608247,0.0128865979381443
"District of Columbia","2022",173,322,0.982658959537572,0
"District of Columbia","2023",581,345,0.991394148020654,0.00172117039586919
"District of Columbia","2024",558,360,0.987455197132617,0.003584229390681
"Florida","2022",622,366,0.766881028938907,0.120578778135048
"Florida","2023",584,376,0.758561643835616,0.14041095890411
"Florida","2024",588,426,0.736394557823129,0.153061224489796
"Georgia","2022",664,339,0.572289156626506,0.340361445783133
"Georgia","2023",603,379,0.870646766169154,0.00995024875621891
"Georgia","2024",608,415,0.889802631578947,0.00986842105263158
"Idaho","2022",628,361,0.82484076433121,0.00477707006369427
"Idaho","2023",662,364,0.826283987915408,0.00604229607250755
"Idaho","2024",708,376,0.844632768361582,0.0127118644067797
"Illinois","2022",521,529,0.796545105566219,0.0441458733205374
"Illinois","2023",546,626,0.818681318681319,0.00183150183150183
"Illinois","2024",552,577,0.773550724637681,0.0597826086956522
"Indiana","2022",471,417,0.949044585987261,0.00424628450106157
"Indiana","2023",534,447,0.926966292134832,0.00749063670411985
"Indiana","2024",507,502,0.568047337278107,0.3767258382643
"Iowa","2022",636,494,0.922955974842767,0
"Iowa","2023",698,517,0.876790830945559,0.00143266475644699
"Iowa","2024",658,530,0.873860182370821,0
"Kansas","2022",671,392,0.862891207153502,0.00894187779433681
"Kansas","2023",665,442,0.885714285714286,0.0075187969924812
"Kansas","2024",699,462,0.86552217453505,0.00715307582260372
"Kentucky","2022",637,325,0.959183673469388,0.00156985871271586
"Kentucky","2023",681,347,0.932452276064611,0.0102790014684288
"Kentucky","2024",569,452,0.910369068541301,0.00878734622144113
"Louisiana","2022",587,370,0.906303236797274,0.0170357751277683
"Louisiana","2023",583,414,0.445969125214408,0.468267581475129
"Louisiana","2024",623,414,0.898876404494382,0.0160513643659711
"Maine","2022",722,886,0.422437673130194,0.336565096952909
"Maine","2023",783,1075,0.756066411238825,0.0114942528735632
"Maine","2024",752,1011,0.76063829787234,0
"Maryland","2022",194,431,0.690721649484536,0.149484536082474
"Maryland","2023",433,505,0.815242494226328,0.124711316397229
"Maryland","2024",574,551,0.709059233449477,0.25609756097561
"Massachusetts","2022",609,714,0.543513957307061,0.397372742200328
"Massachusetts","2023",608,860,0.930921052631579,0.0115131578947368
"Massachusetts","2024",558,852,0.926523297491039,0
"Michigan","2022",660,559,0.916666666666667,0
"Michigan","2023",702,624,0.55982905982906,0.378917378917379
"Michigan","2024",666,680,0.924924924924925,0
"Minnesota","2022",702,488,0.766381766381766,0
"Minnesota","2023",678,586,0.752212389380531,0.00442477876106195
"Minnesota","2024",598,651,0.779264214046823,0
"Mississippi","2022",478,277,0.972803347280335,0
"Mississippi","2023",510,301,0.96078431372549,0.0137254901960784
"Mississippi","2024",475,287,0.951578947368421,0.00210526315789474
"Missouri","2022",517,415,0.880077369439072,0.00386847195357834
"Missouri","2023",518,441,0.88996138996139,0
"Missouri","2024",558,475,0.885304659498208,0.0017921146953405
"Montana","2022",373,600,0.922252010723861,0
"Montana","2023",372,669,0.93010752688172,0.00268817204301075
"Montana","2024",374,723,0.911764705882353,0
"Nebraska","2022",714,511,0.815126050420168,0.00140056022408964
"Nebraska","2023",675,553,0.82962962962963,0.00444444444444444
"Nebraska","2024",705,580,0.869503546099291,0
"Nevada","2022",531,284,0.826741996233522,0.0169491525423729
"Nevada","2023",526,370,0.865019011406844,0.00760456273764259
"Nevada","2024",491,412,0.839103869653768,0.0122199592668024
"New Hampshire","2022",391,757,0.667519181585678,0
"New Hampshire","2023",478,965,0.765690376569038,0.00209205020920502
"New Hampshire","2024",483,956,0.817805383022774,0
"New Jersey","2022",457,583,0.975929978118162,0.00437636761487965
"New Jersey","2023",506,730,0.980237154150198,0.00197628458498024
"New Jersey","2024",556,850,0.994604316546763,0.00179856115107914
"New Mexico","2022",670,385,0.925373134328358,0.00298507462686567
"New Mexico","2023",657,388,0.917808219178082,0.0015220700152207
"New Mexico","2024",646,417,0.888544891640867,0.00309597523219814
"New York","2022",595,852,0.484033613445378,0.40672268907563
"New York","2023",557,1002,0.55834829443447,0.382405745062837
"New York","2024",587,992,0.560477001703578,0.374787052810903
"North Carolina","2022",600,550,0.893333333333333,0.00166666666666667
"North Carolina","2023",773,557,0.913324708926261,0.00129366106080207
"North Carolina","2024",657,585,0.893455098934551,0.0045662100456621
"North Dakota","2022",321,645,0.881619937694704,0
"North Dakota","2023",295,711,0.874576271186441,0.00338983050847458
"North Dakota","2024",331,735,0.83987915407855,0
"Ohio","2022",616,580,0.917207792207792,0
"Ohio","2023",575,646,0.907826086956522,0.00869565217391304
"Ohio","2024",610,724,0.908196721311475,0.00491803278688525
"Oklahoma","2022",631,340,0.887480190174326,0.00475435816164818
"Oklahoma","2023",680,391,0.876470588235294,0.0294117647058824
"Oklahoma","2024",575,388,0.892173913043478,0.0226086956521739
"Oregon","2022",559,450,0.915921288014311,0.0125223613595707
"Oregon","2023",552,452,0.916666666666667,0.0144927536231884
"Oregon","2024",615,469,0.933333333333333,0.00813008130081301
"Pennsylvania","2022",685,612,0.978102189781022,0
"Pennsylvania","2023",667,679,0.985007496251874,0.00149925037481259
"Pennsylvania","2024",670,750,0.986567164179105,0.00149253731343284
"Rhode Island","2022",621,676,1,0
"Rhode Island","2023",906,797,0.990066225165563,0.00772626931567329
"Rhode Island","2024",894,789,0.998881431767338,0
"South Carolina","2022",484,313,0.989669421487603,0.00619834710743802
"South Carolina","2023",406,342,0.985221674876847,0.0123152709359606
"South Carolina","2024",516,369,0.967054263565892,0.00581395348837209
"South Dakota","2022",364,784,0.956043956043956,0
"South Dakota","2023",370,850,0.951351351351351,0.0027027027027027
"South Dakota","2024",387,892,0.953488372093023,0.00516795865633075
"Tennessee","2022",506,320,0.928853754940711,0.0217391304347826
"Tennessee","2023",517,403,0.911025145067698,0.00193423597678917
"Tennessee","2024",525,430,0.931428571428571,0.00571428571428571
"Texas","2022",573,367,0.830715532286213,0.0261780104712042
"Texas","2023",555,408,0.812612612612613,0.0324324324324324
"Texas","2024",612,424,0.823529411764706,0.011437908496732
"Utah","2022",596,376,0.709731543624161,0.0218120805369128
"Utah","2023",620,400,0.72741935483871,0.00967741935483871
"Utah","2024",559,503,0.76386404293381,0.0178890876565295
"Vermont","2022",692,875,0.995664739884393,0
"Vermont","2023",669,1030,0.992526158445441,0.00448430493273543
"Vermont","2024",628,1020,0.996815286624204,0
"Virginia","2022",493,322,0.720081135902637,0.0933062880324544
"Virginia","2023",516,374,0.705426356589147,0.0891472868217054
"Virginia","2024",489,414,0.683026584867076,0.0388548057259714
"Washington","2022",514,459,0.945525291828794,0.00389105058365759
"Washington","2023",544,462,0.955882352941177,0.0147058823529412
"Washington","2024",538,483,0.95910780669145,0.0130111524163569
"West Virginia","2022",560,436,0.951785714285714,0.0160714285714286
"West Virginia","2023",514,435,0.943579766536965,0.00778210116731518
"West Virginia","2024",495,496,0.917171717171717,0.0404040404040404
"Wisconsin","2022",746,462,0.75201072386059,0.096514745308311
"Wisconsin","2023",816,471,0.730392156862745,0.10171568627451
"Wisconsin","2024",752,502,0.738031914893617,0.101063829787234
"Wyoming","2022",191,417,0.816753926701571,0.0104712041884817
"Wyoming","2023",180,456,0.866666666666667,0.0111111111111111
"Wyoming","2024",187,478,0.812834224598931,0.0160427807486631
