"state","arm","budget","n_pool","n_dropped_by_floor","n_core","n_buffer","n_te","n_flagged","n_errors_caught","precision","base_rate_te","dollar_recall","fill_gap_core","fill_gap_total"
"Alabama","unfiltered",0.05,56873,0,43,81,1039,51,18,0.3529,0.1347,0.1306,0,0
"Alabama","unfiltered",0.1,56873,0,92,102,1039,103,34,0.3301,0.1347,0.2523,0,0
"Alabama","floor02",0.05,56680,193,42,82,1039,51,18,0.3529,0.1347,0.1306,0,0
"Alabama","floor02",0.1,56680,193,92,102,1039,103,34,0.3301,0.1347,0.2523,0,0
"Alabama","floor05",0.05,56239,634,42,82,1039,51,18,0.3529,0.1347,0.1306,0,0
"Alabama","floor05",0.1,56239,634,92,102,1039,103,34,0.3301,0.1347,0.2523,0,0
"Arizona","unfiltered",0.05,63590,0,10,37,863,43,13,0.3023,0.1124,0.1154,0,0
"Arizona","unfiltered",0.1,63590,0,26,96,863,86,25,0.2907,0.1124,0.2782,0,0
"Arizona","floor02",0.05,63397,193,10,37,863,43,13,0.3023,0.1124,0.1154,0,0
"Arizona","floor02",0.1,63397,193,26,96,863,86,25,0.2907,0.1124,0.2782,0,0
"Arizona","floor05",0.05,62956,634,10,37,863,43,13,0.3023,0.1124,0.1154,0,0
"Arizona","floor05",0.1,62956,634,26,96,863,86,25,0.2907,0.1124,0.2782,0,0
"Arkansas","unfiltered",0.05,56882,0,42,63,855,42,9,0.2143,0.0795,0.1657,0,0
"Arkansas","unfiltered",0.1,56882,0,79,112,855,85,17,0.2,0.0795,0.3037,0,0
"Arkansas","floor02",0.05,56689,193,42,63,855,42,9,0.2143,0.0795,0.1657,0,0
"Arkansas","floor02",0.1,56689,193,79,112,855,85,17,0.2,0.0795,0.3037,0,0
"Arkansas","floor05",0.05,56247,635,42,63,855,42,9,0.2143,0.0795,0.1657,0,0
"Arkansas","floor05",0.1,56247,635,79,112,855,85,17,0.2,0.0795,0.3037,0,0
"California","unfiltered",0.05,59640,0,33,28,814,40,16,0.4,0.1302,0.2186,0,0
"California","unfiltered",0.1,59640,0,46,81,814,81,30,0.3704,0.1302,0.3592,0,0
"California","floor02",0.05,59447,193,33,27,814,40,16,0.4,0.1302,0.2186,0,0
"California","floor02",0.1,59447,193,44,81,814,81,30,0.3704,0.1302,0.3592,0,0
"California","floor05",0.05,59005,635,33,25,814,40,16,0.4,0.1302,0.2186,0,0
"California","floor05",0.1,59005,635,44,81,814,81,30,0.3704,0.1302,0.3592,0,0
"Colorado","unfiltered",0.05,58286,0,36,63,803,40,14,0.35,0.1208,0.1348,0,0
"Colorado","unfiltered",0.1,58286,0,69,121,803,80,28,0.35,0.1208,0.2218,0,0
"Colorado","floor02",0.05,58093,193,35,63,803,40,14,0.35,0.1208,0.1348,0,0
"Colorado","floor02",0.1,58093,193,67,117,803,80,28,0.35,0.1208,0.2218,0,0
"Colorado","floor05",0.05,57652,634,35,63,803,40,14,0.35,0.1208,0.1348,0,0
"Colorado","floor05",0.1,57652,634,67,118,803,80,28,0.35,0.1208,0.2218,0,0
"Connecticut","unfiltered",0.05,58321,0,23,44,899,44,14,0.3182,0.1446,0.121,0,0
"Connecticut","unfiltered",0.1,58321,0,39,108,899,89,31,0.3483,0.1446,0.2445,0,0
"Connecticut","floor02",0.05,58128,193,23,44,899,44,14,0.3182,0.1446,0.121,0,0
"Connecticut","floor02",0.1,58128,193,40,100,899,89,31,0.3483,0.1446,0.2445,0,0
"Connecticut","floor05",0.05,57687,634,23,44,899,44,14,0.3182,0.1446,0.121,0,0
"Connecticut","floor05",0.1,57687,634,40,100,899,89,31,0.3483,0.1446,0.2445,0,0
"Delaware","unfiltered",0.05,53447,0,17,13,741,37,17,0.4595,0.1363,0.154,0,0
"Delaware","unfiltered",0.1,53447,0,29,49,741,74,28,0.3784,0.1363,0.2494,0,0
"Delaware","floor02",0.05,53254,193,17,13,741,37,17,0.4595,0.1363,0.154,0,0
"Delaware","floor02",0.1,53254,193,29,49,741,74,28,0.3784,0.1363,0.2494,0,0
"Delaware","floor05",0.05,52813,634,17,13,741,37,17,0.4595,0.1363,0.154,0,0
"Delaware","floor05",0.1,52813,634,29,49,741,74,28,0.3784,0.1363,0.2494,0,0
