"hh","rule","n_flagged_train","precision_train","precision_train_lcb"
"1","elderly_disabled_i >=    1.00 & shelter_expenses_by_hh_size < 1670.00 & unc_rawben_rel_max >=    1.52 & unc_rawben_rel_max <    2.01",586,0.1536,0.1221
"1","elderly_disabled_i >= 1.00 & unc_rawben_rel_max >= 1.52 & unc_rawben_rel_max < 2.01",701,0.1284,0.1018
"1","shelter_expenses_by_hh_size < 723.00 & unc_rawben_rel_max >=   1.73 & unc_rawben_rel_max <   2.01",720,0.0806,0.06
"1","elderly_disabled_i >=   1.00 & medical_deductions < 103.00 & unc_rawben_rel_max >=   1.46 & unc_rawben_rel_max <   1.93",703,0.0982,0.075
"1","elderly_disabled_i >=   1.00 & rawben_rel_max >=   0.44 & shelter_expenses_by_hh_size < 522.00 & unc_rawben_rel_max <   2.01",2578,0.0597,0.0498
"1","elderly_disabled_i >=   1.00 & shelter_expenses_by_hh_size < 861.00 & unc_rawben_rel_max >=   1.73",276,0.337,0.2745
"1","elderly_disabled_i >=   1.00 & months_since_cert_n <   7.00 & shelter_expenses_by_hh_size >= 861.00 & unc_rawben_rel_max >=   1.73",245,0.1184,0.0784
"1","elderly_disabled_i >=   1.00 & months_since_cert_n >=   7.00 & shelter_expenses_by_hh_size >= 861.00 & unc_rawben_rel_max >=   1.73",287,0.1707,0.1253
"1","elderly_disabled_i >=   1.00 & unc_rawben_rel_max >=   1.73 & utilities < 571.00",374,0.3128,0.2601
"1","elderly_disabled_i >=   1.00 & total_deductions_by_hh_size < 752.00 & unc_rawben_rel_max >=   1.52 & unc_rawben_rel_max <   2.01",294,0.2959,0.2381
"1","unc_rawben_rel_max >= 1.88",1359,0.1111,0.0928
"1","months_since_cert_n >=   3.00 & unc_rawben_rel_max >=   1.88 & utilities < 757.00",682,0.1657,0.1352
"1","elderly_disabled_i >=   1.00 & rawben_rel_max >=   0.38 & shelter_expenses_by_hh_size < 511.00 & unc_rawben_rel_max <   1.88",2933,0.0511,0.0425
"1","elderly_disabled_i >=   1.00 & months_since_cert_n >=   3.00 & unc_rawben_rel_max >=   1.88 & utilities < 757.00",339,0.3156,0.2602
"1","unc_rawben_rel_max >=   1.52 & unc_rawben_rel_max <   2.01 & utilities < 442.00",1253,0.0702,0.0552
"1","elderly_disabled_i >=   1.00 & unc_rawben_rel_max >=   1.52 & unc_rawben_rel_max <   2.01 & utilities < 442.00",208,0.3462,0.2742
"1","elderly_disabled_i >=    1.00 & shelter_expenses_by_hh_size < 1250.00 & unc_rawben_rel_max >=    1.73",543,0.2541,0.2133
"1","elderly_disabled_i >=    1.00 & shelter_expenses_by_hh_size < 1250.00 & unc_rawben_rel_max >=    1.73 & utilities <  646.00",357,0.3333,0.2782
"1","elderly_disabled_i >=    1.00 & shelter_expenses_by_hh_size < 1250.00 & unc_rawben_rel_max >=    1.73 & utilities >=  646.00",186,0.1022,0.0613
"1","elderly_disabled_i >=   1.00 & unc_rawben_rel_max >=   1.76 & utilities < 681.00",462,0.3052,0.2579
"1","months_since_cert_n >=  21.000 & rawben_rel_max >=   0.444 & shelter_expenses_by_hh_size < 601.000 & unc_rawben_rel_max <   1.760",430,0.0744,0.05
"1","elderly_disabled_i >=   1.00 & total_deductions_by_hh_size < 846.00 & unc_rawben_rel_max >=   1.76 & utilities < 681.00",193,0.4197,0.3404
"1","elderly_disabled_i >=   1.00 & total_deductions_by_hh_size >= 846.00 & unc_rawben_rel_max >=   1.76 & utilities < 681.00",269,0.223,0.1698
"1","months_since_cert_n >=   3.00 & unc_rawben_rel_max >=   1.93 & utilities < 679.00",301,0.3189,0.2601
"1","months_since_cert_n >=    3.00 & shelter_expenses_by_hh_size < 1080.00 & unc_rawben_rel_max >=    1.93 & utilities <  679.00",192,0.375,0.2982
"1","months_since_cert_n >=    3.00 & shelter_expenses_by_hh_size >= 1080.00 & unc_rawben_rel_max >=    1.93 & utilities <  679.00",109,0.2202,0.1423
"1","unc_rawben_rel_max >=   1.46 & unc_rawben_rel_max <   2.01 & utilities < 417.00",1222,0.0696,0.0545
"1","elderly_disabled_i >=   1.00 & unc_rawben_rel_max >=   1.46 & unc_rawben_rel_max <   2.01 & utilities < 417.00",206,0.335,0.2636
"1","unc_rawben_rel_max >=   1.93 & unc_rawben_rel_max <   2.01 & utilities >= 417.00",61,0.1639,0.0822
"1","elderly_disabled_i >=   1.00 & unc_rawben_rel_max >=   1.52 & utilities < 827.00",868,0.2258,0.1946
"1","elderly_disabled_i >=   1.00 & months_since_cert_n <   3.00 & unc_rawben_rel_max >=   1.52 & utilities < 827.00",177,0.1243,0.0775
"1","elderly_disabled_i >=   1.00 & months_since_cert_n >=   3.00 & unc_rawben_rel_max >=   1.52 & utilities < 827.00",690,0.2522,0.2157
"1","elderly_disabled_i >=   1.0 & unc_rawben_rel_max >=   1.6 & utilities < 784.0",706,0.2422,0.2068
"1","total_deductions_by_hh_size >= 1130.0 & unc_rawben_rel_max >=    1.6 & utilities >=  784.0",192,0.0625,0.0327
"1","unc_rawben_rel_max >= 1.63",3100,0.0681,0.0583
"1","months_since_cert_n >= 7.00 & unc_rawben_rel_max >= 1.63",1023,0.1271,0.1048
"1","months_since_cert_n >=   7.00 & total_deductions_by_hh_size < 634.00 & unc_rawben_rel_max >=   1.63",556,0.0863,0.0625
"1","months_since_cert_n >=   7.00 & total_deductions_by_hh_size >= 634.00 & unc_rawben_rel_max >=   1.63",467,0.1756,0.1384
"1","months_since_cert_n <   7.00 & unc_rawben_rel_max >=   1.81 & utilities < 730.00",1115,0.0583,0.044
"1","months_since_cert_n >=   7.00 & total_deductions_by_hh_size < 634.00 & unc_rawben_rel_max >=   1.63 & utilities < 447.00",206,0.2087,0.1508
"1","months_since_cert_n >=   7.00 & total_deductions_by_hh_size >= 634.00 & unc_rawben_rel_max >=   1.63 & utilities < 560.00",140,0.3,0.2187
"1","months_since_cert_n >=   7.00 & total_deductions_by_hh_size >= 634.00 & unc_rawben_rel_max >=   1.63 & utilities >= 560.00",327,0.1223,0.0862
"1","shelter_expenses_by_hh_size >= 676.00 & unc_rawben_rel_max >=   1.55",2392,0.0585,0.0483
"1","elderly_disabled_i >=   1.00 & shelter_expenses_by_hh_size < 676.00 & unc_rawben_rel_max >=   1.55",247,0.3077,0.2441
"1","shelter_expenses_by_hh_size >= 676.00 & unc_rawben_rel_max >=   2.49",171,0.2807,0.2084
"1","shelter_expenses_by_hh_size >= 676.00 & unc_rawben_rel_max >=   1.55 & unc_rawben_rel_max <   2.49 & utilities < 583.00",1025,0.0654,0.0496
"1","elderly_disabled_i >=   1.00 & unc_rawben_rel_max >=   1.52 & utilities < 388.00",256,0.375,0.3079
