"step","n_flagged","workload","recall","dollar_recall","precision","x","sweep","label","method","n_rules"
1,14,0.000412468328324789,0.00469483568075117,0.00643833278821405,0.428571428571429,0.00643833278821405,"maxdepth","4","rpart",82
2,32,0.000942784750456661,0.0117370892018779,0.0125922555140001,0.46875,0.0125922555140001,"maxdepth","4","rpart",82
3,58,0.0017087973602027,0.0164319248826291,0.0226283755919284,0.362068965517241,0.0226283755919284,"maxdepth","4","rpart",82
4,100,0.00294620234517707,0.0258215962441315,0.0358356678659291,0.33,0.0358356678659291,"maxdepth","4","rpart",82
5,102,0.00300512639208061,0.02660406885759,0.0366782326758721,0.333333333333333,0.0366782326758721,"maxdepth","4","rpart",82
6,117,0.00344705674385717,0.0297339593114241,0.0409941553732171,0.324786324786325,0.0409941553732171,"maxdepth","4","rpart",82
7,167,0.0049201579164457,0.0391236306729265,0.0537286159184312,0.29940119760479,0.0537286159184312,"maxdepth","4","rpart",82
8,173,0.00509693005715633,0.039906103286385,0.0555879467015543,0.294797687861272,0.0555879467015543,"maxdepth","4","rpart",82
9,181,0.00533262624477049,0.041471048513302,0.0574757184909202,0.292817679558011,0.0574757184909202,"maxdepth","4","rpart",82
10,250,0.00736550586294267,0.05320813771518,0.0700182022439954,0.272,0.0700182022439954,"maxdepth","4","rpart",82
11,271,0.00798420835542985,0.0555555555555556,0.073893289344577,0.261992619926199,0.073893289344577,"maxdepth","4","rpart",82
12,303,0.00892699310588651,0.0618153364632238,0.0789273474495528,0.260726072607261,0.0789273474495528,"maxdepth","4","rpart",82
13,319,0.00939838548111484,0.0625978090766823,0.0819669799917521,0.250783699059561,0.0819669799917521,"maxdepth","4","rpart",82
14,360,0.0106063284426374,0.0672926447574335,0.0886968330939549,0.238888888888889,0.0886968330939549,"maxdepth","4","rpart",82
15,388,0.011431265099287,0.0704225352112676,0.0935424695325721,0.231958762886598,0.0935424695325721,"maxdepth","4","rpart",82
16,421,0.0124035118731955,0.0735524256651017,0.0990102529827505,0.223277909738717,0.0990102529827505,"maxdepth","4","rpart",82
17,522,0.0153791762418243,0.0837245696400626,0.113298303493978,0.204980842911877,0.113298303493978,"maxdepth","4","rpart",82
18,561,0.0165281951564433,0.0868544600938967,0.118588330655139,0.197860962566845,0.118588330655139,"maxdepth","4","rpart",82
19,749,0.0220670555653762,0.117370892018779,0.140615889990188,0.200267022696929,0.140615889990188,"maxdepth","4","rpart",82
20,777,0.0228919922220258,0.120500782472613,0.143879495456549,0.198198198198198,0.143879495456549,"maxdepth","4","rpart",82
21,1455,0.0428672441223263,0.174491392801252,0.213481747984244,0.153264604810997,0.213481747984244,"maxdepth","4","rpart",82
22,1787,0.0526486359083142,0.199530516431925,0.245765845195603,0.142697257974259,0.245765845195603,"maxdepth","4","rpart",82
23,1820,0.0536208826822226,0.201095461658842,0.249107663429132,0.141208791208791,0.249107663429132,"maxdepth","4","rpart",82
24,2408,0.0709445524718638,0.241001564945227,0.303941923465252,0.127906976744186,0.303941923465252,"maxdepth","4","rpart",82
25,2412,0.0710624005656709,0.241784037558685,0.30442542057138,0.128109452736318,0.30442542057138,"maxdepth","4","rpart",82
26,2569,0.0756879382475988,0.251956181533646,0.315517413006072,0.125340599455041,0.315517413006072,"maxdepth","4","rpart",82
27,2617,0.0771021153732838,0.254303599374022,0.318827235107578,0.124188001528468,0.318827235107578,"maxdepth","4","rpart",82
28,2627,0.0773967356078015,0.25508607198748,0.319538260263648,0.124095926912828,0.319538260263648,"maxdepth","4","rpart",82
29,2641,0.0778092039361263,0.256651017214397,0.320448372463418,0.124195380537675,0.320448372463418,"maxdepth","4","rpart",82
30,2650,0.0780743621471923,0.257433489827856,0.32107762972654,0.124150943396226,0.32107762972654,"maxdepth","4","rpart",82
31,3487,0.102734075776324,0.309076682316119,0.375531491304162,0.113277889303126,0.375531491304162,"maxdepth","4","rpart",82
32,3873,0.114106416828708,0.33489827856025,0.399461042931699,0.110508649625613,0.399461042931699,"maxdepth","4","rpart",82
33,3886,0.114489423133581,0.335680751173709,0.400378265383029,0.110396294390118,0.400378265383029,"maxdepth","4","rpart",82
34,4672,0.137646573566673,0.37245696400626,0.441276432360177,0.101883561643836,0.441276432360177,"maxdepth","4","rpart",82
35,5576,0.164280242767073,0.417840375586854,0.485484421438831,0.095767575322812,0.485484421438831,"maxdepth","4","rpart",82
36,6925,0.204024512403512,0.475743348982786,0.545022112882354,0.0877978339350181,0.545022112882354,"maxdepth","4","rpart",82
37,9838,0.28984738671852,0.602503912363067,0.657093897982111,0.0782679406383411,0.657093897982111,"maxdepth","4","rpart",82
38,13023,0.383683931412409,0.697965571205008,0.757632855050412,0.0684942025646932,0.757632855050412,"maxdepth","4","rpart",82
39,13524,0.398444405161747,0.712050078247261,0.772187539995165,0.067287784679089,0.772187539995165,"maxdepth","4","rpart",82
40,15281,0.450209180366508,0.765258215962441,0.820587022368851,0.0640010470518945,0.820587022368851,"maxdepth","4","rpart",82
41,16030,0.472276235931884,0.773865414710485,0.829961889051635,0.0616968184653774,0.829961889051635,"maxdepth","4","rpart",82
42,16251,0.478787343114725,0.776995305164319,0.83255713087129,0.061103932065719,0.83255713087129,"maxdepth","4","rpart",82
1,50,0.00147310117258853,0.0164319248826291,0.0216151647445287,0.42,0.0216151647445287,"learnrate","0.005","rpart",78
2,67,0.00197395557126863,0.0195618153364632,0.026837644515863,0.373134328358209,0.026837644515863,"learnrate","0.005","rpart",78
3,108,0.00318189853279123,0.02660406885759,0.0372292771718263,0.314814814814815,0.0372292771718263,"learnrate","0.005","rpart",78
4,144,0.00424253137705498,0.0336463223787167,0.0449723411214289,0.298611111111111,0.0449723411214289,"learnrate","0.005","rpart",78
5,156,0.00459607565847622,0.0367762128325509,0.0482466119651313,0.301282051282051,0.0482466119651313,"learnrate","0.005","rpart",78
6,168,0.00494961993989747,0.0391236306729265,0.0509307319292957,0.297619047619048,0.0509307319292957,"learnrate","0.005","rpart",78
7,229,0.00674680337045548,0.0500782472613459,0.0626555367528903,0.279475982532751,0.0626555367528903,"learnrate","0.005","rpart",78
8,251,0.00739496788639444,0.0524256651017214,0.0671883221228367,0.266932270916335,0.0671883221228367,"learnrate","0.005","rpart",78
9,336,0.00989923987979494,0.0618153364632238,0.08357034171869,0.235119047619048,0.08357034171869,"learnrate","0.005","rpart",78
10,359,0.0105768664191857,0.0641627543035994,0.0882524423714111,0.228412256267409,0.0882524423714111,"learnrate","0.005","rpart",78
11,550,0.0162041128984739,0.0805946791862285,0.118723425434792,0.187272727272727,0.118723425434792,"learnrate","0.005","rpart",78
12,591,0.0174120558599965,0.0845070422535211,0.124454288192716,0.182741116751269,0.124454288192716,"learnrate","0.005","rpart",78
13,610,0.0179718343055801,0.0876369327073552,0.126772230201505,0.183606557377049,0.126772230201505,"learnrate","0.005","rpart",78
14,616,0.0181486064462907,0.0884194053208138,0.127614795011448,0.183441558441558,0.127614795011448,"learnrate","0.005","rpart",78
15,652,0.0192092392905545,0.0915492957746479,0.132197352142319,0.179447852760736,0.132197352142319,"learnrate","0.005","rpart",78
16,843,0.0248364857698427,0.120500782472613,0.153641870849391,0.182680901542112,0.153641870849391,"learnrate","0.005","rpart",78
17,884,0.0260444287313653,0.125195618153365,0.157641387352285,0.180995475113122,0.157641387352285,"learnrate","0.005","rpart",78
18,916,0.0269872134818219,0.126760563380282,0.161036532472519,0.176855895196507,0.161036532472519,"learnrate","0.005","rpart",78
19,1580,0.0465499970537977,0.176838810641628,0.225558510260093,0.143037974683544,0.225558510260093,"learnrate","0.005","rpart",78
