"hh_size","step","rule_added","n_flagged","workload_pct","precision","recall_obj","recall","dollar_recall","errors_caught"
"1",1,"unc_rawben_rel_max >= 1.845 & utilities < 625 & months_since_cert_n >= 4.5 & total_deductions < 880",122,1.0256,0.541,0.099,0.0832,0.099,66
"1",2,"unc_rawben_rel_max < 1.626 & rawearn >= 288 & rawben_rel_max < 0.9702 & expedited_i %in% c(""TRUE"")",203,1.7066,0.5369,0.1578,0.1375,0.1578,109
"1",3,"rawunearn < 499.5 & unc_rawben_rel_max >= 1.757 & utilities < 474.5 & months_since_cert_n >= 2.5",280,2.3539,0.4893,0.203,0.1728,0.203,137
"1",4,"rawunearn < 2.5 & total_deductions >= 63.1 & months_since_cert_n >= 4.5 & utilities < 73",402,3.3796,0.4478,0.2616,0.227,0.2616,180
"1",5,"rawunearn < 369 & shelter_expenses >= 1022 & months_since_cert_n >= 4.5",578,4.8592,0.4048,0.3293,0.2951,0.3293,234
"1",6,"rawunearn < 263.5 & cat_elig >= 0.5 & rawben_rel_max < 0.9773",987,8.2976,0.3404,0.4332,0.4237,0.4332,336
"2",1,"rawunearn < 863.5 & shelter_expenses >= 1539 & rawgross < 1890 & rawben_rel_max < 0.9753",81,1.0365,0.4321,0.0741,0.0672,0.0741,35
"2",2,"unc_rawben_rel_max >= 1.426 & utilities < 382 & utilities >= 12.5",179,2.2905,0.3743,0.1618,0.1286,0.1618,67
"2",3,"rawearn >= 0.5 & unc_rawben_rel_max < 0.9876 & rawben_rel_max >= 0.884",358,4.5809,0.2933,0.2417,0.2015,0.2417,105
"2",4,"shelter_expenses < 1552 & unc_rawben_rel_max >= 1.397 & utilities < 548",589,7.5368,0.2428,0.3282,0.2745,0.3282,143
"2",5,"shelter_expenses >= 1537 & rawunearn < 1212 & rawben_rel_max < 0.9753",762,9.7505,0.2257,0.3873,0.3301,0.3873,172
"2",6,"unc_rawben_rel_max >= 1.422 & utilities < 611",877,11.222,0.2132,0.4221,0.3589,0.4221,187
"3",1,"unc_rawben_rel_max >= 1.194 & utilities < 851 & utilities < 346 & months_since_cert_n >= 2.5",110,1.6047,0.2273,0.0973,0.0547,0.0973,25
"3",2,"rawgross < 0.5 & cat_elig >= 1.5 & months_since_cert_n >= 3.5",300,4.3764,0.1533,0.1661,0.1007,0.1661,46
"3",3,"unc_rawben_rel_max >= 0.7231 & rawearn >= 1062",809,11.8016,0.1508,0.3189,0.267,0.3189,122
