"hh_size","recall_floor","precision","recall_obj","n_flagged","workload_pct","errors_caught","n_rules","net"
"1",0.2,0.4893,0.203,280,2.3539,137,3,"unc_rawben_rel_max >= 1.845 & utilities < 625 & months_since_cert_n >= 4.5 & total_deductions < 880  OR  unc_rawben_rel_max < 1.626 & rawearn >= 288 & rawben_rel_max < 0.9702 & expedited_i %in% c(""TRUE"")  OR  rawunearn < 499.5 & unc_rawben_rel_max >= 1.757 & utilities < 474.5 & months_since_cert_n >= 2.5"
"1",0.3,0.4048,0.3293,578,4.8592,234,5,"unc_rawben_rel_max >= 1.845 & utilities < 625 & months_since_cert_n >= 4.5 & total_deductions < 880  OR  unc_rawben_rel_max < 1.626 & rawearn >= 288 & rawben_rel_max < 0.9702 & expedited_i %in% c(""TRUE"")  OR  rawunearn < 499.5 & unc_rawben_rel_max >= 1.757 & utilities < 474.5 & months_since_cert_n >= 2.5  OR  rawunearn < 2.5 & total_deductions >= 63.1 & months_since_cert_n >= 4.5 & utilities < 73  OR  rawunearn < 369 & shelter_expenses >= 1022 & months_since_cert_n >= 4.5"
"1",0.4,0.3404,0.4332,987,8.2976,336,6,"unc_rawben_rel_max >= 1.845 & utilities < 625 & months_since_cert_n >= 4.5 & total_deductions < 880  OR  unc_rawben_rel_max < 1.626 & rawearn >= 288 & rawben_rel_max < 0.9702 & expedited_i %in% c(""TRUE"")  OR  rawunearn < 499.5 & unc_rawben_rel_max >= 1.757 & utilities < 474.5 & months_since_cert_n >= 2.5  OR  rawunearn < 2.5 & total_deductions >= 63.1 & months_since_cert_n >= 4.5 & utilities < 73  OR  rawunearn < 369 & shelter_expenses >= 1022 & months_since_cert_n >= 4.5  OR  rawunearn < 263.5 & cat_elig >= 0.5 & rawben_rel_max < 0.9773"
"2",0.2,0.2933,0.2417,358,4.5809,105,3,"rawunearn < 863.5 & shelter_expenses >= 1539 & rawgross < 1890 & rawben_rel_max < 0.9753  OR  unc_rawben_rel_max >= 1.426 & utilities < 382 & utilities >= 12.5  OR  rawearn >= 0.5 & unc_rawben_rel_max < 0.9876 & rawben_rel_max >= 0.884"
"2",0.3,0.2428,0.3282,589,7.5368,143,4,"rawunearn < 863.5 & shelter_expenses >= 1539 & rawgross < 1890 & rawben_rel_max < 0.9753  OR  unc_rawben_rel_max >= 1.426 & utilities < 382 & utilities >= 12.5  OR  rawearn >= 0.5 & unc_rawben_rel_max < 0.9876 & rawben_rel_max >= 0.884  OR  shelter_expenses < 1552 & unc_rawben_rel_max >= 1.397 & utilities < 548"
"2",0.4,0.2132,0.4221,877,11.222,187,6,"rawunearn < 863.5 & shelter_expenses >= 1539 & rawgross < 1890 & rawben_rel_max < 0.9753  OR  unc_rawben_rel_max >= 1.426 & utilities < 382 & utilities >= 12.5  OR  rawearn >= 0.5 & unc_rawben_rel_max < 0.9876 & rawben_rel_max >= 0.884  OR  shelter_expenses < 1552 & unc_rawben_rel_max >= 1.397 & utilities < 548  OR  shelter_expenses >= 1537 & rawunearn < 1212 & rawben_rel_max < 0.9753  OR  unc_rawben_rel_max >= 1.422 & utilities < 611"
"3",0.2,0.1508,0.3189,809,11.8016,122,3,"unc_rawben_rel_max >= 1.194 & utilities < 851 & utilities < 346 & months_since_cert_n >= 2.5  OR  rawgross < 0.5 & cat_elig >= 1.5 & months_since_cert_n >= 3.5  OR  unc_rawben_rel_max >= 0.7231 & rawearn >= 1062"
"3",0.3,0.1508,0.3189,809,11.8016,122,3,"unc_rawben_rel_max >= 1.194 & utilities < 851 & utilities < 346 & months_since_cert_n >= 2.5  OR  rawgross < 0.5 & cat_elig >= 1.5 & months_since_cert_n >= 3.5  OR  unc_rawben_rel_max >= 0.7231 & rawearn >= 1062"
"3",0.4,0.1241,0.4492,1354,19.752,168,4,"unc_rawben_rel_max >= 1.194 & utilities < 851 & utilities < 346 & months_since_cert_n >= 2.5  OR  rawgross < 0.5 & cat_elig >= 1.5 & months_since_cert_n >= 3.5  OR  unc_rawben_rel_max >= 0.7231 & rawearn >= 1062  OR  utilities >= 669.5 & rawben_rel_max >= 0.7977"
"4",0.2,0.3019,0.2565,212,4.0038,64,6,"unc_rawben_rel_max >= 1.225 & shelter_expenses >= 1140 & utilities < 565.5 & utilities >= 514  OR  unc_rawben_rel_max >= 0.6619 & rawgross >= 1071 & rawgross < 1154 & rawgross >= 1128  OR  unc_rawben_rel_max >= 1.207 & rawunearn >= 53.5 & cat_elig >= 1.5  OR  rawben_rel_max >= 0.5596 & rawearn >= 998 & rawgross < 1156 & shelter_expenses < 1104  OR  months_since_cert_n >= 10.5 & shelter_expenses < 433 & rawunearn < 76  OR  shelter_expenses >= 1714 & rawgross < 2027 & rawben_rel_max < 0.9669 & rawunearn < 967.5"
