"hh_size","rule_id","rule","n_conditions","role","coefficient","importance","workload_pct","n_flagged","errors_caught","clean_flagged","precision","recall","dollar_recall","lift","base_rate"
"1","rule4551","unc_rawben_rel_max < 1.229 & rawearn >= 1.5 & unc_rawben_rel_max < 0.968 & expedited_i %in% c(""TRUE"")",4,"INCLUDE",34.242,2.764,0.7,78,46,32,0.59,0.058,0.061,8.85,0.067
"1","rule397","unc_rawben_rel_max >= 1.821 & months_since_cert_n >= 3.5 & percent_abawd >= 0.5 & utilities < 625",4,"INCLUDE",8.36,0.621,0.6,66,38,28,0.576,0.048,0.061,8.64,0.067
"1","rule5790","rawunearn < 365.5 & months_since_cert_n >= 4.5 & rawben_rel_max < 0.9408 & cat_elig >= 1.5",4,"INCLUDE",0.592,0.049,0.7,81,46,35,0.568,0.058,0.055,8.52,0.067
"1","rule5674","rawearn >= 1792 & months_since_cert_n >= 2.5 & unc_rawben_rel_max >= -0.5371",3,"INCLUDE",0.782,0.043,0.3,36,20,16,0.556,0.025,0.031,8.33,0.067
"1","rule4991","percent_abawd >= 0.5 & shelter_expenses >= 1754",2,"INCLUDE",1.634,0.099,0.4,44,22,22,0.5,0.028,0.035,7.5,0.067
"1","rule4424","elderly_disabled_i %in% c(""FALSE"") & total_deductions >= 18.5 & months_since_cert_n >= 3.5 & rawgross >= 1795",4,"INCLUDE",10.686,0.763,0.5,61,29,32,0.475,0.037,0.048,7.13,0.067
"1","rule269","unc_rawben_rel_max < 1.845 & rawunearn < 488 & rawben_rel_max < 0.976 & months_since_cert_n >= 7.5",4,"INCLUDE",6.538,0.753,1.3,160,74,86,0.462,0.093,0.087,6.94,0.067
"1","rule167","unc_rawben_rel_max >= 1.757 & months_since_cert_n >= 3.5 & utilities < 465.5",3,"INCLUDE",1.616,0.178,1.2,146,67,79,0.459,0.084,0.102,6.88,0.067
"1","rule6170","unc_rawben_rel_max >= 1.627 & expedited_i %in% c(""FALSE"") & percent_abawd >= 0.5 & utilities < 660.5",4,"INCLUDE",12.676,1.128,0.8,95,42,53,0.442,0.053,0.064,6.63,0.067
"1","rule6101","unc_rawben_rel_max >= 1.872 & utilities < 582.5 & months_since_cert_n >= 2.5 & shelter_expenses < 1742",4,"INCLUDE",12.432,1.364,1.2,145,64,81,0.441,0.081,0.094,6.62,0.067
"1","rule4161","unc_rawben_rel_max >= 1.821 & utilities < 625 & months_since_cert_n >= 3.5 & total_deductions >= 603",4,"INCLUDE",9.188,0.998,1.2,142,62,80,0.437,0.078,0.096,6.55,0.067
"1","rule4322","rawearn < 1792 & unc_rawben_rel_max >= 1.785 & months_since_cert_n >= 5.5 & total_deductions < 692.5",4,"INCLUDE",4.178,0.514,1.5,183,79,104,0.432,0.1,0.116,6.48,0.067
"1","rule5247","unc_rawben_rel_max < 1.217 & rawearn >= 3 & rawben_rel_max < 0.9718 & rawben_rel_max >= 0.7776",4,"INCLUDE",2.977,0.357,1.5,174,74,100,0.425,0.093,0.086,6.38,0.067
"1","rule894","rawunearn < 368 & total_deductions >= 80.2 & months_since_cert_n >= 4.5 & shelter_expenses >= 1206",4,"INCLUDE",2.137,0.254,1.4,171,72,99,0.421,0.091,0.103,6.32,0.067
"1","rule6436","unc_rawben_rel_max < 1.845 & rawearn >= 1.5 & unc_rawben_rel_max < 0.972 & rawben_rel_max >= 0.6068",4,"INCLUDE",11.233,1.756,2.5,298,125,173,0.419,0.158,0.137,6.29,0.067
"1","rule5732","rawearn >= 1795 & months_since_cert_n >= 2.5",2,"INCLUDE",6.378,0.543,0.7,87,36,51,0.414,0.045,0.056,6.21,0.067
"1","rule6442","unc_rawben_rel_max < 1.767 & rawearn >= 1 & unc_rawben_rel_max < 0.9737 & unc_rawben_rel_max >= 0.4575",4,"INCLUDE",18.381,3.314,3.4,400,162,238,0.405,0.204,0.171,6.08,0.067
"1","rule1125","rawunearn < 1.5 & total_deductions >= 64.2 & months_since_cert_n >= 4.5 & utilities < 73",4,"INCLUDE",2.466,0.295,1.5,173,70,103,0.405,0.088,0.101,6.07,0.067
"1","rule5164","unc_rawben_rel_max >= 1.78 & months_since_cert_n >= 3.5 & utilities < 625",3,"INCLUDE",0.089,0.012,2,239,96,143,0.402,0.121,0.144,6.03,0.067
"1","rule2315","rawunearn < 3.5 & total_deductions >= 89.8 & months_since_cert_n >= 3.5 & utilities < 28",4,"INCLUDE",2.539,0.279,1.2,145,58,87,0.4,0.073,0.087,6,0.067
"1","rule835","rawunearn < 365.5 & unc_rawben_rel_max < 0.9773 & months_since_cert_n >= 3.5",3,"INCLUDE",3.329,0.564,3,352,140,212,0.398,0.177,0.167,5.97,0.067
"1","rule2387","rawunearn < 3.5 & total_deductions >= 56.5 & months_since_cert_n >= 4.5 & utilities < 73",4,"INCLUDE",0.072,0.009,1.5,181,72,109,0.398,0.091,0.104,5.97,0.067
"1","rule2511","rawunearn < 368 & shelter_expenses >= 1022 & months_since_cert_n >= 4.5",3,"INCLUDE",6.187,0.901,2.2,258,100,158,0.388,0.126,0.139,5.81,0.067
"1","rule2359","rawunearn < 16 & total_deductions >= 62.6 & months_since_cert_n >= 4.5 & utilities < 346",4,"INCLUDE",2.224,0.315,2.1,244,93,151,0.381,0.117,0.131,5.72,0.067
"1","rule5691","unc_rawben_rel_max >= 1.766 & utilities < 470 & cat_elig >= 0.5",3,"INCLUDE",1.581,0.221,2,238,90,148,0.378,0.113,0.129,5.67,0.067
"1","rule1966","unc_rawben_rel_max < 1.767 & rawearn >= 528 & months_since_cert_n >= 3.5 & unc_rawben_rel_max < 0.9771",4,"INCLUDE",1.006,0.175,3.1,371,140,231,0.377,0.177,0.165,5.66,0.067
"1","rule5649","rawgross < 14.5 & total_deductions >= 18.5 & months_since_cert_n >= 5.5 & unc_rawben_rel_max < 1.912",4,"INCLUDE",13.095,1.76,1.8,219,82,137,0.374,0.103,0.122,5.62,0.067
