"n_deduction_types","rawben_rel_max","earned_by_hh_size","n_excluded","workload_cut_pct","clean_excluded","errors_lost","exclusion_purity","err_dollars_lost","dollar_recall_retained","recall_retained","retained_precision"
1,0.15,0,0,0,0,0,NA,0,1,1,0.1676
2,0.15,0,0,0,0,0,NA,0,1,1,0.1676
3,0.15,0,0,0,0,0,NA,0,1,1,0.1676
4,0.15,0,0,0,0,0,NA,0,1,1,0.1676
1,0.2,0,0,0,0,0,NA,0,1,1,0.1676
2,0.2,0,0,0,0,0,NA,0,1,1,0.1676
3,0.2,0,0,0,0,0,NA,0,1,1,0.1676
4,0.2,0,0,0,0,0,NA,0,1,1,0.1676
1,0.25,0,0,0,0,0,NA,0,1,1,0.1676
2,0.25,0,0,0,0,0,NA,0,1,1,0.1676
3,0.25,0,0,0,0,0,NA,0,1,1,0.1676
4,0.25,0,0,0,0,0,NA,0,1,1,0.1676
1,0.3,0,0,0,0,0,NA,0,1,1,0.1676
2,0.3,0,0,0,0,0,NA,0,1,1,0.1676
3,0.3,0,0,0,0,0,NA,0,1,1,0.1676
4,0.3,0,0,0,0,0,NA,0,1,1,0.1676
1,0.35,0,0,0,0,0,NA,0,1,1,0.1676
2,0.35,0,0,0,0,0,NA,0,1,1,0.1676
3,0.35,0,0,0,0,0,NA,0,1,1,0.1676
4,0.35,0,0,0,0,0,NA,0,1,1,0.1676
1,0.4,0,0,0,0,0,NA,0,1,1,0.1676
2,0.4,0,0,0,0,0,NA,0,1,1,0.1676
3,0.4,0,0,0,0,0,NA,0,1,1,0.1676
4,0.4,0,0,0,0,0,NA,0,1,1,0.1676
1,0.45,0,0,0,0,0,NA,0,1,1,0.1676
2,0.45,0,0,0,0,0,NA,0,1,1,0.1676
3,0.45,0,0,0,0,0,NA,0,1,1,0.1676
4,0.45,0,0,0,0,0,NA,0,1,1,0.1676
1,0.5,0,0,0,0,0,NA,0,1,1,0.1676
2,0.5,0,0,0,0,0,NA,0,1,1,0.1676
3,0.5,0,0,0,0,0,NA,0,1,1,0.1676
4,0.5,0,0,0,0,0,NA,0,1,1,0.1676
1,0.55,0,0,0,0,0,NA,0,1,1,0.1676
2,0.55,0,0,0,0,0,NA,0,1,1,0.1676
3,0.55,0,0,0,0,0,NA,0,1,1,0.1676
4,0.55,0,0,0,0,0,NA,0,1,1,0.1676
1,0.6,0,0,0,0,0,NA,0,1,1,0.1676
2,0.6,0,0,0,0,0,NA,0,1,1,0.1676
