"gross_by_hh_size","unc_rawben_rel_max","shelter_expenses","n_flagged","workload_pct","errors_caught","clean_flagged","precision","recall","dollar_recall","lift","err_dollars_caught"
350,0.6,1200,6,1.1299,157,-151,26.1667,0.0118,0.0215,1.0456,10893
350,0.6,1250,6,1.1299,157,-151,26.1667,0.0118,0.0215,1.0456,10893
350,0.6,1300,6,1.1299,157,-151,26.1667,0.0118,0.0215,1.0456,10893
350,0.6,1350,6,1.1299,157,-151,26.1667,0.0118,0.0215,1.0456,10893
350,0.6,1400,6,1.1299,157,-151,26.1667,0.0118,0.0215,1.0456,10893
350,0.6,1450,6,1.1299,157,-151,26.1667,0.0118,0.0215,1.0456,10893
350,0.6,1500,6,1.1299,157,-151,26.1667,0.0118,0.0215,1.0456,10893
350,0.6,1550,6,1.1299,157,-151,26.1667,0.0118,0.0215,1.0456,10893
350,0.6,1600,6,1.1299,157,-151,26.1667,0.0118,0.0215,1.0456,10893
350,0.6,1650,6,1.1299,157,-151,26.1667,0.0118,0.0215,1.0456,10893
350,0.6,1700,6,1.1299,157,-151,26.1667,0.0118,0.0215,1.0456,10893
350,0.6,1750,6,1.1299,157,-151,26.1667,0.0118,0.0215,1.0456,10893
350,0.6,1800,6,1.1299,157,-151,26.1667,0.0118,0.0215,1.0456,10893
350,0.6,1850,6,1.1299,157,-151,26.1667,0.0118,0.0215,1.0456,10893
350,0.6,1900,6,1.1299,157,-151,26.1667,0.0118,0.0215,1.0456,10893
350,0.6,1950,6,1.1299,157,-151,26.1667,0.0118,0.0215,1.0456,10893
350,0.6,2000,6,1.1299,157,-151,26.1667,0.0118,0.0215,1.0456,10893
350,0.6,2050,6,1.1299,157,-151,26.1667,0.0118,0.0215,1.0456,10893
350,0.6,2100,6,1.1299,157,-151,26.1667,0.0118,0.0215,1.0456,10893
350,0.6,2150,6,1.1299,157,-151,26.1667,0.0118,0.0215,1.0456,10893
350,0.6,2200,6,1.1299,157,-151,26.1667,0.0118,0.0215,1.0456,10893
350,0.6,2250,6,1.1299,157,-151,26.1667,0.0118,0.0215,1.0456,10893
350,0.6,2300,6,1.1299,157,-151,26.1667,0.0118,0.0215,1.0456,10893
350,0.6,2350,6,1.1299,157,-151,26.1667,0.0118,0.0215,1.0456,10893
350,0.6,2400,6,1.1299,157,-151,26.1667,0.0118,0.0215,1.0456,10893
350,0.6,2450,6,1.1299,157,-151,26.1667,0.0118,0.0215,1.0456,10893
350,0.6,2500,6,1.1299,157,-151,26.1667,0.0118,0.0215,1.0456,10893
350,0.6,2550,6,1.1299,157,-151,26.1667,0.0118,0.0215,1.0456,10893
350,0.6,2600,6,1.1299,157,-151,26.1667,0.0118,0.0215,1.0456,10893
350,0.6,2650,6,1.1299,157,-151,26.1667,0.0118,0.0215,1.0456,10893
650,0.4,2050,28,5.2731,730,-702,26.0714,0.0549,0.0334,1.0418,16896
400,0.75,750,15,2.8249,391,-376,26.0667,0.0294,0.0228,1.0416,11528
650,0.4,2150,30,5.6497,782,-752,26.0667,0.0589,0.0334,1.0416,16896
650,0.4,2200,30,5.6497,782,-752,26.0667,0.0589,0.0334,1.0416,16896
400,0.75,800,16,3.0132,417,-401,26.0625,0.0314,0.0234,1.0415,11840
50,1.25,2250,34,6.403,886,-852,26.0588,0.0667,0.0761,1.0413,38540
50,1.25,2300,34,6.403,886,-852,26.0588,0.0667,0.0761,1.0413,38540
50,1.25,2350,34,6.403,886,-852,26.0588,0.0667,0.0761,1.0413,38540
50,1.25,2400,34,6.403,886,-852,26.0588,0.0667,0.0761,1.0413,38540
50,1.25,2450,34,6.403,886,-852,26.0588,0.0667,0.0761,1.0413,38540
50,1.25,2500,34,6.403,886,-852,26.0588,0.0667,0.0761,1.0413,38540
50,1.25,2550,34,6.403,886,-852,26.0588,0.0667,0.0761,1.0413,38540
50,1.25,2600,34,6.403,886,-852,26.0588,0.0667,0.0761,1.0413,38540
50,1.25,2650,34,6.403,886,-852,26.0588,0.0667,0.0761,1.0413,38540
650,0.4,1700,26,4.8964,677,-651,26.0385,0.0509,0.0302,1.0405,15302
650,0.4,1750,26,4.8964,677,-651,26.0385,0.0509,0.0302,1.0405,15302
650,0.4,1800,26,4.8964,677,-651,26.0385,0.0509,0.0302,1.0405,15302
650,0.4,1850,26,4.8964,677,-651,26.0385,0.0509,0.0302,1.0405,15302
650,0.4,1900,26,4.8964,677,-651,26.0385,0.0509,0.0302,1.0405,15302
650,0.4,1950,26,4.8964,677,-651,26.0385,0.0509,0.0302,1.0405,15302
650,0.4,2100,29,5.4614,755,-726,26.0345,0.0568,0.0334,1.0404,16896
650,0.4,2250,31,5.838,805,-774,25.9677,0.0606,0.0342,1.0377,17333
650,0.4,2300,31,5.838,805,-774,25.9677,0.0606,0.0342,1.0377,17333
650,0.4,2350,31,5.838,805,-774,25.9677,0.0606,0.0342,1.0377,17333
650,0.4,2400,31,5.838,805,-774,25.9677,0.0606,0.0342,1.0377,17333
650,0.4,2450,31,5.838,805,-774,25.9677,0.0606,0.0342,1.0377,17333
650,0.4,2500,31,5.838,805,-774,25.9677,0.0606,0.0342,1.0377,17333
650,0.4,2550,31,5.838,805,-774,25.9677,0.0606,0.0342,1.0377,17333
650,0.4,1600,23,4.3315,596,-573,25.913,0.0449,0.0237,1.0355,12001
650,0.4,1650,23,4.3315,596,-573,25.913,0.0449,0.0237,1.0355,12001
650,0.4,2600,32,6.0264,829,-797,25.9062,0.0624,0.0342,1.0352,17333
650,0.4,2650,32,6.0264,829,-797,25.9062,0.0624,0.0342,1.0352,17333
650,0.35,2150,22,4.1431,569,-547,25.8636,0.0428,0.0278,1.0335,14058
650,0.35,2200,22,4.1431,569,-547,25.8636,0.0428,0.0278,1.0335,14058
450,0.55,800,7,1.3183,181,-174,25.8571,0.0136,0.0288,1.0333,14582
650,0.4,2000,27,5.0847,698,-671,25.8519,0.0525,0.031,1.0331,15680
650,0.35,2050,20,3.7665,517,-497,25.85,0.0389,0.0278,1.033,14058
50,1.25,1800,33,6.2147,853,-820,25.8485,0.0642,0.0616,1.0329,31181
50,1.25,1850,33,6.2147,853,-820,25.8485,0.0642,0.0616,1.0329,31181
50,1.25,1900,33,6.2147,853,-820,25.8485,0.0642,0.0616,1.0329,31181
50,1.25,1950,33,6.2147,853,-820,25.8485,0.0642,0.0616,1.0329,31181
50,1.25,2000,33,6.2147,853,-820,25.8485,0.0642,0.0616,1.0329,31181
50,1.25,2050,33,6.2147,853,-820,25.8485,0.0642,0.0616,1.0329,31181
50,1.25,2100,33,6.2147,853,-820,25.8485,0.0642,0.0616,1.0329,31181
