fiscal_year,calendar_year,month_name,month_num,state,stratum,sampling_interval,stratum_sampling_size,snap_units_in_state,units_with_complete_reviews,ineligible_units,disqualification_rate,adjusted_snap_units_in_state,failing_units,stratum_sampling_size_edited,stratum_specific_weight,pct_ineligible,ym
2017,2016,October,10,Alabama,0,1,94,385902,87,0,0,385902,0,87,4436,0,2016-10
2017,2016,October,10,Alaska,0,1,48,31333,36,2,0.0556,29592,0,34,870,5.56,2016-10
2017,2016,October,10,Arizona,0,1,98,429148,77,5,0.0649,401281,0,72,5573,6.49,2016-10
2017,2016,October,10,Arkansas,0,1,103,176611,100,4,0.04,169547,0,96,1766,4,2016-10
2017,2016,October,10,California,0,1,92,2041736,73,1,0.0137,2013767,1,71,28363,1.37,2016-10
2017,2016,October,10,Colorado,0,1,94,222507,67,0,0,222507,0,67,3321,0,2016-10
2017,2016,October,10,Connecticut,0,1,94,240837,73,0,0,240837,0,73,3299,0,2016-10
2017,2016,October,10,Delaware,0,1,103,71684,72,2,0.0278,69693,0,70,996,2.78,2016-10
2017,2016,October,10,District of Columbia,0,1,80,70896,68,1,0.0147,69853,0,67,1043,1.47,2016-10
2017,2016,October,10,Florida,0,1,95,1737074,83,0,0,1737074,0,83,20929,0,2016-10
2017,2016,October,10,Georgia,0,1,96,776017,85,0,0,776017,0,85,9130,0,2016-10
2017,2016,October,10,Hawaii,0,1,106,87429,85,0,0,87429,0,85,1029,0,2016-10
2017,2016,October,10,Idaho,0,1,101,76302,88,0,0,76302,0,88,867,0,2016-10
2017,2016,October,10,Illinois,0,1,103,993475,90,0,0,993475,0,90,11039,0,2016-10
2017,2016,October,10,Indiana,0,1,108,312214,91,4,0.044,298490,1,86,3471,4.3999999999999995,2016-10
2017,2016,October,10,Iowa,0,1,86,177226,76,2,0.0263,172562,0,74,2332,2.63,2016-10
2017,2016,October,10,Kansas,0,1,94,112929,87,1,0.0115,111631,0,86,1298,1.15,2016-10
2017,2016,October,10,Kentucky,0,1,80,314512,80,1,0.0125,310581,0,79,3931,1.25,2016-10
2017,2016,October,10,Louisiana,0,1,107,552603,80,0,0,552603,1,79,6995,0,2016-10
2017,2016,October,10,Maine,0,1,85,95570,73,0,0,95570,1,72,1327,0,2016-10
2017,2016,October,10,Maryland,0,1,89,373911,66,1,0.0152,368246,0,65,5665,1.52,2016-10
2017,2016,October,10,Massachusetts,0,1,93,447364,79,0,0,447364,1,78,5735,0,2016-10
2017,2016,October,10,Michigan,0,1,94,750000,79,0,0,750000,0,79,9494,0,2016-10
2017,2016,October,10,Minnesota,0,1,93,225828,87,0,0,225828,0,87,2596,0,2016-10
2017,2016,October,10,Mississippi,0,1,95,251605,84,1,0.0119,248610,0,83,2995,1.1900000000000002,2016-10
2017,2016,October,10,Missouri,0,1,87,352900,71,4,0.0563,333018,0,67,4970,5.63,2016-10
2017,2016,October,10,Montana,0,1,81,56511,71,0,0,56511,0,71,796,0,2016-10
2017,2016,October,10,Nebraska,0,1,90,79507,80,1,0.0125,78513,0,79,994,1.25,2016-10
2017,2016,October,10,Nevada,0,1,101,224655,89,3,0.0337,217082,0,86,2524,3.37,2016-10
2017,2016,October,10,New Hampshire,0,1,67,46694,61,3,0.0492,44398,2,56,793,4.92,2016-10
2017,2016,October,10,New Jersey,0,1,103,425204,64,1,0.0156,418560,0,63,6644,1.5599999999999998,2016-10
2017,2016,October,10,New Mexico,0,1,98,220968,79,5,0.0633,206983,0,74,2797,6.329999999999999,2016-10
