"rank","role","rule","hh","pool","engines","mined_frames","n_flagged_train","precision_train","precision_train_lcb","dollars_per_flag_train","mm_share_flags","mm_share_errors","mm_inflation","n_flagged_state","n_new_at_rank","n_error_cases_national","element_groups_to_75","nature_groups_to_75","found_in_case_record","share_overissuance","timing_at_certification","cause_agency"
1,"core","earned_by_hh_size > 0.25 & earned_by_hh_size <= 632 & expedited_i <= 0 & married <= 0","2-3","state","ranger","any_error",45,0.8222,0.6577,234.76,0.1333,0.1622,0.1333,45,45,1121,"earned income 0.53; shelter deduction 0.15; unearned income 0.14","wrong amount, known item 0.32; wrong include/exclude decision 0.22; unreported source of income 0.14; change in circumstances 0.11",0.393402565668907,0.715432649420161,0.607819181429444,0.545343883140596
2,"core","count_divisible_by_100 <= 0.5 & rawben_rel_max > 0.998 & unc_rawben_rel_max <= 1.02 & unearned_by_hh_size > 56.5","1","state","ranger","any_error",33,0.8485,0.6562,152.79,0,0,0,33,33,598,"unearned income 0.47; shelter deduction 0.36","wrong include/exclude decision 0.50; wrong amount, known item 0.20; unreported source of income 0.13",0.4004914004914,0.994983277591973,0.511056511056511,0.575275397796818
3,"core","children_i >= 1 & count_divisible_by_100 <= 0.5 & gross_by_hh_size > 326 & rawben_rel_max > 0.587","2-3","state","ranger","any_error",45,0.8,0.6329,178.84,0.1111,0.1389,0.1111,45,27,1137,"earned income 0.39; shelter deduction 0.21; unearned income 0.17","wrong amount, known item 0.31; wrong include/exclude decision 0.27; unreported source of income 0.12; change in circumstances 0.09",0.384615384615385,0.708003518029903,0.616586538461538,0.547846889952153
4,"core","elderly_disabled_i >= 1 & rawben_rel_max > 0.999 & unc_rawben_rel_max <= 1 & utilities_sua > 0.5","2-3","national","ranger","any_error",107,0.5981,0.4857,120.29,0,0,0,3,2,64,"shelter deduction 0.58; medical deduction 0.15; unearned income 0.11","wrong include/exclude decision 0.48; wrong amount, known item 0.36",0.292134831460674,0.984375,0.730337078651685,0.50561797752809
5,"core","medical_deductions > 138 & unc_rawben_rel_max > 0.49 & unearned_by_hh_size > 1270 & utilities_sua <= 1.5","1","national","ranger","any_error",30,0.6667,0.4552,131.43,0.0333,0.05,0.0333,1,1,20,"medical deduction 0.40; shelter deduction 0.20; utility allowance 0.17","wrong include/exclude decision 0.60; wrong amount, known item 0.20",0.525,1,0.625,0.525
6,"buffer","earned_by_hh_size > 0.5 & expedited_i <= 0 & unc_rawben_rel_max > 0.154 & unc_rawben_rel_max <= 0.804","2-3","state","ranger","any_error",48,0.7708,0.6068,168.92,0.1042,0.1351,0.1042,48,25,1396,"earned income 0.47; shelter deduction 0.19; unearned income 0.13","wrong amount, known item 0.34; wrong include/exclude decision 0.23; unreported source of income 0.10; change in circumstances 0.10",0.40343347639485,0.621776504297994,0.617072007629948,0.558823529411765
7,"buffer","earned_by_hh_size > 239 & gross_by_hh_size <= 1340 & months_since_cert_n > 6.5 & total_deductions_by_hh_size > 0.25","1","state","ranger","any_error",31,0.8065,0.602,161.68,0.129,0.16,0.129,31,31,265,"earned income 0.59; other element 0.13; shelter deduction 0.13","unreported source of income 0.25; wrong amount, known item 0.18; change in circumstances 0.18; wrong include/exclude decision 0.18",0.270783847980998,0.849056603773585,0.261282660332542,0.338862559241706
8,"buffer","expedited_i <= 0 & married <= 0 & rawben_rel_max <= 0.801 & unc_rawben_rel_max > 0.651","2-3","state","ranger","any_error",34,0.7647,0.5671,163.47,0.0882,0.1154,0.0882,34,21,516,"earned income 0.34; unearned income 0.24; shelter deduction 0.19","wrong amount, known item 0.31; wrong include/exclude decision 0.26; unreported source of income 0.11; change in circumstances 0.09",0.419571045576408,0.602713178294574,0.613941018766756,0.558510638297872
9,"buffer","elderly_disabled_i <= 0 & gross_by_hh_size <= 1710 & unc_rawben_rel_max <= 0.819","1","state","ranger","any_error",45,0.7333,0.5613,131.2,0.1556,0.2121,0.1556,45,37,511,"earned income 0.43; unearned income 0.20; shelter deduction 0.15","wrong amount, known item 0.35; wrong include/exclude decision 0.25; unreported source of income 0.11; change in circumstances 0.09",0.372764786795048,0.536203522504892,0.585969738651995,0.563013698630137
10,"buffer","gross_by_hh_size > 85 & percent_abawd <= 0.292 & total_deductions_by_hh_size > 24.9 & unearned_by_hh_size <= 176","4+","state","ranger","any_error",36,0.7222,0.5287,260.67,0.0833,0.1154,0.0833,36,36,2100,"earned income 0.46; shelter deduction 0.17; unearned income 0.15","wrong amount, known item 0.32; wrong include/exclude decision 0.24; unreported source of income 0.12; change in circumstances 0.09",0.408383613845665,0.686666666666667,0.624960304858685,0.57843137254902
11,"buffer","gross_by_hh_size > 256 & homeless <= 0 & unc_rawben_rel_max > 0.65","4+","state","ranger","any_error",30,0.7333,0.5212,244.83,0.1,0.1364,0.1,30,18,992,"earned income 0.42; shelter deduction 0.19; unearned income 0.17","wrong amount, known item 0.32; wrong include/exclude decision 0.24; unreported source of income 0.12; change in circumstances 0.08",0.397820163487738,0.711693548387097,0.630790190735695,0.565335138794854
12,"buffer","shelter_expenses_by_hh_size > 144 & shelter_expenses_by_hh_size <= 599 & total_deductions_by_hh_size > 72.4 & unearned_by_hh_size > 306","2-3","state","ranger","any_error",33,0.697,0.4945,115.33,0.0303,0.0435,0.0303,33,17,743,"unearned income 0.30; shelter deduction 0.27; earned income 0.12; other element 0.12","wrong include/exclude decision 0.38; wrong amount, known item 0.25; unreported source of income 0.10; other 0.09",0.414007092198582,0.733512786002692,0.62145390070922,0.553492484526967
13,"buffer","earned_by_hh_size >= 622 & earned_by_hh_size < 630 & shelter_expenses_by_hh_size >= 1090 & total_deductions_by_hh_size < 804","1","national","xgboost","any_error",55,0.6364,0.4797,134.25,0,0,0,6,3,35,"earned income 0.68; shelter deduction 0.13","unreported source of income 0.26; change in circumstances 0.23; wrong amount, known item 0.21; wrong include/exclude decision 0.15",0.226415094339623,0.971428571428571,0.471698113207547,0.339622641509434
14,"buffer","count_divisible_by_100 <= 0.5 & earned_by_hh_size <= 357 & gross_by_hh_size > 262","4+","state","ranger","any_error",52,0.6346,0.4736,168.19,0.0577,0.0909,0.0577,52,28,864,"earned income 0.32; unearned income 0.28; shelter deduction 0.18","wrong amount, known item 0.34; wrong include/exclude decision 0.24; unreported source of income 0.10; household composition 0.09",0.428678678678679,0.658564814814815,0.605105105105105,0.597003745318352
15,"buffer","rawben_rel_max >= 0.893 & total_deductions_by_hh_size >= 16.5 & unearned_by_hh_size >= 866 & utilities_sua < 2","1","national","xgboost","any_error",149,0.5638,0.4687,105.8,0.0336,0.0476,0.0268,4,2,84,"shelter deduction 0.40; utility allowance 0.29; medical deduction 0.16","wrong include/exclude decision 0.66; wrong amount, known item 0.14",0.363013698630137,0.988095238095238,0.595890410958904,0.561643835616438
16,"buffer","total_deductions_by_hh_size > 523 & unc_rawben_rel_max > 0.975 & unc_rawben_rel_max <= 1 & utilities_sua > 0.5","2-3","national","ranger","any_error",63,0.5873,0.4418,163.22,0.0159,0,0,1,1,37,"shelter deduction 0.43; dep care or child support deduction 0.22; medical deduction 0.17","wrong amount, known item 0.39; wrong include/exclude decision 0.35; method or computation 0.11",0.37037037037037,0.972972972972973,0.740740740740741,0.555555555555556
17,"buffer","earned_by_hh_size > 444 & unc_rawben_rel_max > 1.34 & utilities_sua <= 0.5","1","national","ranger","any_error",36,0.6111,0.4198,158.25,0,0,0,5,3,22,"earned income 0.58; shelter deduction 0.22","wrong amount, known item 0.31; wrong include/exclude decision 0.28; unreported source of income 0.22",0.444444444444444,1,0.5,0.5
