"rule","hh","pool","engines","mined_frames","n_flagged_train","precision_train","precision_train_lcb","dollars_per_flag_train","n_flagged_state","n_new_at_rank","rank","role"
"rawben_rel_max >   0.987 & rawben_rel_max <=   0.991 & total_deductions_by_hh_size > 626.000 & utilities <= 382.000","1","national","ranger","any_error",119,0.6639,0.558,115.24,16,16,1,"core"
"medical_deductions > 148 & total_deductions_by_hh_size > 614 & utilities <= 578","2-3","national","ranger","any_error",35,0.7429,0.5472,150.91,5,5,2,"core"
"rawben_rel_max >   0.800 & rawben_rel_max <=   0.991 & shelter_expenses_by_hh_size > 856.000 & utilities <= 276.000","1","national","ranger","any_error",159,0.6101,0.5179,106.44,10,8,3,"core"
"elderly_disabled_i >   0.500 & rawben_rel_max >   0.994 & rawben_rel_max <=   0.997 & total_deductions_by_hh_size > 371.000","2-3","national","ranger","any_error",35,0.7143,0.5178,182.31,5,4,4,"core"
"expedited_i >   0.500 & months_since_cert_n <=   4.500 & rawben_rel_max <=   0.998 & total_deductions_by_hh_size > 987.000","1","national","ranger","any_error",31,0.7097,0.5008,124.16,3,2,5,"core"
"elderly_disabled_i >=   0.50 & shelter_expenses_by_hh_size < 676.00 & unc_rawben_rel_max >=   1.81 & utilities < 583.00","1","national","xgboost","any_error",96,0.5521,0.4344,95.52,1,1,6,"core"
"cat_elig >   0.50 & shelter_expenses_by_hh_size <= 679.00 & total_deductions_by_hh_size > 436.00 & unc_rawben_rel_max >   1.68","2-3","national","ranger","any_error",70,0.5714,0.4337,169.79,1,1,7,"core"
"homeless <=   0.50 & total_deductions_by_hh_size <= 842.00 & unc_rawben_rel_max >   1.96 & utilities <= 648.00","1","national","ranger","any_error",105,0.5429,0.4305,82.49,3,3,8,"core"
"total_deductions_by_hh_size > 503.000 & unc_rawben_rel_max >   0.379 & unc_rawben_rel_max <=   0.991 & utilities <=   8.000","1","national","ranger","any_error",296,0.4932,0.4264,79.1,16,12,9,"core"
"cat_elig >    0.500 & rawben_rel_max <=    0.997 & shelter_expenses_by_hh_size > 1410.000","2-3","national","ranger","any_error",30,0.6333,0.4235,191,3,2,10,"core"
"medical_deductions <= 144.00 & shelter_expenses_by_hh_size >   5.50 & unc_rawben_rel_max >   1.95 & utilities <= 294.00","1","national","ranger","any_error",64,0.5625,0.419,102,4,4,11,"core"
"cat_elig >   0.500 & medical_deductions > 602.000 & rawben_rel_max <=   0.991 & shelter_expenses_by_hh_size >   5.500","1","national","ranger","any_error",51,0.5686,0.4085,101.78,1,1,12,"core"
"rawben_rel_max >   0.994 & total_deductions_by_hh_size > 302.000 & unc_rawben_rel_max <=   0.995","2-3","national","ranger","any_error",51,0.5686,0.4085,109.06,6,3,13,"core"
"medical_deductions >= 132.00 & total_deductions_by_hh_size >=   2.70 & unc_rawben_rel_max >=   2.55","1","national","xgboost","any_error",33,0.6061,0.4071,124.61,2,2,14,"core"
"months_since_cert_n >=  11.50 & unc_rawben_rel_max >=   1.88 & utilities < 372.00","1","national","xgboost","any_error",35,0.6,0.4069,103.43,1,1,15,"core"
"medical_deductions >=   2 & total_deductions_by_hh_size >= 498 & utilities < 451","2-3","national","xgboost","any_error",50,0.56,0.3989,93.14,13,8,16,"core"
"HH_size_n <=  11.500 & months_since_cert_n >   2.500 & rawben_rel_max <=   0.998 & total_deductions_by_hh_size > 490.000","4+","national","ranger","any_error",36,0.5833,0.3939,121.58,1,1,17,"core"
"elderly_disabled_i > 0.500 & rawben_rel_max > 0.996 & rawben_rel_max <= 0.998","4+","national","ranger","any_error",34,0.5882,0.3934,99.53,1,1,18,"core"
"shelter_expenses_by_hh_size > 1220.000 & unc_rawben_rel_max >    0.325 & unc_rawben_rel_max <=    0.993 & utilities <=  316.000","1","national","ranger","any_error",99,0.5051,0.391,90.04,10,8,19,"core"
"elderly_disabled_i >  0.50 & expedited_i <=  0.50 & unc_rawben_rel_max >  1.45 & utilities <= 30.50","1","national","ranger","any_error",106,0.5,0.3898,90.32,2,1,20,"core"
"elderly_disabled_i >=  0.500 & rawben_rel_max >=  0.919 & rawben_rel_max <  0.998 & utilities < 39.000","1","national","xgboost","any_error",145,0.4828,0.3886,83.12,8,5,21,"core"
"count_divisible_by_100 >   0.50 & months_since_cert_n <=   5.50 & shelter_expenses_by_hh_size > 281.00 & unc_rawben_rel_max >   1.47","2-3","national","ranger","any_error",35,0.5714,0.3805,155.46,2,2,22,"core"
"medical_deductions >= 227.000 & rawben_rel_max >=   0.402 & unc_rawben_rel_max <   1.020 & utilities < 360.000","1","national","xgboost","any_error",86,0.5,0.3784,81.33,1,1,23,"core"
"count_divisible_by_100 >   1.500 & months_since_cert_n >   5.500 & rawben_rel_max <=   0.976 & total_deductions_by_hh_size <= 167.000","4+","national","ranger","any_error",31,0.5806,0.3781,107.58,1,1,24,"core"
"rawben_rel_max <   0.624 & total_deductions_by_hh_size >= 456.000","4+","national","xgboost","any_error",31,0.5806,0.3781,156.48,1,1,25,"core"
"medical_deductions >=   0.50 & medical_deductions <   8.50 & rawben_rel_max <   0.79 & total_deductions_by_hh_size >= 409.00","1","national","xgboost","any_error",55,0.5273,0.3754,36.04,2,2,26,"core"
"cat_elig >   0.5 & HH_size_n >   5.5 & shelter_expenses_by_hh_size >  26.2 & total_deductions_by_hh_size > 284.0","4+","national","ranger","any_error",42,0.5476,0.374,173.1,1,1,27,"core"
"rawben_rel_max <   0.693 & total_deductions_by_hh_size >= 523.000 & utilities < 366.000","2-3","national","xgboost","any_error",58,0.5172,0.3698,98.69,4,3,28,"core"
"HH_size_n >=   4.500 & rawben_rel_max >=   0.871 & rawben_rel_max <   0.883 & utilities >= 369.000","4+","national","xgboost","any_error",56,0.5179,0.368,96.54,1,1,29,"core"
"months_since_cert_n >=   6.50 & unc_rawben_rel_max >=   1.79 & utilities < 466.00","1","national","xgboost","any_error",358,0.4246,0.3654,80.81,5,3,30,"core"
"shelter_expenses_by_hh_size > 1110 & total_deductions_by_hh_size >  456 & utilities <=  498","2-3","national","ranger","any_error",32,0.5625,0.3646,156.22,6,4,31,"core"
"medical_deductions >= 278.000 & rawben_rel_max >=   0.819 & shelter_expenses_by_hh_size >=  84.800","2-3","national","xgboost","any_error",41,0.5366,0.362,138.46,2,1,32,"core"
"HH_size_n >=   4.5 & months_since_cert_n >=  10.5 & shelter_expenses_by_hh_size >= 341.0 & total_deductions_by_hh_size >= 151.0","4+","national","xgboost","any_error",41,0.5366,0.362,163.44,1,1,33,"core"
"married >=   0.500 & rawben_rel_max <   0.482 & shelter_expenses_by_hh_size >= 847.000 & utilities < 856.000","2-3","national","xgboost","any_error",105,0.4667,0.3579,96.67,3,2,34,"core"
"children_i >  0.500 & elderly_disabled_i >  0.500 & unc_rawben_rel_max > -0.447","1","national","ranger","any_error",37,0.5405,0.3573,105.03,3,3,35,"core"
"rawben_rel_max >=   0.390 & rawben_rel_max <   0.886 & total_deductions_by_hh_size >= 436.000","4+","national","xgboost","any_error",74,0.4865,0.3569,120.53,2,1,36,"core"
"medical_deductions > 216.000 & rawben_rel_max >   0.315 & rawben_rel_max <=   0.997 & utilities <= 414.000","1","national","ranger","any_error",143,0.4476,0.3545,66.15,4,2,37,"core"
"rawben_rel_max >=    0.806 & rawben_rel_max <    0.997 & shelter_expenses_by_hh_size >= 1160.000","2-3","national","xgboost","any_error",33,0.5455,0.3521,173.24,2,1,38,"core"
"elderly_disabled_i >=   0.50 & total_deductions_by_hh_size < 684.00 & unc_rawben_rel_max >=   1.53 & utilities < 454.00","1","national","xgboost","any_error",259,0.4208,0.3518,77.03,5,3,39,"core"
"months_since_cert_n >=   2.5 & total_deductions_by_hh_size >= 459.0","4+","national","xgboost","any_error",68,0.4853,0.3507,122.82,2,1,40,"core"
"HH_size_n >=   4.5 & total_deductions_by_hh_size >= 364.0","4+","national","xgboost","any_error",61,0.4918,0.3498,97.74,1,1,41,"core"
"rawben_rel_max >=   0.600 & rawben_rel_max <   0.997 & shelter_expenses_by_hh_size >= 976.000 & total_deductions_by_hh_size >= 438.000","2-3","national","xgboost","any_error",133,0.4436,0.3476,107.05,6,3,42,"core"
"medical_deductions > 116.000 & medical_deductions <= 124.000 & rawben_rel_max >   0.262 & shelter_expenses_by_hh_size <= 848.000","1","national","ranger","any_error",38,0.5263,0.3467,33.03,1,1,43,"core"
"expedited_i <=   0.5 & HH_size_n <=   4.5 & months_since_cert_n >   1.5 & shelter_expenses_by_hh_size > 294.0","4+","state","ranger","any_error",49,0.5306,0.3702,108.33,49,46,44,"buffer"
"rawben_rel_max <    0.993 & shelter_expenses_by_hh_size >= 1190.000 & shelter_expenses_by_hh_size < 1470.000 & total_deductions_by_hh_size >=  800.000","1","state","xgboost","any_error",33,0.5455,0.3521,76.27,33,28,45,"buffer"
"rawben_rel_max <   0.995 & total_deductions_by_hh_size >= 640.000 & utilities < 282.000","1","national","xgboost","any_error",374,0.4064,0.3491,68.9,16,8,46,"buffer"
"months_since_cert_n <   11.50 & shelter_expenses_by_hh_size < 1800.00 & unc_rawben_rel_max >=    2.54 & utilities <  748.00","1","national","xgboost","any_error",96,0.4583,0.3454,88.03,2,1,47,"buffer"
"count_divisible_by_100 <=   0.500 & rawben_rel_max >   0.598 & rawben_rel_max <=   0.860 & shelter_expenses_by_hh_size > 598.000","2-3","state","ranger","any_error",34,0.5294,0.3404,127.26,34,27,48,"buffer"
"HH_size_n >=   4.500 & rawben_rel_max <   0.793 & total_deductions_by_hh_size >= 321.000","4+","national","xgboost","any_error",75,0.4667,0.3395,93.43,2,2,49,"buffer"
"medical_deductions >= 122.000 & medical_deductions < 130.000 & rawben_rel_max >=   0.382","1","national","xgboost","any_error",85,0.4588,0.3394,36.74,1,1,50,"buffer"
"medical_deductions > 110.00 & rawben_rel_max >   0.38","1","state","ranger","any_error",32,0.5312,0.3369,69.31,32,19,51,"buffer"
"HH_size_n >   5.5 & HH_size_n <=   6.5 & months_since_cert_n >   1.5 & total_deductions_by_hh_size > 205.0","4+","national","ranger","any_error",154,0.4221,0.3337,111.01,1,1,52,"buffer"
"months_since_cert_n <=   1.500 & rawben_rel_max >   0.152 & shelter_expenses_by_hh_size > 201.000 & total_deductions_by_hh_size <= 212.000","2-3","state","ranger","any_error",30,0.5333,0.3332,94.93,30,30,53,"buffer"
"elderly_disabled_i > 0.5 & HH_size_n <= 4.5","4+","state","ranger","any_error",30,0.5333,0.3332,122.17,30,16,54,"buffer"
"count_divisible_by_100 > 1.500 & expedited_i <= 0.500 & months_since_cert_n > 5.500 & rawben_rel_max <= 0.976","4+","national","ranger","any_error",42,0.5,0.3311,110.07,2,1,55,"buffer"
"medical_deductions >= 4.500 & medical_deductions < 8.500 & rawben_rel_max < 0.563","1","national","xgboost","any_error",70,0.4571,0.3267,32.11,2,1,56,"buffer"
"months_since_cert_n >  5.50 & unc_rawben_rel_max >  1.65 & utilities <= 14.50","1","national","ranger","any_error",94,0.4362,0.3239,87.52,2,1,57,"buffer"
"HH_size_n >   5.5 & HH_size_n <=   6.5 & total_deductions_by_hh_size > 218.0 & total_deductions_by_hh_size <= 468.0","4+","national","ranger","any_error",145,0.4138,0.3234,109.41,3,3,58,"buffer"
"cat_elig >   0.5 & HH_size_n >   5.5 & shelter_expenses_by_hh_size <= 310.0 & total_deductions_by_hh_size > 183.0","4+","national","ranger","any_error",160,0.4062,0.3204,105.61,2,2,59,"buffer"
"months_since_cert_n >   5.5 & shelter_expenses_by_hh_size > 519.0 & total_deductions_by_hh_size > 856.0","2-3","national","ranger","any_error",61,0.459,0.3201,118.59,2,1,60,"buffer"
"HH_size_n >= 5.500 & months_since_cert_n < 2.500 & percent_abawd >= 0.118 & rawben_rel_max < 0.947","4+","national","xgboost","any_error",36,0.5,0.3193,117.56,1,1,61,"buffer"
