"rank","role","rule","hh","pool","engines","mined_frames","n_flagged_train","precision_train","precision_train_lcb","dollars_per_flag_train","mm_share_flags","mm_share_errors","mm_inflation","n_flagged_state","n_new_at_rank","n_error_cases_national","element_groups_to_75","nature_groups_to_75","found_in_case_record","share_overissuance","timing_at_certification","cause_agency"
1,"core","rawben_rel_max > 0.999 & total_deductions_by_hh_size > 589 & unc_rawben_rel_max > 0.156 & unc_rawben_rel_max <= 1","2-3","national","ranger","any_error",32,0.875,0.6838,251.75,0,0,0,2,2,28,"shelter deduction 0.45; dep care or child support deduction 0.20; medical deduction 0.20","wrong amount, known item 0.42; wrong include/exclude decision 0.35",0.4,1,0.775,0.6
2,"core","total_deductions_by_hh_size <= 293 & unc_rawben_rel_max > 1 & unc_rawben_rel_max <= 1.01 & unearned_by_hh_size > 334","1","national","ranger","any_error",70,0.7286,0.5919,145.9,0,0,0,3,3,51,"unearned income 0.80","wrong include/exclude decision 0.58; unreported source of income 0.23",0.454545454545455,0.980392156862745,0.545454545454545,0.606060606060606
3,"core","rawben_rel_max > 0.999 & total_deductions_by_hh_size > 347 & unc_rawben_rel_max <= 1 & unearned_by_hh_size > 130","2-3","national","ranger","any_error",70,0.7143,0.5769,166.06,0,0,0,3,2,50,"shelter deduction 0.55; medical deduction 0.16; unearned income 0.11","wrong amount, known item 0.41; wrong include/exclude decision 0.41",0.315068493150685,0.98,0.712328767123288,0.547945205479452
4,"core","earned_by_hh_size > 53.6 & HH_size_n > 4.5 & unearned_by_hh_size > 67.7","4+","state","ranger","any_error",36,0.75,0.5575,223.89,0.0556,0.0741,0.0556,36,36,367,"earned income 0.37; unearned income 0.26; shelter deduction 0.16","wrong amount, known item 0.37; wrong include/exclude decision 0.21; unreported source of income 0.12; household composition 0.09",0.446601941747573,0.637602179836512,0.648867313915858,0.607085346215781
5,"core","elderly_disabled_i >= 1 & months_since_cert_n <= 7.5 & rawben_rel_max > 0.999 & unc_rawben_rel_max <= 1","2-3","national","ranger","any_error",80,0.675,0.5455,143.44,0,0,0,6,3,54,"shelter deduction 0.56; medical deduction 0.12; unearned income 0.12","wrong include/exclude decision 0.50; wrong amount, known item 0.30",0.225,0.981481481481482,0.775,0.4625
6,"core","gross_by_hh_size >= 839 & rawben_rel_max >= 1 & unc_rawben_rel_max < 1.01 & utilities < 361","1","national","xgboost","any_error",94,0.6596,0.54,119.13,0,0,0,5,5,62,"shelter deduction 0.63; utility allowance 0.26","wrong include/exclude decision 0.63; wrong amount, known item 0.14",0.319587628865979,1,0.618556701030928,0.536082474226804
7,"core","earned_by_hh_size > 56 & expedited_i <= 0 & gross_by_hh_size <= 669 & unearned_by_hh_size > 1.62","4+","state","ranger","any_error",71,0.662,0.5241,190.31,0.0423,0.0638,0.0423,71,45,693,"earned income 0.40; unearned income 0.26; shelter deduction 0.15","wrong amount, known item 0.37; wrong include/exclude decision 0.21; unreported source of income 0.13; change in circumstances 0.08",0.418989547038328,0.658008658008658,0.626306620209059,0.576623376623377
8,"core","gross_by_hh_size > 279 & shelter_expenses_by_hh_size <= 103 & total_deductions_by_hh_size <= 136","4+","state","ranger","any_error",30,0.7333,0.5212,180.27,0.0333,0.0455,0.0333,30,19,233,"earned income 0.47; unearned income 0.22; other element 0.19","wrong amount, known item 0.37; wrong include/exclude decision 0.16; household composition 0.13; change in circumstances 0.10",0.375,0.592274678111588,0.585106382978723,0.563829787234043
9,"core","gross_by_hh_size < 814 & unc_rawben_rel_max >= 1.01 & unc_rawben_rel_max < 1.02 & unearned_by_hh_size >= 325","1","national","xgboost","any_error",257,0.5875,0.515,91.41,0,0,0,6,6,151,"unearned income 0.74; shelter deduction 0.16","wrong include/exclude decision 0.46; wrong amount, known item 0.22; unreported source of income 0.16",0.52073732718894,1,0.391705069124424,0.688073394495413
10,"core","rawben_rel_max >= 0.893 & total_deductions_by_hh_size >= 16.5 & unearned_by_hh_size >= 866 & utilities < 284","1","national","xgboost","any_error",133,0.594,0.4931,112.47,0.0075,0,0,7,6,79,"shelter deduction 0.42; utility allowance 0.28; medical deduction 0.17","wrong include/exclude decision 0.65; wrong amount, known item 0.15",0.354609929078014,0.987341772151899,0.588652482269504,0.560283687943262
11,"core","HH_size_n >= 3 & shelter_expenses_by_hh_size < 590 & total_deductions_by_hh_size >= 489 & unearned_by_hh_size >= 30","2-3","national","xgboost","any_error",39,0.6667,0.4806,171.79,0,0,0,1,1,26,"dep care or child support deduction 0.28; unearned income 0.26; earned income 0.21; shelter deduction 0.14","wrong include/exclude decision 0.36; wrong amount, known item 0.22; unreported source of income 0.14; other 0.14",0.172413793103448,0.884615384615385,0.637931034482759,0.482758620689655
12,"core","total_deductions_by_hh_size >= 554 & unearned_by_hh_size >= 915 & utilities < 571","2-3","national","xgboost","any_error",59,0.6102,0.4593,110.19,0,0,0,1,1,36,"shelter deduction 0.37; medical deduction 0.29; unearned income 0.19","wrong include/exclude decision 0.53; wrong amount, known item 0.15; unreported source of income 0.14",0.254237288135593,0.944444444444444,0.779661016949153,0.542372881355932
13,"core","medical_deductions >= 229 & rawben_rel_max >= 0.751 & shelter_expenses_by_hh_size < 688","2-3","national","xgboost","any_error",33,0.6364,0.4356,137,0,0,0,2,1,21,"medical deduction 0.53; shelter deduction 0.25","wrong include/exclude decision 0.64; wrong amount, known item 0.14",0.5,0.952380952380952,0.527777777777778,0.75
14,"core","medical_deductions <= 122 & rawben_rel_max > 0.997 & unearned_by_hh_size > 401 & utilities <= 14","1","national","ranger","any_error",141,0.5319,0.4348,89.79,0,0,0,4,3,75,"unearned income 0.39; shelter deduction 0.32; utility allowance 0.24","wrong include/exclude decision 0.61; wrong amount, known item 0.14; unreported source of income 0.11",0.447368421052632,1,0.526315789473684,0.578947368421053
15,"core","earned_by_hh_size >= 125 & earned_by_hh_size < 190 & shelter_expenses_by_hh_size >= 320 & unc_rawben_rel_max >= 1.08","4+","national","xgboost","any_error",66,0.5758,0.4339,177.64,0,0,0,1,1,38,"earned income 0.75; shelter deduction 0.10","unreported source of income 0.39; wrong amount, known item 0.16; wrong include/exclude decision 0.16; change in circumstances 0.14",0.470588235294118,0.973684210526316,0.568627450980392,0.490196078431373
16,"core","earned_by_hh_size >= 589 & earned_by_hh_size < 592 & gross_by_hh_size >= 20 & unc_rawben_rel_max >= 0.0819","1","national","xgboost","any_error",70,0.5714,0.4337,120.87,0,0,0,3,3,40,"earned income 0.61; other element 0.12; shelter deduction 0.10","wrong include/exclude decision 0.24; change in circumstances 0.22; unreported source of income 0.22; wrong amount, known item 0.16",0.26865671641791,0.975,0.388059701492537,0.26865671641791
17,"buffer","gross_by_hh_size > 190 & HH_size_n > 5.5 & utilities > 23","4+","state","ranger","any_error",39,0.6923,0.5061,186.87,0.0256,0.037,0.0256,39,23,636,"earned income 0.41; unearned income 0.18; shelter deduction 0.17","wrong amount, known item 0.33; wrong include/exclude decision 0.22; unreported source of income 0.11; household composition 0.10",0.419753086419753,0.643081761006289,0.636831275720165,0.604102564102564
18,"buffer","earned_by_hh_size > 201 & percent_abawd <= 0.25 & shelter_expenses_by_hh_size > 492 & unearned_by_hh_size <= 8.33","2-3","state","ranger","any_error",41,0.6829,0.5013,173.68,0.0976,0.1429,0.0976,41,40,490,"earned income 0.55; shelter deduction 0.16; other element 0.10","wrong amount, known item 0.33; wrong include/exclude decision 0.21; unreported source of income 0.13; change in circumstances 0.12",0.364788732394366,0.777551020408163,0.563380281690141,0.517531556802244
19,"buffer","rawben_rel_max >= 0.993 & unc_rawben_rel_max < 1.08 & unearned_by_hh_size >= 821","1","state","xgboost","any_error",33,0.697,0.4945,86.36,0,0,0,33,26,429,"shelter deduction 0.43; unearned income 0.26; utility allowance 0.15","wrong include/exclude decision 0.53; wrong amount, known item 0.21; unreported source of income 0.09",0.366894197952218,0.988344988344988,0.571672354948805,0.546689303904924
