"rule","hh","pool","engines","mined_frames","n_flagged_train","precision_train","precision_train_lcb","dollars_per_flag_train","n_flagged_state","n_new_at_rank","rank","role"
"rawben_rel_max >   0.987 & rawben_rel_max <=   0.991 & total_deductions_by_hh_size > 626.000 & utilities <= 382.000","1","national","ranger","any_error",119,0.6639,0.558,115.24,10,10,1,"core"
"months_since_cert_n >   6.50 & shelter_expenses_by_hh_size >  14.50 & unc_rawben_rel_max >   1.93 & utilities <= 302.00","1","national","ranger","any_error",33,0.7576,0.5564,128.33,1,1,2,"core"
"medical_deductions > 148 & total_deductions_by_hh_size > 614 & utilities <= 578","2-3","national","ranger","any_error",35,0.7429,0.5472,150.91,1,1,3,"core"
"medical_deductions > 128.000 & total_deductions_by_hh_size > 627.000 & unc_rawben_rel_max >   0.158 & utilities <= 548.000","2-3","national","ranger","any_error",36,0.7222,0.5287,153.31,2,1,4,"core"
"rawben_rel_max >   0.800 & rawben_rel_max <=   0.991 & shelter_expenses_by_hh_size > 856.000 & utilities <= 276.000","1","national","ranger","any_error",159,0.6101,0.5179,106.44,7,6,5,"core"
"elderly_disabled_i >   0.500 & rawben_rel_max >   0.994 & rawben_rel_max <=   0.997 & total_deductions_by_hh_size > 371.000","2-3","national","ranger","any_error",35,0.7143,0.5178,182.31,1,1,6,"core"
"HH_size_n >   5.500 & shelter_expenses_by_hh_size >  21.400 & shelter_expenses_by_hh_size <= 235.000 & unc_rawben_rel_max <=   0.935","4+","state","ranger","any_error",31,0.7097,0.5008,225.03,31,31,7,"core"
"shelter_expenses_by_hh_size > 602.000 & unc_rawben_rel_max >   0.994 & unc_rawben_rel_max <=   0.997","2-3","national","ranger","any_error",30,0.7,0.4877,203.53,2,1,8,"core"
"cat_elig <=   1.500 & elderly_disabled_i <=   0.500 & rawben_rel_max <=   0.906 & shelter_expenses_by_hh_size > 489.000","2-3","state","ranger","any_error",34,0.6765,0.4772,141.38,34,34,9,"core"
"elderly_disabled_i >= 0.500 & months_since_cert_n < 7.500 & rawben_rel_max >= 0.993 & rawben_rel_max < 0.996","2-3","national","xgboost","any_error",61,0.623,0.4742,118.62,2,1,10,"core"
"cat_elig <=  1.500 & rawben_rel_max <=  0.791 & total_deductions_by_hh_size >  4.750 & utilities <= 20.500","2-3","state","ranger","any_error",36,0.6667,0.4731,119.42,36,35,11,"core"
"count_divisible_by_100 <=   0.5 & medical_deductions > 140.0 & total_deductions_by_hh_size > 502.0 & utilities <= 474.0","2-3","national","ranger","any_error",45,0.6444,0.4714,109.18,2,1,12,"core"
"medical_deductions > 608.00 & rawben_rel_max >   0.74 & unc_rawben_rel_max <=   1.00","1","national","ranger","any_error",35,0.6571,0.4612,145.17,1,1,13,"core"
"shelter_expenses_by_hh_size > 632.000 & total_deductions_by_hh_size > 357.000 & unc_rawben_rel_max <=   0.989","2-3","state","ranger","any_error",30,0.6667,0.4552,132.43,30,15,14,"core"
"cat_elig <   1.500 & rawben_rel_max <   0.731 & shelter_expenses_by_hh_size < 150.000","4+","state","xgboost","any_error",32,0.6562,0.4516,165.81,32,25,15,"core"
"HH_size_n >   2.5 & shelter_expenses_by_hh_size > 488.0","2-3","state","ranger","any_error",34,0.6471,0.4487,139.09,34,19,16,"core"
"expedited_i <=   0.5 & HH_size_n >   5.5 & shelter_expenses_by_hh_size > 109.0 & total_deductions_by_hh_size <= 261.0","4+","state","ranger","any_error",31,0.6452,0.4379,213.71,31,16,17,"core"
"rawben_rel_max <   0.659 & total_deductions_by_hh_size >= 139.000 & utilities >= 344.000","4+","state","xgboost","any_error",31,0.6452,0.4379,161.77,31,23,18,"core"
"elderly_disabled_i >=   0.50 & shelter_expenses_by_hh_size < 676.00 & unc_rawben_rel_max >=   1.81 & utilities < 583.00","1","national","xgboost","any_error",96,0.5521,0.4344,95.52,5,5,19,"core"
"HH_size_n >  2.500 & rawben_rel_max <=  0.975 & shelter_expenses_by_hh_size <= 92.000 & utilities <= 21.000","2-3","state","ranger","any_error",35,0.6286,0.4337,131.86,35,21,20,"core"
"cat_elig >   0.50 & shelter_expenses_by_hh_size <= 679.00 & total_deductions_by_hh_size > 436.00 & unc_rawben_rel_max >   1.68","2-3","national","ranger","any_error",70,0.5714,0.4337,169.79,1,1,21,"core"
"homeless <=   0.50 & total_deductions_by_hh_size <= 842.00 & unc_rawben_rel_max >   1.96 & utilities <= 648.00","1","national","ranger","any_error",105,0.5429,0.4305,82.49,1,1,22,"core"
"cat_elig <=   1.500 & HH_size_n >   2.500 & percent_abawd <=   0.333 & shelter_expenses_by_hh_size > 367.000","2-3","state","ranger","any_error",45,0.6,0.4284,147.71,45,25,23,"core"
