"rank","role","rule","hh","pool","engines","mined_frames","n_flagged_train","precision_train","precision_train_lcb","dollars_per_flag_train","mm_share_flags","mm_share_errors","mm_inflation","n_flagged_state","n_new_at_rank","n_error_cases_national","element_groups_to_75","nature_groups_to_75","found_in_case_record","share_overissuance","timing_at_certification","cause_agency"
1,"core","rawben_rel_max > 0.999 & total_deductions_by_hh_size > 589 & unc_rawben_rel_max > 0.156 & unc_rawben_rel_max <= 1","2-3","national","ranger","any_error",32,0.875,0.6838,251.75,0,0,0,1,1,28,"shelter deduction 0.45; dep care or child support deduction 0.20; medical deduction 0.20","wrong amount, known item 0.42; wrong include/exclude decision 0.35",0.4,1,0.775,0.6
2,"core","bbce_state_i >= 1 & gross_by_hh_size > 531 & unc_rawben_rel_max > 0.999 & unc_rawben_rel_max <= 1","2-3","national","ranger","any_error",49,0.7755,0.6137,209.59,0,0,0,2,1,38,"shelter deduction 0.49; medical deduction 0.19; dep care or child support deduction 0.17","wrong amount, known item 0.42; wrong include/exclude decision 0.40",0.339622641509434,1,0.792452830188679,0.60377358490566
3,"core","total_deductions_by_hh_size <= 293 & unc_rawben_rel_max > 1 & unc_rawben_rel_max <= 1.01 & unearned_by_hh_size > 334","1","national","ranger","any_error",70,0.7286,0.5919,145.9,0,0,0,1,1,51,"unearned income 0.80","wrong include/exclude decision 0.58; unreported source of income 0.23",0.454545454545455,0.980392156862745,0.545454545454545,0.606060606060606
4,"core","gross_by_hh_size < 814 & unc_rawben_rel_max >= 1.01 & unc_rawben_rel_max < 1.02 & unearned_by_hh_size >= 325","1","national","xgboost","any_error",257,0.5875,0.515,91.41,0,0,0,3,3,151,"unearned income 0.74; shelter deduction 0.16","wrong include/exclude decision 0.46; wrong amount, known item 0.22; unreported source of income 0.16",0.52073732718894,1,0.391705069124424,0.688073394495413
5,"core","rawben_rel_max >= 0.893 & total_deductions_by_hh_size >= 16.5 & unearned_by_hh_size >= 866 & utilities < 284","1","national","xgboost","any_error",133,0.594,0.4931,112.47,0.0075,0,0,2,2,79,"shelter deduction 0.42; utility allowance 0.28; medical deduction 0.17","wrong include/exclude decision 0.65; wrong amount, known item 0.15",0.354609929078014,0.987341772151899,0.588652482269504,0.560283687943262
6,"core","earned_by_hh_size >= 540 & months_since_cert_n >= 5 & unc_rawben_rel_max >= 1.4 & utilities < 580","1","national","xgboost","any_error",44,0.6591,0.4839,146.25,0,0,0,2,2,29,"earned income 0.60; other element 0.15","change in circumstances 0.31; unreported source of income 0.21; wrong include/exclude decision 0.17; wrong amount, known item 0.12",0.25,1,0.270833333333333,0.354166666666667
7,"core","children_i <= 0 & unc_rawben_rel_max > 0.999 & unc_rawben_rel_max <= 1 & unearned_by_hh_size > 87.2","2-3","national","ranger","any_error",67,0.6119,0.4701,123.19,0,0,0,2,1,41,"shelter deduction 0.73; medical deduction 0.18","wrong include/exclude decision 0.49; wrong amount, known item 0.41",0.36734693877551,1,0.73469387755102,0.612244897959184
8,"core","medical_deductions > 138 & shelter_expenses_by_hh_size > 904 & utilities <= 786","2-3","national","ranger","any_error",38,0.6579,0.4696,99.58,0,0,0,2,2,25,"shelter deduction 0.51; medical deduction 0.23; unearned income 0.20","wrong include/exclude decision 0.57; wrong amount, known item 0.29",0.342857142857143,0.92,0.628571428571429,0.571428571428571
9,"core","earned_by_hh_size >= 772 & unc_rawben_rel_max >= 1.4 & utilities < 580","1","national","xgboost","any_error",30,0.6667,0.4552,165.5,0,0,0,2,1,20,"earned income 0.56; other element 0.15; shelter deduction 0.15","unreported source of income 0.32; wrong include/exclude decision 0.21; change in circumstances 0.18; limits and thresholds 0.12",0.264705882352941,1,0.382352941176471,0.323529411764706
10,"core","earned_by_hh_size > 253 & expedited_i <= 0 & months_since_cert_n <= 3.5 & shelter_expenses_by_hh_size <= 432","4+","state","ranger","any_error",31,0.6452,0.4379,188.87,0.0323,0.05,0.0323,31,31,689,"earned income 0.44; shelter deduction 0.19; unearned income 0.15","wrong amount, known item 0.35; wrong include/exclude decision 0.25; unreported source of income 0.10; method or computation 0.08",0.408023483365949,0.62699564586357,0.794520547945205,0.6142578125
11,"core","months_since_cert_n > 3.5 & total_deductions_by_hh_size > 301 & total_deductions_by_hh_size <= 499 & utilities <= 528","2-3","state","ranger","any_error",33,0.6364,0.4356,156.42,0.0303,0.0476,0.0303,33,33,329,"earned income 0.39; shelter deduction 0.22; unearned income 0.14; other element 0.12","wrong include/exclude decision 0.30; wrong amount, known item 0.26; unreported source of income 0.13; change in circumstances 0.11",0.314671814671815,0.848024316109423,0.482625482625483,0.428571428571429
12,"core","earned_by_hh_size >= 589 & earned_by_hh_size < 592 & gross_by_hh_size >= 20 & unc_rawben_rel_max >= 0.0819","1","national","xgboost","any_error",70,0.5714,0.4337,120.87,0,0,0,1,1,40,"earned income 0.61; other element 0.12; shelter deduction 0.10","wrong include/exclude decision 0.24; change in circumstances 0.22; unreported source of income 0.22; wrong amount, known item 0.16",0.26865671641791,0.975,0.388059701492537,0.26865671641791
13,"core","earned_by_hh_size >= 540 & months_since_cert_n >= 6 & unc_rawben_rel_max >= 1.32","1","national","xgboost","any_error",217,0.5115,0.4333,114.67,0,0,0,4,2,111,"earned income 0.64; other element 0.16","unreported source of income 0.27; change in circumstances 0.25; wrong include/exclude decision 0.15; wrong amount, known item 0.12",0.247191011235955,0.990990990990991,0.213483146067416,0.279329608938547
14,"buffer","rawben_rel_max >= 1 & unc_rawben_rel_max < 1.03 & unearned_by_hh_size >= 222 & utilities < 452","1","national","xgboost","any_error",744,0.4758,0.4335,78.29,0,0,0,10,7,354,"unearned income 0.47; shelter deduction 0.32","wrong include/exclude decision 0.53; wrong amount, known item 0.18; unreported source of income 0.12",0.384146341463415,0.994350282485876,0.534552845528455,0.596348884381339
15,"buffer","bbce_state_i >= 1 & medical_deductions > 734 & shelter_expenses_by_hh_size > 18.5 & unc_rawben_rel_max <= 1.28","1","national","ranger","any_error",37,0.6216,0.4322,119.46,0,0,0,1,1,23,"medical deduction 0.63; shelter deduction 0.20","wrong include/exclude decision 0.60; wrong amount, known item 0.23",0.6,0.869565217391304,0.657142857142857,0.8
