"rule","hh","pool","engines","mined_frames","n_flagged_train","precision_train","precision_train_lcb","n_flagged_state","n_new_at_rank","rank","role"
"medical_deductions > 148 & total_deductions_by_hh_size > 614 & utilities <= 578","2-3","national","ranger","any_error",35,0.7429,0.5472,1,1,1,"core"
"rawben_rel_max >=   0.556 & rawben_rel_max <   0.992 & shelter_expenses_by_hh_size >= 960.000 & utilities <  61.000","1","national","xgboost","any_error",137,0.6423,0.5433,1,1,2,"core"
"medical_deductions > 128.000 & total_deductions_by_hh_size > 627.000 & unc_rawben_rel_max >   0.158 & utilities <= 548.000","2-3","national","ranger","any_error",36,0.7222,0.5287,1,1,3,"core"
"expedited_i >   0.500 & months_since_cert_n <=   4.500 & rawben_rel_max <=   0.998 & total_deductions_by_hh_size > 987.000","1","national","ranger","any_error",31,0.7097,0.5008,2,2,4,"core"
"rawben_rel_max >=   0.988 & rawben_rel_max <   0.992 & total_deductions_by_hh_size >= 589.000 & utilities < 452.000","1","national","xgboost","any_error",204,0.5735,0.4921,1,1,5,"core"
"medical_deductions >= 140.000 & rawben_rel_max >=   0.134 & total_deductions_by_hh_size >= 484.000 & utilities < 577.000","2-3","national","xgboost","any_error",73,0.6027,0.4669,2,1,6,"core"
"medical_deductions > 608.00 & rawben_rel_max >   0.74 & unc_rawben_rel_max <=   1.00","1","national","ranger","any_error",35,0.6571,0.4612,2,1,7,"core"
"rawben_rel_max >    0.987 & shelter_expenses_by_hh_size > 1660.000 & unc_rawben_rel_max <=    0.998","1","national","ranger","any_error",52,0.6154,0.4548,3,3,8,"core"
"children_i <=   0.5 & shelter_expenses_by_hh_size <= 679.0 & total_deductions_by_hh_size > 615.0","2-3","national","ranger","any_error",36,0.6389,0.4462,1,1,9,"core"
"percent_abawd <=    0.500 & rawben_rel_max <=    0.998 & shelter_expenses_by_hh_size > 1650.000 & unc_rawben_rel_max >    0.987","1","national","ranger","any_error",54,0.5926,0.4356,5,2,10,"core"
"cat_elig >   0.50 & shelter_expenses_by_hh_size <= 679.00 & total_deductions_by_hh_size > 436.00 & unc_rawben_rel_max >   1.68","2-3","national","ranger","any_error",70,0.5714,0.4337,4,3,11,"core"
"total_deductions_by_hh_size > 503.000 & unc_rawben_rel_max >   0.379 & unc_rawben_rel_max <=   0.991 & utilities <=   8.000","1","national","ranger","any_error",296,0.4932,0.4264,5,3,12,"core"
"months_since_cert_n >=  10.000 & total_deductions_by_hh_size >= 835.000 & unc_rawben_rel_max >=  -0.708","2-3","national","xgboost","any_error",30,0.6333,0.4235,1,1,13,"core"
"cat_elig <=   1.5 & HH_size_n >   4.5 & shelter_expenses_by_hh_size <= 263.0 & total_deductions_by_hh_size >  61.5","4+","state","ranger","any_error",30,0.6333,0.4235,30,30,14,"core"
"shelter_expenses_by_hh_size >  87.4 & total_deductions_by_hh_size >  35.6 & total_deductions_by_hh_size <= 182.0 & utilities <= 468.0","4+","state","ranger","any_error",32,0.625,0.4219,32,22,15,"core"
"medical_deductions <= 144.00 & shelter_expenses_by_hh_size >   5.50 & unc_rawben_rel_max >   1.95 & utilities <= 294.00","1","national","ranger","any_error",64,0.5625,0.419,2,2,16,"core"
"children_i <=    0.500 & rawben_rel_max >    0.987 & rawben_rel_max <=    0.991 & shelter_expenses_by_hh_size > 1370.000","1","national","ranger","any_error",114,0.5263,0.4188,6,1,17,"core"
"medical_deductions >=   5.000 & medical_deductions <   7.000 & rawben_rel_max <   0.753 & utilities >= 347.000","1","national","xgboost","any_error",40,0.6,0.4186,1,1,18,"core"
"count_divisible_by_100 <= 0.500 & HH_size_n <= 4.500 & rawben_rel_max > 0.555 & rawben_rel_max <= 0.998","4+","state","ranger","any_error",40,0.6,0.4186,40,33,19,"buffer"
"total_deductions_by_hh_size >=  66.2 & total_deductions_by_hh_size < 183.0 & utilities < 505.0","4+","state","xgboost","any_error",40,0.6,0.4186,40,6,20,"buffer"
"cat_elig <=  2.500 & months_since_cert_n <=  5.500 & rawben_rel_max <=  0.847 & total_deductions_by_hh_size > 69.300","4+","state","ranger","any_error",56,0.5714,0.4181,56,27,21,"buffer"
"elderly_disabled_i >   0.5 & medical_deductions <= 116.0 & unc_rawben_rel_max >   1.5 & utilities <=  14.5","1","national","ranger","any_error",110,0.5273,0.4179,5,3,22,"buffer"
"months_since_cert_n <=   5.500 & shelter_expenses_by_hh_size > 114.000 & unc_rawben_rel_max <=   0.824 & utilities > 468.000","4+","state","ranger","any_error",31,0.6129,0.4076,31,3,23,"buffer"
"married <=  0.500 & months_since_cert_n <=  5.500 & total_deductions_by_hh_size > 58.500 & unc_rawben_rel_max <=  0.947","4+","state","ranger","any_error",43,0.5814,0.4071,43,4,24,"buffer"
"months_since_cert_n >=  11 & total_deductions_by_hh_size >= 232 & total_deductions_by_hh_size < 261","4+","national","xgboost","any_error",43,0.5814,0.4071,2,1,25,"buffer"
"rawben_rel_max >=   0.568 & rawben_rel_max <   0.960 & shelter_expenses_by_hh_size >= 108.000 & total_deductions_by_hh_size < 203.000","4+","state","xgboost","any_error",35,0.6,0.4069,35,6,26,"buffer"
"homeless <=  0.500 & months_since_cert_n <=  5.500 & rawben_rel_max <=  0.888 & total_deductions_by_hh_size > 68.300","4+","state","ranger","any_error",64,0.5469,0.4042,64,1,27,"buffer"
