"rank","role","rule","hh","pool","engines","mined_frames","n_flagged_train","precision_train","precision_train_lcb","dollars_per_flag_train","mm_share_flags","mm_share_errors","mm_inflation","n_flagged_state","n_new_at_rank","n_error_cases_national","element_groups_to_75","nature_groups_to_75","found_in_case_record","share_overissuance","timing_at_certification","cause_agency"
1,"core","total_deductions_by_hh_size <= 293 & unc_rawben_rel_max > 1 & unc_rawben_rel_max <= 1.01 & unearned_by_hh_size > 334","1","national","ranger","any_error",70,0.7286,0.5919,145.9,0,0,0,5,5,51,"unearned income 0.80","wrong include/exclude decision 0.58; unreported source of income 0.23",0.454545454545455,0.980392156862745,0.545454545454545,0.606060606060606
2,"core","gross_by_hh_size >= 839 & rawben_rel_max >= 1 & unc_rawben_rel_max < 1.01 & utilities < 361","1","national","xgboost","any_error",94,0.6596,0.54,119.13,0,0,0,1,1,62,"shelter deduction 0.63; utility allowance 0.26","wrong include/exclude decision 0.63; wrong amount, known item 0.14",0.319587628865979,1,0.618556701030928,0.536082474226804
3,"core","gross_by_hh_size < 814 & unc_rawben_rel_max >= 1.01 & unc_rawben_rel_max < 1.02 & unearned_by_hh_size >= 325","1","national","xgboost","any_error",257,0.5875,0.515,91.41,0,0,0,5,5,151,"unearned income 0.74; shelter deduction 0.16","wrong include/exclude decision 0.46; wrong amount, known item 0.22; unreported source of income 0.16",0.52073732718894,1,0.391705069124424,0.688073394495413
4,"core","gross_by_hh_size > 287 & married <= 0 & rawben_rel_max > 0.591 & shelter_expenses_by_hh_size <= 118","4+","state","ranger","any_error",31,0.7097,0.5008,116.23,0.0323,0.0455,0.0323,31,31,92,"earned income 0.49; unearned income 0.19; other element 0.15","wrong amount, known item 0.33; wrong include/exclude decision 0.21; change in circumstances 0.13; method or computation 0.09",0.378378378378378,0.58695652173913,0.641891891891892,0.567567567567568
5,"core","earned_by_hh_size > 0.1 & shelter_expenses_by_hh_size <= 104 & unc_rawben_rel_max > 0.534 & utilities <= 171","4+","state","ranger","any_error",32,0.6562,0.4516,131.25,0,0,0,32,21,143,"earned income 0.56; other element 0.15; unearned income 0.14","wrong amount, known item 0.29; wrong include/exclude decision 0.22; unreported source of income 0.17; change in circumstances 0.10",0.33175355450237,0.643356643356643,0.578199052132701,0.563981042654028
6,"core","medical_deductions <= 122 & rawben_rel_max > 0.997 & unearned_by_hh_size > 401 & utilities <= 14","1","national","ranger","any_error",141,0.5319,0.4348,89.79,0,0,0,2,1,75,"unearned income 0.39; shelter deduction 0.32; utility allowance 0.24","wrong include/exclude decision 0.61; wrong amount, known item 0.14; unreported source of income 0.11",0.447368421052632,1,0.526315789473684,0.578947368421053
7,"core","earned_by_hh_size >= 535 & shelter_expenses_by_hh_size < 925 & unc_rawben_rel_max >= 1.4","1","national","xgboost","any_error",61,0.5738,0.4265,131.8,0,0,0,1,1,35,"earned income 0.63; other element 0.13","change in circumstances 0.24; unreported source of income 0.22; wrong amount, known item 0.19; wrong include/exclude decision 0.15",0.39622641509434,1,0.566037735849057,0.407407407407407
8,"core","elderly_disabled_i >= 1 & rawben_rel_max >= 0.916 & unc_rawben_rel_max < 1.01 & utilities < 318","1","national","xgboost","any_error",375,0.4853,0.4259,83.29,0.0267,0.0165,0.008,27,21,182,"shelter deduction 0.35; unearned income 0.34; utility allowance 0.21","wrong include/exclude decision 0.62; wrong amount, known item 0.13; unreported source of income 0.10",0.363984674329502,0.983516483516483,0.547892720306513,0.544061302681992
9,"core","HH_size_n > 4.5 & months_since_cert_n > 1.5 & rawben_rel_max <= 0.894 & unearned_by_hh_size <= 3.5","4+","state","ranger","any_error",30,0.6333,0.4235,107.87,0,0,0,30,19,513,"earned income 0.51; shelter deduction 0.19; other element 0.12","wrong amount, known item 0.32; wrong include/exclude decision 0.23; change in circumstances 0.11; unreported source of income 0.10",0.416893732970027,0.651072124756335,0.580381471389646,0.594301221166893
10,"core","elderly_disabled_i >= 1 & rawben_rel_max >= 0.773 & shelter_expenses_by_hh_size >= 634 & utilities < 27","1","national","xgboost","any_error",226,0.4956,0.4192,84.2,0.0088,0,0,3,3,112,"shelter deduction 0.43; utility allowance 0.31; unearned income 0.12","wrong include/exclude decision 0.62; wrong amount, known item 0.14",0.290816326530612,0.973214285714286,0.586734693877551,0.464285714285714
11,"core","rawben_rel_max <= 0.783 & shelter_expenses_by_hh_size <= 202 & total_deductions_by_hh_size <= 286 & unearned_by_hh_size <= 61.8","4+","state","ranger","any_error",71,0.5493,0.4134,87.08,0,0,0,71,40,379,"earned income 0.52; other element 0.15; shelter deduction 0.11","wrong amount, known item 0.32; wrong include/exclude decision 0.22; change in circumstances 0.12; household composition 0.11",0.404634581105169,0.604221635883905,0.629233511586453,0.588652482269504
12,"core","earned_by_hh_size >= 65 & unc_rawben_rel_max >= 1.08 & unc_rawben_rel_max < 1.09","4+","national","xgboost","any_error",137,0.5109,0.4131,163.09,0,0,0,2,2,70,"earned income 0.77","unreported source of income 0.31; wrong include/exclude decision 0.22; wrong amount, known item 0.20; change in circumstances 0.13",0.440860215053763,0.985714285714286,0.634408602150538,0.526881720430108
13,"core","shelter_expenses_by_hh_size > 378 & unc_rawben_rel_max > 0.999 & unc_rawben_rel_max <= 1","2-3","national","ranger","any_error",127,0.5118,0.4103,100.87,0,0,0,2,2,65,"shelter deduction 0.56; medical deduction 0.11; unearned income 0.11","wrong include/exclude decision 0.46; wrong amount, known item 0.37",0.311827956989247,0.969230769230769,0.78494623655914,0.537634408602151
14,"core","earned_by_hh_size >= 528 & unc_rawben_rel_max >= 1.4 & utilities < 379","1","national","xgboost","any_error",33,0.6061,0.4071,141.39,0,0,0,2,1,20,"earned income 0.66; other element 0.14","change in circumstances 0.28; unreported source of income 0.24; wrong amount, known item 0.17; other 0.14",0.413793103448276,1,0.448275862068966,0.482758620689655
15,"core","earned_by_hh_size < 658 & gross_by_hh_size >= 181 & months_since_cert_n >= 4 & unearned_by_hh_size < 263","2-3","state","xgboost","any_error",41,0.5854,0.4069,80.41,0,0,0,41,41,725,"earned income 0.50; shelter deduction 0.15; unearned income 0.14","wrong amount, known item 0.27; wrong include/exclude decision 0.22; change in circumstances 0.15; unreported source of income 0.12",0.4,0.718620689655172,0.492957746478873,0.545284780578898
16,"core","earned_by_hh_size >= 580 & earned_by_hh_size < 630 & unc_rawben_rel_max >= 1.32","1","national","xgboost","any_error",192,0.4844,0.4021,102.19,0,0,0,1,1,93,"earned income 0.63; other element 0.16","unreported source of income 0.24; change in circumstances 0.22; wrong amount, known item 0.17; wrong include/exclude decision 0.17",0.246666666666667,0.978494623655914,0.366666666666667,0.306666666666667
17,"core","earned_by_hh_size > 693 & shelter_expenses_by_hh_size <= 476 & total_deductions_by_hh_size > 441","4+","national","ranger","any_error",50,0.56,0.3989,124.56,0,0,0,1,1,28,"dep care or child support deduction 0.38; earned income 0.31; shelter deduction 0.17","wrong amount, known item 0.50; wrong include/exclude decision 0.29",0.288461538461538,0.785714285714286,0.730769230769231,0.403846153846154
18,"core","medical_deductions >= 326 & rawben_rel_max >= 0.581","2-3","national","xgboost","any_error",46,0.5652,0.3974,122.3,0,0,0,1,1,26,"medical deduction 0.48; shelter deduction 0.24; unearned income 0.20","wrong include/exclude decision 0.60; wrong amount, known item 0.16",0.5,0.961538461538462,0.6,0.72
19,"core","gross_by_hh_size > 964 & unc_rawben_rel_max > 0.612 & unearned_by_hh_size > 175 & utilities <= 29.5","1","national","ranger","any_error",147,0.4898,0.396,84.54,0.0068,0,0,3,3,72,"shelter deduction 0.39; utility allowance 0.29; medical deduction 0.17","wrong include/exclude decision 0.63; wrong amount, known item 0.16",0.302325581395349,0.916666666666667,0.581395348837209,0.534883720930233
20,"core","total_deductions_by_hh_size > 659 & unc_rawben_rel_max > 0.42 & unc_rawben_rel_max <= 1","2-3","national","ranger","any_error",224,0.4598,0.3842,98.68,0.0045,0.0097,0.0045,2,2,103,"shelter deduction 0.27; earned income 0.21; dep care or child support deduction 0.18; unearned income 0.14","wrong include/exclude decision 0.40; wrong amount, known item 0.34; unreported source of income 0.09",0.337662337662338,0.883495145631068,0.642857142857143,0.551948051948052
21,"core","gross_by_hh_size >= 116 & medical_deductions >= 183 & medical_deductions < 282 & rawben_rel_max >= 0.42","2-3","national","xgboost","any_error",48,0.5417,0.3788,71.29,0.0208,0.0385,0.0208,1,1,26,"medical deduction 0.38; shelter deduction 0.30; unearned income 0.25","wrong include/exclude decision 0.55; wrong amount, known item 0.28",0.475,0.884615384615385,0.475,0.575
