"rule","hh","source","n_flagged_train","precision_train","precision_train_lcb","rank","role"
"rawben_rel_max >   0.987 & rawben_rel_max <=   0.991 & total_deductions_by_hh_size > 626.000 & utilities <= 382.000","1","national",119,0.6639,0.558,1,"core"
"medical_deductions > 148 & total_deductions_by_hh_size > 614 & utilities <= 578","2-3","national",35,0.7429,0.5472,2,"core"
"rawben_rel_max >=   0.556 & rawben_rel_max <   0.992 & shelter_expenses_by_hh_size >= 960.000 & utilities <  61.000","1","national",137,0.6423,0.5433,3,"core"
"rawben_rel_max >   0.800 & rawben_rel_max <=   0.991 & shelter_expenses_by_hh_size > 856.000 & utilities <= 276.000","1","national",159,0.6101,0.5179,4,"core"
"expedited_i >   0.500 & months_since_cert_n <=   4.500 & rawben_rel_max <=   0.998 & total_deductions_by_hh_size > 987.000","1","national",31,0.7097,0.5008,5,"core"
"rawben_rel_max >=   0.988 & rawben_rel_max <   0.992 & total_deductions_by_hh_size >= 589.000 & utilities < 452.000","1","national",204,0.5735,0.4921,6,"core"
"medical_deductions >= 365.000 & rawben_rel_max >=   0.688 & total_deductions_by_hh_size >=   5.670","2-3","national",32,0.6875,0.482,7,"core"
"elderly_disabled_i >=   1.000 & rawben_rel_max >=   0.988 & rawben_rel_max <   1.000 & utilities < 360.000","1","national",144,0.5694,0.4727,8,"core"
"count_divisible_by_100 <=   0.5 & medical_deductions > 140.0 & total_deductions_by_hh_size > 502.0 & utilities <= 474.0","2-3","national",45,0.6444,0.4714,9,"core"
"medical_deductions > 608.00 & rawben_rel_max >   0.74 & unc_rawben_rel_max <=   1.00","1","national",35,0.6571,0.4612,10,"core"
"medical_deductions >= 195.000 & unc_rawben_rel_max >=   0.671 & utilities < 601.000","2-3","national",44,0.6136,0.4396,11,"core"
"elderly_disabled_i > 0.500 & unc_rawben_rel_max > 0.993 & unc_rawben_rel_max <= 0.995","2-3","national",72,0.5694,0.4336,12,"core"
"homeless <=   0.50 & total_deductions_by_hh_size <= 842.00 & unc_rawben_rel_max >   1.96 & utilities <= 648.00","1","national",105,0.5429,0.4305,13,"core"
"shelter_expenses_by_hh_size <= 455.0 & total_deductions_by_hh_size > 442.0 & unc_rawben_rel_max <=   0.8","4+","national",41,0.6098,0.4299,14,"core"
"total_deductions_by_hh_size > 503.000 & unc_rawben_rel_max >   0.379 & unc_rawben_rel_max <=   0.991 & utilities <=   8.000","1","national",296,0.4932,0.4264,15,"core"
"cat_elig >   0.500 & medical_deductions > 602.000 & rawben_rel_max <=   0.991 & shelter_expenses_by_hh_size >   5.500","1","national",51,0.5686,0.4085,16,"core"
"medical_deductions >= 314.000 & rawben_rel_max >=   0.534 & total_deductions_by_hh_size >= 388.000 & utilities < 735.000","2-3","national",37,0.5946,0.4068,17,"core"
"elderly_disabled_i >=   1.00 & rawben_rel_max >=   0.86 & shelter_expenses_by_hh_size < 666.00 & total_deductions_by_hh_size >= 606.00","2-3","national",40,0.575,0.3952,18,"core"
"HH_size_n <=  11.500 & months_since_cert_n >   2.500 & rawben_rel_max <=   0.998 & total_deductions_by_hh_size > 490.000","4+","national",36,0.5833,0.3939,19,"core"
"medical_deductions >= 201.00 & months_since_cert_n <  18.00 & rawben_rel_max >=   0.32 & utilities < 462.00","2-3","national",57,0.5439,0.3934,20,"core"
"elderly_disabled_i > 0.500 & rawben_rel_max > 0.996 & rawben_rel_max <= 0.998","4+","national",34,0.5882,0.3934,21,"core"
"expedited_i <=   0.500 & months_since_cert_n >   6.500 & shelter_expenses_by_hh_size > 184.000 & unc_rawben_rel_max <=   0.971","4+","state",30,0.6,0.3926,22,"core"
"rawben_rel_max >   0.9980 & shelter_expenses_by_hh_size <= 676.0000 & total_deductions_by_hh_size >   0.0833 & unc_rawben_rel_max >   1.6800","2-3","national",77,0.5195,0.3902,23,"core"
"medical_deductions > 610.000 & percent_abawd <=   0.250 & unc_rawben_rel_max >   0.292 & unc_rawben_rel_max <=   0.996","1","national",64,0.5312,0.3895,24,"core"
"cat_elig <=   1.5 & medical_deductions > 104.0 & total_deductions_by_hh_size > 502.0 & utilities <= 696.0","2-3","national",95,0.5053,0.3889,25,"core"
"rawben_rel_max <=   0.991 & total_deductions_by_hh_size > 646.000 & utilities <=   5.000","1","national",209,0.4641,0.3858,26,"core"
"cat_elig <=  1.50 & months_since_cert_n >  6.50 & shelter_expenses_by_hh_size > 43.00 & unc_rawben_rel_max <=  0.85","4+","state",41,0.561,0.3843,27,"core"
"cat_elig >   0.5 & medical_deductions > 176.0 & total_deductions_by_hh_size > 339.0 & utilities <= 428.0","2-3","national",39,0.5641,0.383,28,"core"
"cat_elig < 2.00 & months_since_cert_n >= 4.00 & unc_rawben_rel_max >= 1.76","2-3","national",65,0.5231,0.3828,29,"core"
"shelter_expenses_by_hh_size < 488 & total_deductions_by_hh_size >= 320 & total_deductions_by_hh_size < 349 & utilities >= 391","4+","national",72,0.5139,0.3808,30,"core"
"count_divisible_by_100 >   0.50 & months_since_cert_n <=   5.50 & shelter_expenses_by_hh_size > 281.00 & unc_rawben_rel_max >   1.47","2-3","national",35,0.5714,0.3805,31,"core"
"HH_size_n >=   5 & shelter_expenses_by_hh_size < 342 & total_deductions_by_hh_size >= 320","4+","national",50,0.54,0.3803,32,"core"
"months_since_cert_n >   6.50 & shelter_expenses_by_hh_size > 147.00 & shelter_expenses_by_hh_size <= 321.00 & unc_rawben_rel_max <=   0.89","4+","state",33,0.5758,0.3793,33,"core"
"rawben_rel_max >=   0.988 & rawben_rel_max <   0.992 & total_deductions_by_hh_size >= 630.000 & utilities < 800.000","1","national",464,0.4267,0.3745,34,"core"
"medical_deductions >= 569.000 & rawben_rel_max >=   0.284 & shelter_expenses_by_hh_size < 862.000 & utilities < 965.000","2-3","national",38,0.5526,0.3704,35,"core"
"rawben_rel_max >=   0.386 & rawben_rel_max <   0.893 & total_deductions_by_hh_size >= 653.000 & utilities < 487.000","2-3","national",58,0.5172,0.3698,36,"core"
"elderly_disabled_i >=   1.000 & rawben_rel_max >=   0.943 & total_deductions_by_hh_size >= 272.000 & utilities < 277.000","1","national",364,0.4286,0.3697,37,"buffer"
"rawben_rel_max <   0.992 & total_deductions_by_hh_size >= 646.000 & utilities < 277.000","1","national",345,0.429,0.3686,38,"buffer"
"medical_deductions >= 602.000 & rawben_rel_max >=   0.828 & unc_rawben_rel_max <   1.120","1","national",36,0.5556,0.3685,39,"buffer"
"months_since_cert_n >=   16.00 & shelter_expenses_by_hh_size < 1340.00 & unc_rawben_rel_max >=    1.55 & utilities <  483.00","1","national",131,0.4656,0.3677,40,"buffer"
"cat_elig <= 1.50 & homeless <= 0.50 & months_since_cert_n > 6.50 & rawben_rel_max <= 0.85","4+","state",43,0.5349,0.3642,41,"buffer"
"medical_deductions <=   0.50 & total_deductions_by_hh_size <= 942.00 & unc_rawben_rel_max >   1.96 & utilities <= 793.00","1","national",224,0.4375,0.3628,42,"buffer"
"HH_size_n >   2.50 & shelter_expenses_by_hh_size <= 548.00 & unc_rawben_rel_max >   1.51","2-3","national",30,0.5667,0.3625,43,"buffer"
"months_since_cert_n >=   3.0 & shelter_expenses_by_hh_size >=  12.5 & shelter_expenses_by_hh_size < 610.0 & total_deductions_by_hh_size >= 458.0","4+","national",57,0.5088,0.3608,44,"buffer"
