"rule","hh","pool","engines","mined_frames","n_flagged_train","precision_train","precision_train_lcb","dollars_per_flag_train","n_flagged_state","n_new_at_rank","rank","role"
"rawben_rel_max >   0.987 & rawben_rel_max <=   0.991 & total_deductions_by_hh_size > 626.000 & utilities <= 382.000","1","national","ranger","any_error",119,0.6639,0.558,115.24,2,2,1,"core"
"medical_deductions > 148 & total_deductions_by_hh_size > 614 & utilities <= 578","2-3","national","ranger","any_error",35,0.7429,0.5472,150.91,2,2,2,"core"
"rawben_rel_max >   0.800 & rawben_rel_max <=   0.991 & shelter_expenses_by_hh_size > 856.000 & utilities <= 276.000","1","national","ranger","any_error",159,0.6101,0.5179,106.44,6,4,3,"core"
"expedited_i >   0.500 & months_since_cert_n <=   4.500 & rawben_rel_max <=   0.998 & total_deductions_by_hh_size > 987.000","1","national","ranger","any_error",31,0.7097,0.5008,124.16,1,1,4,"core"
"elderly_disabled_i >= 0.500 & months_since_cert_n < 7.500 & rawben_rel_max >= 0.993 & rawben_rel_max < 0.996","2-3","national","xgboost","any_error",61,0.623,0.4742,118.62,1,1,5,"core"
"count_divisible_by_100 <=   0.5 & medical_deductions > 140.0 & total_deductions_by_hh_size > 502.0 & utilities <= 474.0","2-3","national","ranger","any_error",45,0.6444,0.4714,109.18,4,2,6,"core"
"medical_deductions > 608.00 & rawben_rel_max >   0.74 & unc_rawben_rel_max <=   1.00","1","national","ranger","any_error",35,0.6571,0.4612,145.17,2,2,7,"core"
"elderly_disabled_i >=   0.50 & shelter_expenses_by_hh_size < 676.00 & unc_rawben_rel_max >=   1.81 & utilities < 583.00","1","national","xgboost","any_error",96,0.5521,0.4344,95.52,1,1,8,"core"
"homeless <=   0.50 & total_deductions_by_hh_size <= 842.00 & unc_rawben_rel_max >   1.96 & utilities <= 648.00","1","national","ranger","any_error",105,0.5429,0.4305,82.49,3,3,9,"core"
"shelter_expenses_by_hh_size <= 455.0 & total_deductions_by_hh_size > 442.0 & unc_rawben_rel_max <=   0.8","4+","national","ranger","any_error",41,0.6098,0.4299,142.76,1,1,10,"core"
"total_deductions_by_hh_size > 503.000 & unc_rawben_rel_max >   0.379 & unc_rawben_rel_max <=   0.991 & utilities <=   8.000","1","national","ranger","any_error",296,0.4932,0.4264,79.1,8,4,11,"core"
"months_since_cert_n >=  10.000 & rawben_rel_max >=   0.998 & total_deductions_by_hh_size >= 178.000 & unc_rawben_rel_max >=   1.760","2-3","national","xgboost","any_error",30,0.6333,0.4235,197.8,1,1,12,"core"
"cat_elig >   0.500 & medical_deductions > 602.000 & rawben_rel_max <=   0.991 & shelter_expenses_by_hh_size >   5.500","1","national","ranger","any_error",51,0.5686,0.4085,101.78,1,1,13,"core"
"rawben_rel_max >=   0.987 & rawben_rel_max <   0.997 & shelter_expenses_by_hh_size >= 850.000 & utilities < 576.000","1","national","xgboost","any_error",353,0.4674,0.4066,70.16,9,6,14,"core"
"months_since_cert_n >=   2.500 & rawben_rel_max >=   0.972 & unc_rawben_rel_max >=   1.690 & utilities >= 411.000","2-3","national","xgboost","any_error",101,0.5149,0.4014,156.93,3,2,15,"core"
"medical_deductions >= 323.00 & rawben_rel_max >=   0.59","2-3","national","xgboost","any_error",46,0.5652,0.3974,123.59,4,2,16,"core"
"HH_size_n <=  11.500 & months_since_cert_n >   2.500 & rawben_rel_max <=   0.998 & total_deductions_by_hh_size > 490.000","4+","national","ranger","any_error",36,0.5833,0.3939,121.58,3,2,17,"core"
"elderly_disabled_i > 0.500 & rawben_rel_max > 0.996 & rawben_rel_max <= 0.998","4+","national","ranger","any_error",34,0.5882,0.3934,99.53,2,2,18,"core"
"rawben_rel_max <   0.996 & total_deductions_by_hh_size >= 689.000 & utilities < 486.000","2-3","national","xgboost","any_error",70,0.5286,0.3928,103.93,2,1,19,"core"
"medical_deductions >= 200.000 & medical_deductions < 299.000 & rawben_rel_max >=   0.435 & utilities < 578.000","2-3","national","xgboost","any_error",30,0.6,0.3926,93,1,1,20,"core"
"expedited_i <=   0.500 & months_since_cert_n >   6.500 & shelter_expenses_by_hh_size > 184.000 & unc_rawben_rel_max <=   0.971","4+","state","ranger","any_error",30,0.6,0.3926,94.83,30,30,21,"core"
"medical_deductions > 610.000 & percent_abawd <=   0.250 & unc_rawben_rel_max >   0.292 & unc_rawben_rel_max <=   0.996","1","national","ranger","any_error",64,0.5312,0.3895,96.66,7,5,22,"core"
"elderly_disabled_i >=  0.500 & rawben_rel_max >=  0.919 & rawben_rel_max <  0.998 & utilities < 39.000","1","national","xgboost","any_error",145,0.4828,0.3886,83.12,2,1,23,"core"
"cat_elig >   0.5 & medical_deductions > 176.0 & total_deductions_by_hh_size > 339.0 & utilities <= 428.0","2-3","national","ranger","any_error",39,0.5641,0.383,88.72,1,1,24,"core"
"count_divisible_by_100 >   0.50 & months_since_cert_n <=   5.50 & shelter_expenses_by_hh_size > 281.00 & unc_rawben_rel_max >   1.47","2-3","national","ranger","any_error",35,0.5714,0.3805,155.46,1,1,25,"core"
