"rank","role","rule","hh","pool","engines","mined_frames","n_flagged_train","precision_train","precision_train_lcb","dollars_per_flag_train","mm_share_flags","mm_share_errors","mm_inflation","n_flagged_state","n_new_at_rank","n_error_cases_national","element_groups_to_75","nature_groups_to_75","found_in_case_record","share_overissuance","timing_at_certification","cause_agency"
1,"core","gross_by_hh_size < 779 & total_deductions_by_hh_size >= 369 & unc_rawben_rel_max >= 1.01 & unc_rawben_rel_max < 1.02","1","national","xgboost","any_error",193,0.6425,0.5594,99.34,0,0,0,3,3,124,"unearned income 0.73; shelter deduction 0.16","wrong include/exclude decision 0.46; wrong amount, known item 0.22; unreported source of income 0.15",0.513661202185792,1,0.39344262295082,0.695652173913043
2,"core","HH_size_n >= 3 & shelter_expenses_by_hh_size < 590 & total_deductions_by_hh_size >= 489 & unearned_by_hh_size >= 30","2-3","national","xgboost","any_error",39,0.6667,0.4806,171.79,0,0,0,2,2,26,"dep care or child support deduction 0.28; unearned income 0.26; earned income 0.21; shelter deduction 0.14","wrong include/exclude decision 0.36; wrong amount, known item 0.22; unreported source of income 0.14; other 0.14",0.172413793103448,0.884615384615385,0.637931034482759,0.482758620689655
3,"core","rawben_rel_max >= 0.893 & total_deductions_by_hh_size >= 16.5 & unearned_by_hh_size >= 866 & utilities_sua < 2","1","national","xgboost","any_error",149,0.5638,0.4687,105.8,0.0336,0.0476,0.0268,1,1,84,"shelter deduction 0.40; utility allowance 0.29; medical deduction 0.16","wrong include/exclude decision 0.66; wrong amount, known item 0.14",0.363013698630137,0.988095238095238,0.595890410958904,0.561643835616438
4,"core","medical_deductions >= 315 & rawben_rel_max >= 0.703","2-3","national","xgboost","any_error",35,0.6571,0.4612,146.89,0,0,0,1,1,23,"medical deduction 0.49; shelter deduction 0.23; unearned income 0.19","wrong include/exclude decision 0.63; wrong amount, known item 0.14",0.465116279069767,0.956521739130435,0.581395348837209,0.697674418604651
5,"core","elderly_disabled_i >= 1 & rawben_rel_max >= 0.993 & shelter_expenses_by_hh_size < 577 & unc_rawben_rel_max < 1.01","1","national","xgboost","any_error",183,0.5464,0.4607,98.83,0,0,0,1,1,100,"unearned income 0.78","wrong include/exclude decision 0.58; unreported source of income 0.22",0.496,0.99,0.472,0.672
6,"core","months_since_cert_n <= 20 & total_deductions_by_hh_size > 658 & unc_rawben_rel_max <= 1 & unearned_by_hh_size > 131","2-3","national","ranger","any_error",144,0.5556,0.459,119.19,0,0,0,7,7,80,"shelter deduction 0.34; medical deduction 0.20; unearned income 0.19; earned income 0.16","wrong include/exclude decision 0.38; wrong amount, known item 0.36; unreported source of income 0.09",0.3125,0.9375,0.671875,0.5
7,"core","medical_deductions <= 122 & rawben_rel_max > 0.997 & unearned_by_hh_size > 401 & utilities_sua <= 0.5","1","national","ranger","any_error",141,0.5319,0.4348,89.79,0,0,0,3,2,75,"unearned income 0.39; shelter deduction 0.32; utility allowance 0.24","wrong include/exclude decision 0.61; wrong amount, known item 0.14; unreported source of income 0.11",0.447368421052632,1,0.526315789473684,0.578947368421053
8,"core","earned_by_hh_size >= 540 & months_since_cert_n >= 6 & unc_rawben_rel_max >= 1.32","1","national","xgboost","any_error",217,0.5115,0.4333,114.67,0,0,0,3,3,111,"earned income 0.64; other element 0.16","unreported source of income 0.27; change in circumstances 0.25; wrong include/exclude decision 0.15; wrong amount, known item 0.12",0.247191011235955,0.990990990990991,0.213483146067416,0.279329608938547
9,"core","bbce_state_i >= 1 & medical_deductions > 734 & shelter_expenses_by_hh_size > 18.5 & unc_rawben_rel_max <= 1.28","1","national","ranger","any_error",37,0.6216,0.4322,119.46,0,0,0,1,1,23,"medical deduction 0.63; shelter deduction 0.20","wrong include/exclude decision 0.60; wrong amount, known item 0.23",0.6,0.869565217391304,0.657142857142857,0.8
10,"core","elderly_disabled_i >= 1 & rawben_rel_max >= 0.916 & unc_rawben_rel_max < 1.01 & utilities_sua < 1","1","national","xgboost","any_error",231,0.5065,0.4307,86.73,0.0043,0,0,2,1,117,"unearned income 0.33; shelter deduction 0.33; utility allowance 0.24","wrong include/exclude decision 0.65; wrong amount, known item 0.12",0.38121546961326,0.982905982905983,0.535911602209945,0.56353591160221
11,"core","rawben_rel_max > 0.976 & unc_rawben_rel_max <= 1 & unearned_by_hh_size > 466","2-3","national","ranger","any_error",88,0.5455,0.423,135,0,0,0,2,2,48,"shelter deduction 0.51; medical deduction 0.15; unearned income 0.15","wrong amount, known item 0.44; wrong include/exclude decision 0.41",0.28169014084507,0.979166666666667,0.746478873239437,0.591549295774648
