"rank","role","rule","hh","pool","engines","mined_frames","n_flagged_train","precision_train","precision_train_lcb","dollars_per_flag_train","mm_share_flags","mm_share_errors","mm_inflation","n_flagged_state","n_new_at_rank","n_error_cases_national","element_groups_to_75","nature_groups_to_75","found_in_case_record","share_overissuance","timing_at_certification","cause_agency"
1,"core","gross_by_hh_size < 779 & total_deductions_by_hh_size >= 369 & unc_rawben_rel_max >= 1.01 & unc_rawben_rel_max < 1.02","1","national","xgboost","any_error",193,0.6425,0.5594,99.34,0,0,0,3,3,124,"unearned income 0.73; shelter deduction 0.16","wrong include/exclude decision 0.46; wrong amount, known item 0.22; unreported source of income 0.15",0.513661202185792,1,0.39344262295082,0.695652173913043
2,"core","elderly_disabled_i >= 1 & rawben_rel_max > 0.463 & shelter_expenses_by_hh_size > 951 & utilities_sua <= 0.5","1","national","ranger","any_error",140,0.5857,0.4875,103.59,0.0214,0.0122,0.0071,4,4,82,"shelter deduction 0.47; utility allowance 0.34","wrong include/exclude decision 0.61; change in circumstances 0.14; wrong amount, known item 0.13",0.251612903225806,0.98780487804878,0.593548387096774,0.464516129032258
3,"core","total_deductions_by_hh_size > 145 & unc_rawben_rel_max > 0.998 & unc_rawben_rel_max <= 1.03 & utilities_sua <= 0.5","1","national","ranger","any_error",162,0.5741,0.4828,98.15,0,0,0,2,2,93,"unearned income 0.39; shelter deduction 0.33; utility allowance 0.22","wrong include/exclude decision 0.62; wrong amount, known item 0.14",0.455172413793103,1,0.551724137931034,0.586206896551724
4,"core","rawben_rel_max >= 1 & unc_rawben_rel_max < 1.02 & unearned_by_hh_size >= 325 & unearned_by_hh_size < 774","1","national","xgboost","any_error",438,0.5365,0.481,88.98,0,0,0,7,4,235,"unearned income 0.72; shelter deduction 0.18","wrong include/exclude decision 0.50; unreported source of income 0.18; wrong amount, known item 0.17",0.473684210526316,0.995744680851064,0.452012383900929,0.641975308641975
5,"core","HH_size_n >= 3 & shelter_expenses_by_hh_size < 590 & total_deductions_by_hh_size >= 489 & unearned_by_hh_size >= 30","2-3","national","xgboost","any_error",39,0.6667,0.4806,171.79,0,0,0,2,2,26,"dep care or child support deduction 0.28; unearned income 0.26; earned income 0.21; shelter deduction 0.14","wrong include/exclude decision 0.36; wrong amount, known item 0.22; unreported source of income 0.14; other 0.14",0.172413793103448,0.884615384615385,0.637931034482759,0.482758620689655
6,"core","elderly_disabled_i >= 1 & gross_by_hh_size > 334 & rawben_rel_max > 0.998 & utilities_sua <= 1.5","1","national","ranger","any_error",301,0.5282,0.4614,98.36,0,0,0,4,2,159,"unearned income 0.34; shelter deduction 0.30; utility allowance 0.18","wrong include/exclude decision 0.59; wrong amount, known item 0.15; unreported source of income 0.10",0.449152542372881,0.993710691823899,0.48728813559322,0.584745762711864
7,"core","medical_deductions >= 111 & total_deductions_by_hh_size >= 620 & unc_rawben_rel_max < 1.22 & unearned_by_hh_size >= 924","2-3","national","xgboost","any_error",76,0.5789,0.4463,103.47,0.0132,0.0227,0.0132,1,1,44,"medical deduction 0.36; shelter deduction 0.30; unearned income 0.23","wrong include/exclude decision 0.50; wrong amount, known item 0.23; unreported source of income 0.11",0.428571428571429,0.954545454545455,0.771428571428571,0.628571428571429
8,"core","earned_by_hh_size >= 540 & months_since_cert_n >= 6 & unc_rawben_rel_max >= 1.32","1","national","xgboost","any_error",217,0.5115,0.4333,114.67,0,0,0,1,1,111,"earned income 0.64; other element 0.16","unreported source of income 0.27; change in circumstances 0.25; wrong include/exclude decision 0.15; wrong amount, known item 0.12",0.247191011235955,0.990990990990991,0.213483146067416,0.279329608938547
9,"core","earned_by_hh_size >= 255 & elderly_disabled_i >= 1 & gross_by_hh_size < 627 & months_since_cert_n >= 10","4+","national","xgboost","any_error",37,0.6216,0.4322,109.86,0.027,0.0435,0.027,2,2,23,"earned income 0.40; unearned income 0.20; shelter deduction 0.17","wrong amount, known item 0.34; wrong include/exclude decision 0.26; change in circumstances 0.11; other 0.09",0.485714285714286,0.695652173913043,0.4,0.714285714285714
10,"core","elderly_disabled_i >= 1 & rawben_rel_max >= 0.916 & unc_rawben_rel_max < 1.01 & utilities_sua < 1","1","national","xgboost","any_error",231,0.5065,0.4307,86.73,0.0043,0,0,4,3,117,"unearned income 0.33; shelter deduction 0.33; utility allowance 0.24","wrong include/exclude decision 0.65; wrong amount, known item 0.12",0.38121546961326,0.982905982905983,0.535911602209945,0.56353591160221
