"rank","role","rule","hh","pool","engines","mined_frames","n_flagged_train","precision_train","precision_train_lcb","dollars_per_flag_train","mm_share_flags","mm_share_errors","mm_inflation","n_flagged_state","n_new_at_rank","n_error_cases_national","element_groups_to_75","nature_groups_to_75","found_in_case_record","share_overissuance","timing_at_certification","cause_agency"
1,"core","total_deductions_by_hh_size <= 293 & unc_rawben_rel_max > 1 & unc_rawben_rel_max <= 1.01 & unearned_by_hh_size > 334","1","national","ranger","any_error",70,0.7286,0.5919,145.9,0,0,0,3,3,51,"unearned income 0.80","wrong include/exclude decision 0.58; unreported source of income 0.23",0.454545454545455,0.980392156862745,0.545454545454545,0.606060606060606
2,"core","rawben_rel_max > 0.999 & total_deductions_by_hh_size > 347 & unc_rawben_rel_max <= 1 & unearned_by_hh_size > 130","2-3","national","ranger","any_error",70,0.7143,0.5769,166.06,0,0,0,1,1,50,"shelter deduction 0.55; medical deduction 0.16; unearned income 0.11","wrong amount, known item 0.41; wrong include/exclude decision 0.41",0.315068493150685,0.98,0.712328767123288,0.547945205479452
3,"core","elderly_disabled_i >= 1 & months_since_cert_n <= 7.5 & rawben_rel_max > 0.999 & unc_rawben_rel_max <= 1","2-3","national","ranger","any_error",80,0.675,0.5455,143.44,0,0,0,2,1,54,"shelter deduction 0.56; medical deduction 0.12; unearned income 0.12","wrong include/exclude decision 0.50; wrong amount, known item 0.30",0.225,0.981481481481482,0.775,0.4625
4,"core","gross_by_hh_size >= 839 & rawben_rel_max >= 1 & unc_rawben_rel_max < 1.01 & utilities < 361","1","national","xgboost","any_error",94,0.6596,0.54,119.13,0,0,0,1,1,62,"shelter deduction 0.63; utility allowance 0.26","wrong include/exclude decision 0.63; wrong amount, known item 0.14",0.319587628865979,1,0.618556701030928,0.536082474226804
5,"core","gross_by_hh_size < 814 & unc_rawben_rel_max >= 1.01 & unc_rawben_rel_max < 1.02 & unearned_by_hh_size >= 325","1","national","xgboost","any_error",257,0.5875,0.515,91.41,0,0,0,11,11,151,"unearned income 0.74; shelter deduction 0.16","wrong include/exclude decision 0.46; wrong amount, known item 0.22; unreported source of income 0.16",0.52073732718894,1,0.391705069124424,0.688073394495413
6,"core","rawben_rel_max >= 0.893 & total_deductions_by_hh_size >= 16.5 & unearned_by_hh_size >= 866 & utilities < 284","1","national","xgboost","any_error",133,0.594,0.4931,112.47,0.0075,0,0,3,2,79,"shelter deduction 0.42; utility allowance 0.28; medical deduction 0.17","wrong include/exclude decision 0.65; wrong amount, known item 0.15",0.354609929078014,0.987341772151899,0.588652482269504,0.560283687943262
7,"core","earned_by_hh_size >= 540 & months_since_cert_n >= 5 & unc_rawben_rel_max >= 1.4 & utilities < 580","1","national","xgboost","any_error",44,0.6591,0.4839,146.25,0,0,0,2,2,29,"earned income 0.60; other element 0.15","change in circumstances 0.31; unreported source of income 0.21; wrong include/exclude decision 0.17; wrong amount, known item 0.12",0.25,1,0.270833333333333,0.354166666666667
8,"core","total_deductions_by_hh_size >= 554 & unearned_by_hh_size >= 915 & utilities < 571","2-3","national","xgboost","any_error",59,0.6102,0.4593,110.19,0,0,0,2,2,36,"shelter deduction 0.37; medical deduction 0.29; unearned income 0.19","wrong include/exclude decision 0.53; wrong amount, known item 0.15; unreported source of income 0.14",0.254237288135593,0.944444444444444,0.779661016949153,0.542372881355932
9,"core","total_deductions_by_hh_size > 523 & unc_rawben_rel_max > 0.975 & unc_rawben_rel_max <= 1 & utilities > 27.5","2-3","national","ranger","any_error",63,0.5873,0.4418,163.22,0.0159,0,0,1,1,37,"shelter deduction 0.43; dep care or child support deduction 0.22; medical deduction 0.17","wrong amount, known item 0.39; wrong include/exclude decision 0.35; method or computation 0.11",0.37037037037037,0.972972972972973,0.740740740740741,0.555555555555556
10,"core","earned_by_hh_size >= 125 & earned_by_hh_size < 190 & shelter_expenses_by_hh_size >= 320 & unc_rawben_rel_max >= 1.08","4+","national","xgboost","any_error",66,0.5758,0.4339,177.64,0,0,0,4,4,38,"earned income 0.75; shelter deduction 0.10","unreported source of income 0.39; wrong amount, known item 0.16; wrong include/exclude decision 0.16; change in circumstances 0.14",0.470588235294118,0.973684210526316,0.568627450980392,0.490196078431373
