"state","error_frame","hh_size","rule_national","rule_tuned","tuned_is_national","qualified","train_n","train_errors","train_precision","train_dollars","test_n_tuned","test_precision_tuned","test_n_national","test_precision_national"
"Louisiana","earned_income","4+","HH_size_n >=   5 & total_deductions_by_hh_size >= 119 & utilities >= 450 & utilities < 453","HH_size_n >=   5.5 & total_deductions_by_hh_size >= 119.0 & utilities >= 405.0 & utilities < 453.0",FALSE,FALSE,4,2,0.5,426,3,0,0,NA
"Louisiana","earned_income","1","elderly_disabled_i <= 0.50 & unc_rawben_rel_max > 1.99 & unc_rawben_rel_max <= 2.24","elderly_disabled_i <= 0.50 & unc_rawben_rel_max > 1.99 & unc_rawben_rel_max <= 2.24",TRUE,FALSE,1,1,1,268,0,NA,0,NA
"Louisiana","earned_income","2-3","months_since_cert_n >   4.500 & percent_abawd >   0.167 & shelter_expenses_by_hh_size > 629.000 & utilities <= 494.000","months_since_cert_n >   4.0500 & percent_abawd >   0.1503 & shelter_expenses_by_hh_size > 566.1000 & utilities <= 444.6000",FALSE,FALSE,1,0,0,0,2,0,1,0
"Louisiana","earned_income","1","elderly_disabled_i <= 0.50 & unc_rawben_rel_max > 1.98 & unc_rawben_rel_max <= 2.24","elderly_disabled_i <= 0.50 & unc_rawben_rel_max > 1.98 & unc_rawben_rel_max <= 2.24",TRUE,FALSE,1,1,1,268,0,NA,0,NA
"Louisiana","earned_income","1","elderly_disabled_i <=   0.50 & months_since_cert_n >  14.50 & total_deductions_by_hh_size > 793.00 & unc_rawben_rel_max <=   1.82","elderly_disabled_i <=   0.450 & months_since_cert_n >  13.050 & total_deductions_by_hh_size > 713.700 & unc_rawben_rel_max <=   1.638",FALSE,FALSE,1,0,0,0,3,0,3,0
"Louisiana","earned_income","4+","rawben_rel_max >=   0.352 & shelter_expenses_by_hh_size >= 482.000 & total_deductions_by_hh_size >= 230.000 & total_deductions_by_hh_size < 262.000","rawben_rel_max >=   0.352 & shelter_expenses_by_hh_size >= 482.000 & total_deductions_by_hh_size >= 230.000 & total_deductions_by_hh_size < 262.000",TRUE,FALSE,1,0,0,0,0,NA,0,NA
"Louisiana","earned_income","4+","shelter_expenses_by_hh_size >= 482 & total_deductions_by_hh_size >= 232 & total_deductions_by_hh_size < 250","shelter_expenses_by_hh_size >= 361.5 & total_deductions_by_hh_size >= 174.0 & total_deductions_by_hh_size < 312.5",FALSE,TRUE,5,3,0.6,426,5,0.2,0,NA
"Louisiana","earned_income","2-3","elderly_disabled_i <=   0.5 & shelter_expenses_by_hh_size > 280.0 & total_deductions_by_hh_size > 441.0 & unc_rawben_rel_max >   1.6","elderly_disabled_i <=   0.5 & shelter_expenses_by_hh_size > 280.0 & total_deductions_by_hh_size > 441.0 & unc_rawben_rel_max >   1.6",TRUE,FALSE,1,0,0,0,1,0,1,0
"Louisiana","earned_income","1","medical_deductions <= 836.00 & months_since_cert_n >   5.50 & unc_rawben_rel_max >   1.82 & utilities <= 340.00","medical_deductions <= 752.40 & months_since_cert_n >   6.05 & unc_rawben_rel_max >   1.82 & utilities <= 306.00",FALSE,FALSE,2,2,1,165,1,1,1,1
"Louisiana","earned_income","1","months_since_cert_n >   5.50 & unc_rawben_rel_max >   1.82 & utilities <= 340.00","months_since_cert_n >   4.125 & unc_rawben_rel_max >   1.638 & utilities <= 425.000",FALSE,TRUE,20,7,0.35,1135,15,0.133,1,1
"Louisiana","earned_income","2-3","months_since_cert_n >=  10.000 & rawben_rel_max <   0.588 & total_deductions_by_hh_size >= 511.000 & utilities < 610.000","months_since_cert_n >=  11.0000 & rawben_rel_max <   0.5292 & total_deductions_by_hh_size >= 459.9000 & utilities < 549.0000",FALSE,FALSE,1,1,1,148,0,NA,0,NA
"Louisiana","earned_income","2-3","HH_size_n >   2.50 & months_since_cert_n <=   4.50 & total_deductions_by_hh_size <= 488.00 & unc_rawben_rel_max >   1.36","HH_size_n >   2.50 & months_since_cert_n <=   4.50 & total_deductions_by_hh_size <= 488.00 & unc_rawben_rel_max >   1.36",TRUE,FALSE,1,1,1,254,0,NA,0,NA
"Louisiana","earned_income","4+","shelter_expenses_by_hh_size > 517.000 & unc_rawben_rel_max >   0.584 & unc_rawben_rel_max <=   0.613","shelter_expenses_by_hh_size > 387.800 & unc_rawben_rel_max >   0.584 & unc_rawben_rel_max <=   0.613",FALSE,FALSE,1,1,1,76,0,NA,0,NA
"Louisiana","earned_income","2-3","HH_size_n >  2.50 & months_since_cert_n <=  8.50 & unc_rawben_rel_max >  1.34 & utilities <= 53.50","HH_size_n >  2.250 & months_since_cert_n <=  7.650 & unc_rawben_rel_max >  1.206 & utilities <= 48.150",FALSE,FALSE,2,1,0.5,305,0,NA,0,NA
"Louisiana","earned_income","1","children_i <=    0.5 & elderly_disabled_i <=    0.5 & months_since_cert_n >    9.5 & shelter_expenses_by_hh_size > 1650.0","children_i <=    0.5 & elderly_disabled_i <=    0.5 & months_since_cert_n >    9.5 & shelter_expenses_by_hh_size > 1650.0",TRUE,FALSE,1,0,0,0,0,NA,0,NA
"Louisiana","earned_income","1","homeless <=   0.50 & months_since_cert_n >   5.50 & unc_rawben_rel_max >   1.88 & utilities <= 300.00","homeless <=   0.45 & months_since_cert_n >   6.05 & unc_rawben_rel_max >   1.88 & utilities <= 270.00",FALSE,FALSE,2,2,1,165,0,NA,0,NA
"Louisiana","earned_income","1","shelter_expenses_by_hh_size > 1640.000 & unc_rawben_rel_max <=   -0.534","shelter_expenses_by_hh_size > 1230.0000 & unc_rawben_rel_max <=   -0.4005",FALSE,FALSE,1,0,0,0,0,NA,0,NA
