"state","error_frame","hh_size","rule_national","rule_tuned","tuned_is_national","train_n","train_errors","train_precision","train_lcb","test_n_tuned","test_precision_tuned","test_n_national","test_precision_national"
"Connecticut","earned_income","2-3","rawben_rel_max <=    0.966 & shelter_expenses_by_hh_size > 1150.000 & unc_rawben_rel_max >    0.684 & utilities >  851.000","rawben_rel_max <=    1.0630 & shelter_expenses_by_hh_size > 1035.0000 & unc_rawben_rel_max >    0.7524 & utilities >  765.9000",FALSE,5,2,0.4,0.18,10,0.3,3,0.333
"Connecticut","earned_income","4+","months_since_cert_n >   6.5 & shelter_expenses_by_hh_size > 435.0 & total_deductions_by_hh_size <= 271.0 & utilities > 851.0","months_since_cert_n >   5.85 & shelter_expenses_by_hh_size > 435.00 & total_deductions_by_hh_size <= 298.10 & utilities > 765.90",FALSE,9,5,0.556,0.352,12,0.25,9,0.222
"Connecticut","earned_income","2-3","cat_elig >   1.5 & elderly_disabled_i <=   0.5 & months_since_cert_n >   8.5 & shelter_expenses_by_hh_size > 849.0","cat_elig >   1.5 & elderly_disabled_i <=   0.5 & months_since_cert_n >   8.5 & shelter_expenses_by_hh_size > 849.0",TRUE,6,3,0.5,0.268,0,NA,0,NA
"Connecticut","earned_income","1","cat_elig > 0.500 & elderly_disabled_i <= 0.500 & rawben_rel_max > 0.634 & unc_rawben_rel_max <= 0.641","cat_elig > 0.4500 & elderly_disabled_i <= 0.4500 & rawben_rel_max > 0.6340 & unc_rawben_rel_max <= 0.7051",FALSE,5,1,0.2,0.062,3,0,0,NA
"Connecticut","earned_income","4+","HH_size_n <= 4.50 & unc_rawben_rel_max > 1.39","HH_size_n <= 4.050 & unc_rawben_rel_max > 1.251",FALSE,9,3,0.333,0.172,4,0.25,0,NA
"Connecticut","earned_income","4+","cat_elig <=   1.500 & elderly_disabled_i <=   0.500 & rawben_rel_max <=   0.952 & utilities > 974.000","cat_elig <=   1.350 & elderly_disabled_i <=   0.450 & rawben_rel_max <=   1.047 & utilities > 876.600",FALSE,8,3,0.375,0.195,56,0.214,0,NA
"Connecticut","earned_income","4+","count_divisible_by_100 >   0.50 & rawben_rel_max <=   0.99 & utilities > 974.00","count_divisible_by_100 >   0.375 & rawben_rel_max <=   1.089 & utilities > 876.600",FALSE,5,2,0.4,0.18,5,0.2,0,NA
"Connecticut","earned_income","4+","medical_deductions <= 134.00 & unc_rawben_rel_max >   1.39","medical_deductions <= 100.500 & unc_rawben_rel_max >   1.251",FALSE,9,3,0.333,0.172,4,0.25,0,NA
"Connecticut","earned_income","4+","total_deductions_by_hh_size > 134.00 & unc_rawben_rel_max >   1.39 & utilities <= 974.00","total_deductions_by_hh_size > 100.500 & unc_rawben_rel_max >   1.251 & utilities <= 974.000",FALSE,9,3,0.333,0.172,4,0.25,0,NA
"Connecticut","earned_income","4+","cat_elig <=   1.500 & elderly_disabled_i <=   0.500 & rawben_rel_max <=   0.972 & utilities > 974.000","cat_elig <=   1.350 & elderly_disabled_i <=   0.450 & rawben_rel_max <=   1.069 & utilities > 876.600",FALSE,8,3,0.375,0.195,56,0.214,0,NA
