"state","error_frame","hh_size","rule_national","rule_tuned","tuned_is_national","train_n","train_errors","train_precision","train_lcb","test_n_tuned","test_precision_tuned","test_n_national","test_precision_national"
"Michigan","earned_income","1","months_since_cert_n >    3.5 & percent_abawd >    0.5 & shelter_expenses_by_hh_size > 1260.0 & total_deductions_by_hh_size >  943.0","months_since_cert_n >    3.15 & percent_abawd >    0.45 & shelter_expenses_by_hh_size > 1134.00 & total_deductions_by_hh_size >  848.70",FALSE,5,1,0.2,0.062,1,0,0,NA
"Michigan","earned_income","1","cat_elig > 0.500 & elderly_disabled_i <= 0.500 & rawben_rel_max > 0.634 & unc_rawben_rel_max <= 0.641","cat_elig > 0.4500 & elderly_disabled_i <= 0.4500 & rawben_rel_max > 0.5706 & unc_rawben_rel_max <= 0.7051",FALSE,6,2,0.333,0.148,1,0,1,0
"Michigan","earned_income","4+","HH_size_n <= 4.50 & unc_rawben_rel_max > 1.39","HH_size_n <= 4.050 & unc_rawben_rel_max > 1.251",FALSE,8,2,0.25,0.109,4,0,0,NA
"Michigan","earned_income","4+","medical_deductions <= 134.00 & unc_rawben_rel_max >   1.39","medical_deductions <= 100.500 & unc_rawben_rel_max >   1.251",FALSE,8,2,0.25,0.109,4,0,0,NA
"Michigan","earned_income","4+","total_deductions_by_hh_size > 134.00 & unc_rawben_rel_max >   1.39 & utilities <= 974.00","total_deductions_by_hh_size > 147.400 & unc_rawben_rel_max >   1.251 & utilities <= 730.500",FALSE,6,2,0.333,0.148,4,0,0,NA
"Michigan","earned_income","4+","expedited_i > 0.5 & HH_size_n > 6.5 & months_since_cert_n > 5.5","expedited_i > 0.375 & HH_size_n > 4.875 & months_since_cert_n > 6.050",FALSE,7,2,0.286,0.125,1,0,0,NA
"Michigan","earned_income","4+","unc_rawben_rel_max > 1.39","unc_rawben_rel_max > 1.251",FALSE,8,2,0.25,0.109,4,0,0,NA
"Michigan","earned_income","4+","rawben_rel_max >   0.837 & unc_rawben_rel_max <=   0.902 & utilities > 851.000","rawben_rel_max >   0.6278 & unc_rawben_rel_max <=   0.9922 & utilities > 638.2000",FALSE,19,5,0.263,0.156,0,NA,0,NA
"Michigan","earned_income","1","months_since_cert_n >   3.5 & percent_abawd >   0.5 & total_deductions_by_hh_size > 949.0","months_since_cert_n >   4.375 & percent_abawd >   0.375 & total_deductions_by_hh_size > 711.800",FALSE,7,2,0.286,0.125,2,0,1,0
"Michigan","earned_income","4+","cat_elig <=   1.5 & expedited_i <=   0.5 & shelter_expenses_by_hh_size <= 104.0 & utilities > 532.0","cat_elig <=   1.35 & expedited_i <=   0.45 & shelter_expenses_by_hh_size <= 114.40 & utilities > 478.80",FALSE,7,2,0.286,0.125,1,0,1,0
"Michigan","earned_income","2-3","months_since_cert_n >   3.5 & shelter_expenses_by_hh_size <= 295.0 & total_deductions_by_hh_size > 442.0","months_since_cert_n >   2.625 & shelter_expenses_by_hh_size <= 368.800 & total_deductions_by_hh_size > 331.500",FALSE,7,0,0,0,2,0,0,NA
"Michigan","earned_income","4+","HH_size_n <= 4.500 & percent_abawd <= 0.775 & unc_rawben_rel_max > 1.380","HH_size_n <= 4.0500 & percent_abawd <= 0.5812 & unc_rawben_rel_max > 1.2420",FALSE,8,2,0.25,0.109,5,0,0,NA
"Michigan","earned_income","4+","HH_size_n >   5.5 & shelter_expenses_by_hh_size <= 246.0 & total_deductions_by_hh_size > 190.0","HH_size_n >   5.5 & shelter_expenses_by_hh_size <= 270.6 & total_deductions_by_hh_size > 142.5",FALSE,6,2,0.333,0.148,6,0.333,1,0
"Michigan","earned_income","4+","HH_size_n >   4.5 & months_since_cert_n >   5.5 & utilities > 902.0","HH_size_n >   5.625 & months_since_cert_n >   4.125 & utilities > 676.500",FALSE,5,2,0.4,0.18,0,NA,0,NA
"Michigan","earned_income","1","months_since_cert_n >   3.5 & percent_abawd >   0.5 & total_deductions_by_hh_size > 949.0 & unc_rawben_rel_max <=   2.5","months_since_cert_n >   3.15 & percent_abawd >   0.45 & total_deductions_by_hh_size > 854.10 & unc_rawben_rel_max <=   2.25",FALSE,5,1,0.2,0.062,1,0,1,0
"Michigan","earned_income","4+","months_since_cert_n >   6.500 & rawben_rel_max <=   0.952 & utilities > 902.000","months_since_cert_n >   4.875 & rawben_rel_max <=   1.047 & utilities > 676.500",FALSE,35,4,0.114,0.062,0,NA,0,NA
"Michigan","earned_income","1","elderly_disabled_i <=   0.500 & months_since_cert_n >   8.500 & rawben_rel_max <=   0.976 & total_deductions_by_hh_size > 671.000","elderly_disabled_i <=   0.450 & months_since_cert_n >   7.650 & rawben_rel_max <=   0.976 & total_deductions_by_hh_size > 603.900",FALSE,5,2,0.4,0.18,2,0,0,NA
"Michigan","earned_income","4+","rawben_rel_max >=   0.784 & rawben_rel_max <   0.944 & shelter_expenses_by_hh_size >= 325.000 & shelter_expenses_by_hh_size < 370.000","rawben_rel_max >=   0.8624 & rawben_rel_max <   1.0380 & shelter_expenses_by_hh_size >= 292.5000 & shelter_expenses_by_hh_size < 333.0000",FALSE,5,2,0.4,0.18,2,0,2,0.5
"Michigan","unearned_income","1","total_deductions_by_hh_size <= 1590.00 & unc_rawben_rel_max >    2.67 & utilities >  598.00","total_deductions_by_hh_size <= 1590.000 & unc_rawben_rel_max >    2.002 & utilities >  598.000",FALSE,5,3,0.6,0.33,6,0,0,NA
"Michigan","unearned_income","2-3","shelter_expenses_by_hh_size <= 1100.00 & unc_rawben_rel_max >    1.78 & utilities >  628.00","shelter_expenses_by_hh_size <= 825.000 & unc_rawben_rel_max >   1.335 & utilities > 471.000",FALSE,46,5,0.109,0.063,18,0.056,0,NA
"Michigan","unearned_income","1","count_divisible_by_100 <=   0.50 & shelter_expenses_by_hh_size <= 642.00 & total_deductions_by_hh_size <= 758.00 & unc_rawben_rel_max >   1.93","count_divisible_by_100 <=   0.450 & shelter_expenses_by_hh_size <= 577.800 & total_deductions_by_hh_size <= 682.200 & unc_rawben_rel_max >   1.737",FALSE,14,2,0.143,0.061,0,NA,0,NA
"Michigan","unearned_income","1","shelter_expenses_by_hh_size <= 785.00 & unc_rawben_rel_max >   1.95 & unc_rawben_rel_max <=   1.98","shelter_expenses_by_hh_size <= 981.200 & unc_rawben_rel_max >   1.950 & unc_rawben_rel_max <=   2.475",FALSE,7,3,0.429,0.226,6,0.333,1,0
"Michigan","unearned_income","1","total_deductions_by_hh_size <= 780.00 & unc_rawben_rel_max >   1.96 & unc_rawben_rel_max <=   1.98","total_deductions_by_hh_size <= 975.000 & unc_rawben_rel_max >   1.960 & unc_rawben_rel_max <=   2.475",FALSE,7,3,0.429,0.226,5,0.4,1,0
"Michigan","unearned_income","2-3","expedited_i <=   0.5 & shelter_expenses_by_hh_size <= 668.0 & unc_rawben_rel_max >   1.8","expedited_i <=   0.375 & shelter_expenses_by_hh_size <= 734.800 & unc_rawben_rel_max >   1.350",FALSE,23,2,0.087,0.037,14,0,0,NA
"Michigan","unearned_income","2-3","percent_abawd <=   0.25 & unc_rawben_rel_max >   1.77 & utilities > 590.00","percent_abawd <=   0.1875 & unc_rawben_rel_max >   1.3280 & utilities > 442.5000",FALSE,45,5,0.111,0.064,22,0.136,1,1
"Michigan","unearned_income","2-3","elderly_disabled_i > 0.50 & HH_size_n > 2.50 & unc_rawben_rel_max > 1.52","elderly_disabled_i > 0.375 & HH_size_n > 1.875 & unc_rawben_rel_max > 1.140",FALSE,13,1,0.077,0.023,7,0.143,1,0
"Michigan","unearned_income","2-3","unc_rawben_rel_max >   2.00 & unc_rawben_rel_max <=   2.54 & utilities > 462.00","unc_rawben_rel_max >   1.500 & unc_rawben_rel_max <=   1.905 & utilities > 346.500",FALSE,11,2,0.182,0.078,3,0.333,0,NA
"Michigan","unearned_income","1","shelter_expenses_by_hh_size <= 642.00 & unc_rawben_rel_max >   1.93 & unc_rawben_rel_max <=   1.98","shelter_expenses_by_hh_size <= 577.800 & unc_rawben_rel_max >   1.737 & unc_rawben_rel_max <=   1.980",FALSE,14,2,0.143,0.061,0,NA,0,NA
"Michigan","unearned_income","1","expedited_i <=   0.50 & months_since_cert_n >   6.50 & unc_rawben_rel_max >   1.97 & utilities <= 606.00","expedited_i <=   0.450 & months_since_cert_n >   5.850 & unc_rawben_rel_max >   1.773 & utilities <= 606.000",FALSE,16,5,0.312,0.187,0,NA,0,NA
"Michigan","unearned_income","2-3","unc_rawben_rel_max >   1.98 & unc_rawben_rel_max <=   2.30 & utilities > 462.00","unc_rawben_rel_max >   1.485 & unc_rawben_rel_max <=   1.725 & utilities > 346.500",FALSE,20,3,0.15,0.075,2,0,0,NA
"Michigan","unearned_income","2-3","unc_rawben_rel_max >   1.98 & utilities > 590.00","unc_rawben_rel_max >   1.485 & utilities > 442.500",FALSE,21,3,0.143,0.071,3,0.333,0,NA
"Michigan","unearned_income","1","months_since_cert_n >   6.50 & percent_abawd <=   0.50 & unc_rawben_rel_max >   1.95 & utilities <= 606.00","months_since_cert_n >   5.850 & percent_abawd <=   0.450 & unc_rawben_rel_max >   1.755 & utilities <= 606.000",FALSE,11,4,0.364,0.207,0,NA,0,NA
"Michigan","unearned_income","1","months_since_cert_n >    7.50 & shelter_expenses_by_hh_size <= 1330.00 & unc_rawben_rel_max >    1.93 & utilities <=  678.00","months_since_cert_n >    8.250 & shelter_expenses_by_hh_size <= 1197.000 & unc_rawben_rel_max >    2.123 & utilities <=  745.800",FALSE,5,3,0.6,0.33,3,0,5,0
"Michigan","unearned_income","1","shelter_expenses_by_hh_size <= 642.00 & total_deductions_by_hh_size <= 758.00 & unc_rawben_rel_max >   1.93","shelter_expenses_by_hh_size <= 577.800 & total_deductions_by_hh_size <= 568.500 & unc_rawben_rel_max >   1.737",FALSE,13,2,0.154,0.066,0,NA,0,NA
"Michigan","unearned_income","2-3","months_since_cert_n > 5.5 & unc_rawben_rel_max > 1.8","months_since_cert_n > 5.50 & unc_rawben_rel_max > 1.35",FALSE,19,1,0.053,0.016,5,0.2,1,1
"Michigan","unearned_income","1","count_divisible_by_100 <=   0.50 & months_since_cert_n >   6.50 & unc_rawben_rel_max >   1.93 & utilities <= 664.00","count_divisible_by_100 <=   0.450 & months_since_cert_n >   5.850 & unc_rawben_rel_max >   2.123 & utilities <= 730.400",FALSE,7,4,0.571,0.342,5,0,4,0
