"state","error_frame","hh_size","rule_national","rule_tuned","tuned_is_national","qualified","train_n","train_errors","train_precision","train_dollars","test_n_tuned","test_precision_tuned","test_n_national","test_precision_national"
"Arizona","earned_income","2-3","HH_size_n >   2.50 & months_since_cert_n >   3.50 & unc_rawben_rel_max >   1.34 & utilities <= 318.00","HH_size_n >   2.250 & months_since_cert_n >   3.150 & unc_rawben_rel_max >   1.474 & utilities <= 318.000",FALSE,FALSE,3,2,0.667,426,0,NA,0,NA
"Arizona","earned_income","1","cat_elig > 0.500 & elderly_disabled_i <= 0.500 & rawben_rel_max > 0.634 & unc_rawben_rel_max <= 0.641","cat_elig > 0.4500 & elderly_disabled_i <= 0.4500 & rawben_rel_max > 0.6340 & unc_rawben_rel_max <= 0.7051",FALSE,FALSE,1,1,1,78,0,NA,0,NA
"Arizona","earned_income","4+","HH_size_n <= 4.50 & unc_rawben_rel_max > 1.39","HH_size_n <= 4.50 & unc_rawben_rel_max > 1.39",TRUE,FALSE,1,1,1,666,0,NA,0,NA
"Arizona","earned_income","4+","medical_deductions <= 134.00 & unc_rawben_rel_max >   1.39","medical_deductions <= 134.00 & unc_rawben_rel_max >   1.39",TRUE,FALSE,1,1,1,666,0,NA,0,NA
"Arizona","earned_income","4+","total_deductions_by_hh_size > 134.00 & unc_rawben_rel_max >   1.39 & utilities <= 974.00","total_deductions_by_hh_size > 134.00 & unc_rawben_rel_max >   1.39 & utilities <= 974.00",TRUE,FALSE,1,1,1,666,0,NA,0,NA
"Arizona","earned_income","2-3","medical_deductions <= 117.0 & months_since_cert_n >   3.5 & shelter_expenses_by_hh_size <= 343.0 & total_deductions_by_hh_size > 468.0","medical_deductions <= 117.0 & months_since_cert_n >   3.5 & shelter_expenses_by_hh_size <= 343.0 & total_deductions_by_hh_size > 468.0",TRUE,FALSE,2,1,0.5,365,3,0.667,3,0.667
"Arizona","earned_income","2-3","total_deductions_by_hh_size > 442.000 & unc_rawben_rel_max >   0.461 & unc_rawben_rel_max <=   0.778 & utilities <= 366.000","total_deductions_by_hh_size > 442.0000 & unc_rawben_rel_max >   0.4149 & unc_rawben_rel_max <=   0.7002 & utilities <= 402.6000",FALSE,FALSE,7,4,0.571,991,2,0.5,2,0.5
"Arizona","earned_income","1","shelter_expenses_by_hh_size > 1310.000 & unc_rawben_rel_max >    0.376 & unc_rawben_rel_max <=    0.648 & utilities <=  302.000","shelter_expenses_by_hh_size > 1310.0000 & unc_rawben_rel_max >    0.3384 & unc_rawben_rel_max <=    0.7128 & utilities <=  302.0000",FALSE,FALSE,2,1,0.5,78,1,0,1,0
"Arizona","earned_income","2-3","children_i <=   0.500 & married >   0.500 & percent_abawd >   0.417 & total_deductions_by_hh_size > 487.000","children_i <=   0.4500 & married >   0.4500 & percent_abawd >   0.3753 & total_deductions_by_hh_size > 438.3000",FALSE,FALSE,1,0,0,0,0,NA,0,NA
"Arizona","earned_income","2-3","percent_abawd >   0.417 & percent_abawd <=   0.833 & shelter_expenses_by_hh_size > 677.000 & utilities <= 419.000","percent_abawd >   0.3753 & percent_abawd <=   0.7497 & shelter_expenses_by_hh_size > 609.3000 & utilities <= 377.1000",FALSE,FALSE,2,1,0.5,439,2,0.5,1,1
"Arizona","earned_income","4+","expedited_i > 0.5 & HH_size_n > 6.5 & months_since_cert_n > 5.5","expedited_i > 0.375 & HH_size_n > 7.150 & months_since_cert_n > 4.125",FALSE,FALSE,1,1,1,60,1,1,1,1
"Arizona","earned_income","4+","unc_rawben_rel_max > 1.39","unc_rawben_rel_max > 1.39",TRUE,FALSE,1,1,1,666,0,NA,0,NA
"Arizona","earned_income","1","medical_deductions <= 100.00 & months_since_cert_n >   5.50 & unc_rawben_rel_max >   1.82 & utilities <= 308.00","medical_deductions <=  90.000 & months_since_cert_n >   6.050 & unc_rawben_rel_max >   1.638 & utilities <= 277.200",FALSE,FALSE,3,3,1,780,2,0,1,0
"Arizona","earned_income","1","months_since_cert_n >   5.50 & unc_rawben_rel_max >   1.82 & utilities <= 308.00","months_since_cert_n >   4.125 & unc_rawben_rel_max >   1.365 & utilities <= 338.800",FALSE,TRUE,34,11,0.324,2543,14,0.286,1,0
"Arizona","earned_income","1","months_since_cert_n >   3.5 & percent_abawd >   0.5 & total_deductions_by_hh_size > 949.0","months_since_cert_n >   2.625 & percent_abawd >   0.375 & total_deductions_by_hh_size > 711.800",FALSE,FALSE,1,0,0,0,2,0.5,0,NA
"Arizona","earned_income","1","rawben_rel_max >    0.801 & shelter_expenses_by_hh_size > 2000.000 & total_deductions_by_hh_size <=  712.000 & unc_rawben_rel_max <=    1.630","rawben_rel_max >    0.801 & shelter_expenses_by_hh_size > 2000.000 & total_deductions_by_hh_size <=  712.000 & unc_rawben_rel_max <=    1.630",TRUE,FALSE,1,0,0,0,0,NA,0,NA
"Arizona","earned_income","2-3","months_since_cert_n >   3.5 & shelter_expenses_by_hh_size <= 295.0 & total_deductions_by_hh_size > 442.0","months_since_cert_n >   4.375 & shelter_expenses_by_hh_size <= 368.800 & total_deductions_by_hh_size > 486.200",FALSE,FALSE,1,1,1,365,1,1,1,1
"Arizona","earned_income","2-3","rawben_rel_max <=    0.967 & shelter_expenses_by_hh_size > 1350.000","rawben_rel_max <=    0.7252 & shelter_expenses_by_hh_size > 1012.0000",FALSE,FALSE,1,0,0,0,0,NA,0,NA
"Arizona","earned_income","4+","HH_size_n <= 4.500 & percent_abawd <= 0.775 & unc_rawben_rel_max > 1.380","HH_size_n <= 4.500 & percent_abawd <= 0.775 & unc_rawben_rel_max > 1.380",TRUE,FALSE,1,1,1,666,0,NA,0,NA
"Arizona","earned_income","2-3","elderly_disabled_i <=   0.500 & months_since_cert_n >   9.500 & percent_abawd <=   0.167 & total_deductions_by_hh_size > 442.000","elderly_disabled_i <=   0.500 & months_since_cert_n >   9.500 & percent_abawd <=   0.167 & total_deductions_by_hh_size > 442.000",TRUE,FALSE,2,2,1,433,3,0.333,3,0.333
"Arizona","earned_income","4+","HH_size_n >   4.500 & percent_abawd <=   0.225 & utilities > 286.000 & utilities <= 292.000","HH_size_n >   4.0500 & percent_abawd <=   0.2025 & utilities > 257.4000 & utilities <= 321.2000",FALSE,FALSE,1,0,0,0,0,NA,0,NA
"Arizona","earned_income","4+","HH_size_n >   5.5 & shelter_expenses_by_hh_size <= 246.0 & total_deductions_by_hh_size > 190.0","HH_size_n >   4.125 & shelter_expenses_by_hh_size <= 307.500 & total_deductions_by_hh_size > 142.500",FALSE,TRUE,32,11,0.344,2631,19,0.263,1,0
"Arizona","earned_income","2-3","elderly_disabled_i <=   0.500 & rawben_rel_max >   0.938 & shelter_expenses_by_hh_size > 639.000 & unc_rawben_rel_max <=   0.970","elderly_disabled_i <=   0.500 & rawben_rel_max >   0.938 & shelter_expenses_by_hh_size > 639.000 & unc_rawben_rel_max <=   0.970",TRUE,FALSE,1,1,1,251,0,NA,0,NA
"Arizona","earned_income","2-3","elderly_disabled_i <=   0.5 & shelter_expenses_by_hh_size > 703.0 & total_deductions_by_hh_size > 331.0 & utilities <= 366.0","elderly_disabled_i <=   0.45 & shelter_expenses_by_hh_size > 632.70 & total_deductions_by_hh_size > 297.90 & utilities <= 329.40",FALSE,FALSE,18,7,0.389,2007,12,0.417,6,0.333
"Arizona","earned_income","1","elderly_disabled_i <=   0.500 & months_since_cert_n >   8.500 & rawben_rel_max <=   0.976 & total_deductions_by_hh_size > 671.000","elderly_disabled_i <=   0.450 & months_since_cert_n >   8.500 & rawben_rel_max <=   1.074 & total_deductions_by_hh_size > 671.000",FALSE,FALSE,6,1,0.167,268,2,0.5,2,0.5
"Arizona","earned_income","4+","rawben_rel_max >=   0.784 & rawben_rel_max <   0.944 & shelter_expenses_by_hh_size >= 325.000 & shelter_expenses_by_hh_size < 370.000","rawben_rel_max >=   0.784 & rawben_rel_max <   1.038 & shelter_expenses_by_hh_size >= 292.500 & shelter_expenses_by_hh_size < 370.000",FALSE,TRUE,20,4,0.2,1752,7,0.143,1,0
