"state","error_frame","hh_size","rule_national","rule_tuned","tuned_is_national","qualified","train_n","train_errors","train_precision","train_dollars","test_n_tuned","test_precision_tuned","test_n_national","test_precision_national"
"Michigan","earned_income","2-3","cat_elig >   1.5 & elderly_disabled_i <=   0.5 & months_since_cert_n >   8.5 & shelter_expenses_by_hh_size > 849.0","cat_elig >   1.35 & elderly_disabled_i <=   0.45 & months_since_cert_n >   7.65 & shelter_expenses_by_hh_size > 764.10",FALSE,FALSE,1,0,0,0,0,NA,0,NA
"Michigan","earned_income","1","months_since_cert_n >    3.5 & percent_abawd >    0.5 & shelter_expenses_by_hh_size > 1260.0 & total_deductions_by_hh_size >  943.0","months_since_cert_n >    3.15 & percent_abawd >    0.45 & shelter_expenses_by_hh_size > 1134.00 & total_deductions_by_hh_size >  943.00",FALSE,FALSE,4,1,0.25,82,0,NA,0,NA
"Michigan","earned_income","1","cat_elig > 0.500 & elderly_disabled_i <= 0.500 & rawben_rel_max > 0.634 & unc_rawben_rel_max <= 0.641","cat_elig > 0.4500 & elderly_disabled_i <= 0.4500 & rawben_rel_max > 0.6340 & unc_rawben_rel_max <= 0.7051",FALSE,FALSE,2,1,0.5,82,1,0,1,0
"Michigan","earned_income","4+","HH_size_n <= 4.50 & unc_rawben_rel_max > 1.39","HH_size_n <= 4.050 & unc_rawben_rel_max > 1.251",FALSE,FALSE,8,2,0.25,842,4,0,0,NA
"Michigan","earned_income","4+","medical_deductions <= 134.00 & unc_rawben_rel_max >   1.39","medical_deductions <= 100.500 & unc_rawben_rel_max >   1.251",FALSE,FALSE,8,2,0.25,842,4,0,0,NA
"Michigan","earned_income","4+","total_deductions_by_hh_size > 134.00 & unc_rawben_rel_max >   1.39 & utilities <= 974.00","total_deductions_by_hh_size > 147.400 & unc_rawben_rel_max >   1.251 & utilities <= 730.500",FALSE,FALSE,6,2,0.333,842,4,0,0,NA
"Michigan","earned_income","1","months_since_cert_n >    4.50 & percent_abawd >    0.75 & shelter_expenses_by_hh_size >  948.00 & total_deductions_by_hh_size > 1010.00","months_since_cert_n >   4.050 & percent_abawd >   0.675 & shelter_expenses_by_hh_size > 853.200 & total_deductions_by_hh_size > 909.000",FALSE,FALSE,2,1,0.5,82,0,NA,0,NA
"Michigan","earned_income","2-3","children_i <=   0.500 & married >   0.500 & percent_abawd >   0.417 & total_deductions_by_hh_size > 487.000","children_i <=   0.500 & married >   0.500 & percent_abawd >   0.417 & total_deductions_by_hh_size > 487.000",TRUE,FALSE,2,1,0.5,383,0,NA,0,NA
"Michigan","earned_income","4+","expedited_i > 0.5 & HH_size_n > 6.5 & months_since_cert_n > 5.5","expedited_i > 0.375 & HH_size_n > 5.850 & months_since_cert_n > 6.050",FALSE,FALSE,3,1,0.333,167,0,NA,0,NA
"Michigan","earned_income","4+","unc_rawben_rel_max > 1.39","unc_rawben_rel_max > 1.251",FALSE,FALSE,8,2,0.25,842,4,0,0,NA
"Michigan","earned_income","1","medical_deductions <= 100.00 & months_since_cert_n >   5.50 & unc_rawben_rel_max >   1.82 & utilities <= 308.00","medical_deductions <=  90.000 & months_since_cert_n >   4.950 & unc_rawben_rel_max >   1.638 & utilities <= 277.200",FALSE,FALSE,2,0,0,0,1,0,0,NA
"Michigan","earned_income","4+","percent_abawd >   0.0833 & shelter_expenses_by_hh_size > 272.0000 & utilities > 851.0000","percent_abawd >   0.06248 & shelter_expenses_by_hh_size > 204.00000 & utilities > 638.20000",FALSE,FALSE,3,0,0,0,0,NA,0,NA
"Michigan","earned_income","4+","rawben_rel_max >   0.837 & unc_rawben_rel_max <=   0.902 & utilities > 851.000","rawben_rel_max >   0.6278 & unc_rawben_rel_max <=   1.1280 & utilities > 638.2000",FALSE,TRUE,24,5,0.208,1552,0,NA,0,NA
