"state","error_frame","hh_size","rule_national","rule_tuned","tuned_is_national","qualified","train_n","train_errors","train_precision","train_dollars","test_n_tuned","test_precision_tuned","test_n_national","test_precision_national"
"Washington","earned_income","1","months_since_cert_n >    3.5 & percent_abawd >    0.5 & shelter_expenses_by_hh_size > 1260.0 & total_deductions_by_hh_size >  943.0","months_since_cert_n >    3.5 & percent_abawd >    0.5 & shelter_expenses_by_hh_size > 1260.0 & total_deductions_by_hh_size >  943.0",TRUE,FALSE,1,1,1,171,1,1,1,1
"Washington","earned_income","1","months_since_cert_n >   3.50 & unc_rawben_rel_max >   1.88 & utilities > 448.00 & utilities <= 466.00","months_since_cert_n >   3.50 & unc_rawben_rel_max >   1.88 & utilities > 448.00 & utilities <= 466.00",TRUE,FALSE,8,3,0.375,690,2,0.5,2,0.5
"Washington","earned_income","1","cat_elig > 0.500 & elderly_disabled_i <= 0.500 & rawben_rel_max > 0.634 & unc_rawben_rel_max <= 0.641","cat_elig > 0.4500 & elderly_disabled_i <= 0.4500 & rawben_rel_max > 0.5706 & unc_rawben_rel_max <= 0.7051",FALSE,FALSE,4,3,0.75,402,4,0.5,0,NA
"Washington","earned_income","4+","HH_size_n <= 4.50 & unc_rawben_rel_max > 1.39","HH_size_n <= 4.050 & unc_rawben_rel_max > 1.251",FALSE,FALSE,7,1,0.143,165,4,0.25,0,NA
"Washington","earned_income","4+","medical_deductions <= 134.00 & unc_rawben_rel_max >   1.39","medical_deductions <= 100.500 & unc_rawben_rel_max >   1.251",FALSE,FALSE,7,1,0.143,165,4,0.25,0,NA
"Washington","earned_income","4+","total_deductions_by_hh_size > 134.00 & unc_rawben_rel_max >   1.39 & utilities <= 974.00","total_deductions_by_hh_size > 167.500 & unc_rawben_rel_max >   1.251 & utilities <= 730.500",FALSE,FALSE,5,1,0.2,165,0,NA,0,NA
"Washington","earned_income","2-3","medical_deductions <= 117.0 & months_since_cert_n >   3.5 & shelter_expenses_by_hh_size <= 343.0 & total_deductions_by_hh_size > 468.0","medical_deductions <= 105.30 & months_since_cert_n >   3.15 & shelter_expenses_by_hh_size <= 377.30 & total_deductions_by_hh_size > 421.20",FALSE,FALSE,2,0,0,0,0,NA,0,NA
"Washington","earned_income","2-3","percent_abawd >   0.417 & percent_abawd <=   0.833 & shelter_expenses_by_hh_size > 677.000 & utilities <= 419.000","percent_abawd >   0.3753 & percent_abawd <=   0.7497 & shelter_expenses_by_hh_size > 609.3000 & utilities <= 460.9000",FALSE,FALSE,1,0,0,0,0,NA,0,NA
"Washington","earned_income","4+","expedited_i > 0.5 & HH_size_n > 6.5 & months_since_cert_n > 5.5","expedited_i > 0.375 & HH_size_n > 4.875 & months_since_cert_n > 5.500",FALSE,FALSE,2,1,0.5,71,2,0,0,NA
"Washington","earned_income","4+","unc_rawben_rel_max > 1.39","unc_rawben_rel_max > 1.251",FALSE,FALSE,7,1,0.143,165,4,0.25,0,NA
"Washington","earned_income","1","medical_deductions <= 100.00 & months_since_cert_n >   5.50 & unc_rawben_rel_max >   1.82 & utilities <= 308.00","medical_deductions <=  90.00 & months_since_cert_n >   4.95 & unc_rawben_rel_max >   1.82 & utilities <= 277.20",FALSE,FALSE,2,1,0.5,230,4,0,2,0
"Washington","earned_income","1","months_since_cert_n >   5.50 & unc_rawben_rel_max >   1.82 & utilities <= 308.00","months_since_cert_n >   4.125 & unc_rawben_rel_max >   1.820 & utilities <= 231.000",FALSE,FALSE,2,1,0.5,230,4,0,2,0
"Washington","earned_income","1","months_since_cert_n >   3.5 & percent_abawd >   0.5 & total_deductions_by_hh_size > 949.0","months_since_cert_n >   3.5 & percent_abawd >   0.5 & total_deductions_by_hh_size > 949.0",TRUE,FALSE,1,1,1,171,1,1,1,1
"Washington","earned_income","4+","cat_elig <=   1.5 & expedited_i <=   0.5 & shelter_expenses_by_hh_size <= 104.0 & utilities > 532.0","cat_elig <=   1.35 & expedited_i <=   0.45 & shelter_expenses_by_hh_size <= 114.40 & utilities > 478.80",FALSE,FALSE,2,0,0,0,0,NA,0,NA
