"state","n_cases","rep_change","rep_quarterly","rep_simplified","smd_demo","ssi_cap_share","catelig_any","catelig_expanded","sua_code1","sua_code3","sua_code4","cert_median","cert_ge24","cert_ge24_elddis","csded_share","homeless_ded_share","medded_share_ed","expedited_share","tanf_share","pure_pa_share","abawd_share"
"Alabama",3008,0.000664893617021277,0,0.00498670212765957,0.0797872340425532,0,0.999335106382979,0.177859042553191,0.266622340425532,0.0146276595744681,0.683178191489362,12,0.180186170212766,0.383038869257951,0.0182845744680851,0,0.169611307420495,0.11968085106383,0.0166223404255319,0.185837765957447,0.0429022606382979
"Arizona",2301,0,0.284658843980878,0,0,0.0034767492394611,0.999130812690135,0.186875271621034,0.35368512865242,0,0.174007849978195,6,0.272490221642764,0.739393939393939,0.0126032159930465,0.00130378096479791,0.0739393939393939,0.154715341156019,0.0199913081269013,0.131681877444589,0.0512458351441402
"Arkansas",2890,0.353287197231834,0.000346020761245675,0.00173010380622837,0.0397923875432526,0,0.224221453287197,0.00795847750865052,0.352595155709343,0.0152249134948097,0.516955017301038,12,0.341522491349481,0.678620689655172,0.015916955017301,0,0.0793103448275862,0.096227068189685,0.0117647058823529,0.205882352941176,0.0443771626297578
"California",2273,0,0,0,0.0162780466344039,0,1,0.0409150901891773,0.262208534975803,0.268807743070831,0.439507259128905,12,0.158380994280686,0.720930232558139,0,0.0101187857457105,0.107822410147992,0.194896612406511,0.184777826660801,0.217333919929608,0.214592629836801
"Colorado",2210,0,0,0,0.0411764705882353,0,1,0.00497737556561086,0.213122171945701,0.232579185520362,0.379185520361991,6,0.376018099547511,0.795656465942744,0.0171945701357466,0.0144796380090498,0.0898321816386969,0.157013574660633,0.0678733031674208,0.297285067873303,0.0282051282051282
"Connecticut",2430,0.000823045267489712,0.000411522633744856,0,0,0,0.999588477366255,0.0102880658436214,0.18477366255144,0.439506172839506,0.351028806584362,12,0.473251028806584,0.831675592960979,0.0230452674897119,0.000411522633744856,0.0589135424636572,0.128395061728395,0.0518518518518519,0.279423868312757,0.114451303155007
"Delaware",1772,0.00112866817155756,0,0,0,0,1,0.00733634311512415,0.374717832957111,0.0197516930022573,0.558690744920993,12,0.292281498297389,0.665354330708661,0.0146726862302483,0.00112866817155756,0.0679738562091503,0.115124153498871,0.0445823927765237,0.239277652370203,0.0523043641835967
"District of Columbia",2589,0.0289687137891078,0.00231749710312862,0.00193124758594052,0,0,1,0.0973348783314021,0.0482811896485129,0.935496330629587,0.00231749710312862,12,0.345693317883353,0.75237273511648,0.00579374275782155,0.00424874468906914,0.0396893874029336,0.241792197759753,0.147547315565856,0.310158362302047,0.15655722651667
"Florida",2713,0.0313306302985625,0,0,0,0.0309620346479912,1,0.00368595650571323,0.28123848138592,0.00258016955399926,0.612237375598968,6,0.0405455215628456,0.0722811671087533,0.0121636564688537,0.000737191301142647,0.0629973474801061,0.0840398083302617,0.0191669738297088,0.233321046811648,0.0124585329893107
"Georgia",2795,0.00107334525939177,0,0.00035778175313059,0.0919499105545617,0,1,0.0075134168157424,0.352057245080501,0.00178890876565295,0.610017889087657,6,0.00035778175313059,0,0.00894454382826476,0,0.210655737704918,0.122361359570662,0.0125223613595707,0.145974955277281,0.088861061419201
