"state","Alabama","Arizona","Arkansas","California","Colorado","Connecticut","Delaware","District.of.Columbia","Florida","Georgia","Idaho","Illinois","Indiana","Iowa","Kansas","Kentucky","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota","Mississippi","Missouri","Montana","Nebraska","Nevada","New.Hampshire","New.Jersey","New.Mexico","New.York","North.Carolina","North.Dakota","Ohio","Oklahoma","Oregon","Pennsylvania","Rhode.Island","South.Carolina","South.Dakota","Tennessee","Texas","Utah","Vermont","Virginia","Washington","West.Virginia","Wisconsin","Wyoming"
"Alabama",1,0.9101,0.7597,0.8947,0.8397,0.8033,0.9094,0.8464,0.8486,0.8999,0.8525,0.9277,0.9308,0.8587,0.8578,0.9116,0.9267,0.8299,0.8862,0.809,0.9146,0.9161,0.7876,0.8582,0.9272,0.8882,0.8371,0.8061,0.8514,0.9267,0.7913,0.8922,0.8518,0.9338,0.933,0.8731,0.9013,0.8572,0.862,0.8357,0.8629,0.9252,0.7645,0.7778,0.9116,0.81,0.793,0.9141,0.7322
"Arizona",0.9101,1,0.7514,0.8983,0.8962,0.7706,0.9411,0.7948,0.906,0.9128,0.9173,0.9102,0.9255,0.9106,0.8457,0.9001,0.8887,0.7906,0.9298,0.7774,0.8849,0.9056,0.7972,0.8497,0.8932,0.9109,0.9297,0.805,0.8388,0.9352,0.7698,0.8813,0.8373,0.8878,0.9115,0.889,0.8571,0.8076,0.8875,0.778,0.8595,0.9584,0.8311,0.7401,0.9115,0.8318,0.7718,0.945,0.7901
"Arkansas",0.7597,0.7514,1,0.699,0.6751,0.5671,0.7355,0.8083,0.6566,0.7494,0.7171,0.7327,0.7486,0.7006,0.8707,0.8117,0.7629,0.615,0.7057,0.5747,0.6949,0.7226,0.9434,0.8354,0.7328,0.7045,0.728,0.573,0.6647,0.7961,0.5705,0.6611,0.6146,0.7417,0.7619,0.6835,0.6587,0.5933,0.7461,0.7448,0.8889,0.7551,0.7955,0.545,0.7904,0.766,0.8153,0.7463,0.7602
"California",0.8947,0.8983,0.699,1,0.8641,0.8617,0.9504,0.8089,0.8697,0.8388,0.8006,0.9529,0.8676,0.8161,0.8508,0.8305,0.8449,0.862,0.9307,0.8861,0.9243,0.9306,0.7221,0.8509,0.9226,0.8675,0.8391,0.8235,0.933,0.9076,0.8714,0.8935,0.8005,0.9239,0.8582,0.9483,0.9253,0.9002,0.7691,0.8356,0.8355,0.8882,0.7753,0.8374,0.8943,0.9001,0.8132,0.9362,0.7342
"Colorado",0.8397,0.8962,0.6751,0.8641,1,0.755,0.8838,0.7144,0.9331,0.9076,0.9227,0.861,0.8287,0.9361,0.7646,0.7773,0.7678,0.7581,0.9064,0.7812,0.8423,0.8712,0.735,0.7917,0.8393,0.9512,0.9315,0.8405,0.8271,0.8245,0.767,0.8594,0.8745,0.8291,0.8123,0.873,0.8441,0.8105,0.8755,0.7373,0.7746,0.9008,0.872,0.737,0.8328,0.8078,0.7017,0.8843,0.821
"Connecticut",0.8033,0.7706,0.5671,0.8617,0.755,1,0.8248,0.6488,0.7578,0.7072,0.6787,0.8463,0.7427,0.6987,0.7003,0.691,0.7198,0.964,0.8203,0.9478,0.8573,0.8507,0.5892,0.7054,0.8394,0.7527,0.7248,0.9142,0.9114,0.7635,0.9447,0.8921,0.7795,0.8549,0.7162,0.8172,0.9095,0.9147,0.65,0.8753,0.6939,0.7593,0.6562,0.9571,0.7474,0.7578,0.6506,0.8057,0.6081
"Delaware",0.9094,0.9411,0.7355,0.9504,0.8838,0.8248,1,0.8082,0.892,0.8728,0.8485,0.947,0.9064,0.8588,0.867,0.8582,0.8676,0.8317,0.9548,0.842,0.9085,0.927,0.7738,0.8702,0.9126,0.8947,0.8855,0.812,0.8958,0.9275,0.8249,0.8998,0.815,0.9106,0.8808,0.9389,0.9036,0.8634,0.8224,0.8145,0.8606,0.927,0.8043,0.793,0.9041,0.887,0.8065,0.9514,0.7508
"District of Columbia",0.8464,0.7948,0.8083,0.8089,0.7144,0.6488,0.8082,1,0.7224,0.7962,0.733,0.8145,0.8373,0.7318,0.8432,0.8761,0.8476,0.6867,0.7609,0.6471,0.7827,0.7766,0.795,0.801,0.8041,0.762,0.7299,0.6205,0.7377,0.8796,0.647,0.7003,0.634,0.8225,0.8677,0.7787,0.7434,0.689,0.748,0.7389,0.8481,0.814,0.7099,0.621,0.8521,0.8111,0.8513,0.816,0.6597
"Florida",0.8486,0.906,0.6566,0.8697,0.9331,0.7578,0.892,0.7224,1,0.9163,0.9077,0.8725,0.8294,0.9156,0.7644,0.7994,0.8144,0.7726,0.9249,0.789,0.8197,0.8533,0.7264,0.7824,0.8145,0.9023,0.9449,0.8439,0.8358,0.8564,0.7721,0.8483,0.8316,0.8134,0.8299,0.8804,0.8357,0.8033,0.8914,0.7104,0.7907,0.9262,0.8527,0.7446,0.8568,0.7965,0.6574,0.8845,0.7927
"Georgia",0.8999,0.9128,0.7494,0.8388,0.9076,0.7072,0.8728,0.7962,0.9163,1,0.9317,0.8699,0.8879,0.9229,0.8311,0.8816,0.8641,0.7392,0.8804,0.7256,0.8423,0.8528,0.8117,0.8417,0.8514,0.9244,0.9083,0.7865,0.7888,0.8848,0.7245,0.8355,0.8501,0.8438,0.892,0.8415,0.8161,0.7704,0.9303,0.7494,0.8516,0.9357,0.8685,0.6942,0.8809,0.798,0.7454,0.895,0.8394
