"","Alabama","Arizona","Arkansas","California","Colorado","Connecticut","Delaware","District of Columbia","Florida","Georgia","Idaho","Illinois","Indiana","Iowa","Kansas","Kentucky","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota","Mississippi","Missouri","Montana","Nebraska","Nevada","New Hampshire","New Jersey","New Mexico","New York","North Carolina","North Dakota","Ohio","Oklahoma","Oregon","Pennsylvania","Rhode Island","South Carolina","South Dakota","Tennessee","Texas","Utah","Vermont","Virginia","Washington","West Virginia","Wisconsin","Wyoming"
"Alabama",1,0.366,0.2085,-0.2185,0.0312,-0.0689,0.2525,-0.496,0.2108,0.4904,0.1223,0.0117,0.6655,0.5307,-0.0554,0.1964,0.5292,0.0641,-0.0961,-0.1643,-0.1458,-0.2236,-0.0948,0.1102,-0.4221,-0.198,0.2507,-0.0279,-0.4287,-0.0947,-0.5721,0.4977,-0.1137,0.4113,0.3334,0.1337,-0.4806,-0.1417,0.4282,-0.3501,0.1353,0.7575,-0.0484,-0.4016,-0.1798,-0.2806,-0.0356,-0.0466,-0.1787
"Arizona",0.366,1,-0.0949,-0.3292,0.3285,-0.08,0.1305,-0.0751,-0.1011,0.5302,-0.2611,0.3825,0.5998,-0.0171,-0.0706,0.0687,0.4073,-0.332,0.0253,-0.2082,-0.0215,-0.4146,-0.0553,0.151,0.1566,-0.1796,0.5323,-0.3102,-0.3428,0.3445,-0.4955,0.0555,-0.2636,0.1129,0.7081,0.3032,-0.1872,-0.275,0.1794,-0.147,0.1872,0.4276,0.1495,-0.3648,0.2022,-0.4386,-0.0915,0.1218,-0.2289
"Arkansas",0.2085,-0.0949,1,0.0086,-0.2972,0.0751,0.0295,-0.2221,0.2733,-0.2034,-0.0151,-0.1563,0.1637,-0.0063,0.3021,0.1461,-0.1761,-0.2116,0.0351,-0.0254,-0.1103,0.0632,0.6153,0.1504,-0.1415,-0.5691,-0.0398,0.1141,0.0345,-0.0137,-0.0712,-0.0675,-0.3906,0.2786,-0.2184,-0.2041,-0.1283,0.0306,0.0846,-0.1388,0.6804,0.1596,0.1347,-0.2994,-0.3474,-0.1051,0.4512,-0.6474,0.1358
"California",-0.2185,-0.3292,0.0086,1,0.1653,0.2611,-0.2574,0.6548,-0.1635,-0.2671,-0.2604,0.1341,-0.1552,-0.364,0.0058,-0.1425,0.0568,0.0241,0.3951,0.1856,0.1306,0.3312,-0.1389,-0.0731,-0.046,-0.3099,-0.6002,-0.2688,0.1269,0.2219,0.1341,-0.5815,-0.3154,0.0537,-0.2006,0.5221,0.1728,0.4126,-0.3719,-0.1796,0.1293,-0.357,-0.405,0.2137,0.5776,0.3293,0.2068,-0.4941,-0.3361
"Colorado",0.0312,0.3285,-0.2972,0.1653,1,-0.4075,0.0301,0.1623,-0.2354,0.3871,-0.1296,0.0671,-0.0873,-0.0311,0.013,-0.0549,0.0596,-0.188,-0.0466,0.2037,0.2097,-0.3657,-0.4069,0.2547,-0.0354,0.0098,-0.0413,-0.3905,-0.0771,-0.0211,-0.2056,-0.0435,0.1341,0.05,0.0663,0.4954,-0.1073,-0.1787,-0.1586,0.0287,0.0453,0.0842,0.1959,-0.0355,0.4483,-0.222,-0.0994,0.0937,0.031
"Connecticut",-0.0689,-0.08,0.0751,0.2611,-0.4075,1,-0.3082,0.1671,-0.325,-0.5909,-0.2544,-0.1852,0.0831,-0.3542,0.1901,0.2454,0.2316,0.0426,0.1554,0.1741,0.026,-0.0168,-0.21,-0.1261,7e-04,-0.1527,-0.4279,-0.2515,0.2715,0.3428,0.2562,-0.2551,-0.2907,0.3119,0.1619,-0.0071,0.2347,0.4667,-0.4349,-0.3338,0.0092,0.0416,-0.3746,0.4904,0.0979,0.1003,0.3443,-0.1918,-0.5072
"Delaware",0.2525,0.1305,0.0295,-0.2574,0.0301,-0.3082,1,0.0227,0.6642,0.4487,0.4676,-0.0088,0.2214,0.6141,-0.533,3e-04,0.0883,0.2803,-0.1294,-0.3356,0.0474,-0.0886,0.0542,-0.4869,-0.1944,-0.013,0.665,0.0627,-0.544,0.0374,-0.4192,0.5895,0.1932,0.1932,-0.0303,-0.3397,-0.56,-0.6595,0.4556,-0.1477,0.1373,0.2258,0.2392,-0.5337,-0.168,-0.2131,-0.2491,0.1359,0.1752
"District of Columbia",-0.496,-0.0751,-0.2221,0.6548,0.1623,0.1671,0.0227,1,-0.1257,-0.2676,-0.2931,0.127,-0.0495,-0.4512,-0.1139,-0.1837,-0.0897,0.0932,0.4141,0.0903,-0.0577,0.3533,-0.1774,-0.1988,0.2687,-0.0684,-0.2014,-0.2617,0.0548,0.2134,0.1056,-0.5695,-0.3138,-0.0707,0.0301,0.2952,0.1132,0.1128,-0.3474,0.1208,0.1155,-0.6038,-0.1244,0.2121,0.4439,0.198,-0.0907,-0.3031,-0.3249
"Florida",0.2108,-0.1011,0.2733,-0.1635,-0.2354,-0.325,0.6642,-0.1257,1,0.2437,0.7024,-0.1281,0.0867,0.5185,-0.5936,-0.0149,-0.2065,0.3513,0.0494,-0.2224,-0.0282,0.1372,0.344,-0.5468,-0.2993,-0.1683,0.6023,0.3256,-0.3333,0.1077,-0.2304,0.4802,-0.0364,-0.0537,-0.1871,-0.3338,-0.39,-0.3794,0.5982,-0.2278,-0.0476,0.1974,0.2437,-0.5077,-0.5102,-0.0404,0.092,-0.1701,0.2486
"Georgia",0.4904,0.5302,-0.2034,-0.2671,0.3871,-0.5909,0.4487,-0.2676,0.2437,1,0.1535,0.3305,0.289,0.4924,-0.2452,-0.3596,0.1967,-0.1332,-0.2873,-0.3468,0.2671,-0.3812,-0.131,0.2141,-0.2602,-0.0848,0.573,-0.0551,-0.6201,-0.1499,-0.6538,0.3888,0.2419,-0.1963,0.2411,0.257,-0.5368,-0.399,0.3629,0.1488,0.0606,0.3471,0.2968,-0.4448,0.1123,-0.3354,-0.4146,0.3486,0.3805
